date,player1,Rank 1,胜/负,player2,Rank 2
2024/9/19,石宇奇,1,负,金廷,10
2024/9/17,石宇奇,1,胜,坎塔蓬·旺差伦,37
2024/8/30,石宇奇,1,负,李卓耀,17
2024/8/29,石宇奇,1,胜,伍家朗,23
2024/8/28,石宇奇,1,胜,孙完虎,
2024/8/24,石宇奇,1,负,亚历克斯·拉尼耶,29
2024/8/23,石宇奇,1,胜,田中湧士,31
2024/8/22,石宇奇,1,胜,林俊易,15
2024/8/20,石宇奇,1,胜,苏力扬,32
2024/8/2,石宇奇,1,负,昆拉武特·威提讪,8
2024/7/31,石宇奇,1,胜,乔瓦尼·托蒂,80
2024/7/27,石宇奇,1,胜,苏林·奥普提,
2024/6/9,石宇奇,2,胜,安德斯·安东森,5
2024/6/8,石宇奇,2,胜,李诗沣,4
2024/6/7,石宇奇,2,胜,小托马·波波夫,23
2024/6/6,石宇奇,2,胜,陆光祖,15
2024/6/5,石宇奇,2,胜,雷兰曦,33
2024/6/2,石宇奇,2,胜,李诗沣,6
2024/6/1,石宇奇,2,胜,周天成,13
2024/5/31,石宇奇,2,胜,奈良冈功大,5
2024/5/30,石宇奇,2,胜,翁泓阳,19
2024/5/5,石宇奇,2,胜,金廷,7
2024/5/4,石宇奇,2,胜,李梓嘉,10
2024/5/2,石宇奇,2,胜,普兰诺伊·H·S,9
2024/4/30,石宇奇,2,胜,全奕陈,47
2024/4/28,石宇奇,2,胜,杨灿,24
2024/4/27,石宇奇,2,胜,邓浩林,159
2024/4/13,石宇奇,2,负,乔纳坦·克里斯蒂,5
2024/4/12,石宇奇,2,胜,昆拉武特·威提讪,8
2024/4/11,石宇奇,2,胜,西本拳太,12
2024/4/10,石宇奇,2,胜,拉克什亚·森,13
2024/3/14,石宇奇,2,胜,奇科·瓦多约,29
2024/3/13,石宇奇,2,胜,拉斯穆斯·杰姆克,28
2024/3/10,石宇奇,2,胜,昆拉武特·威提讪,8
2024/3/9,石宇奇,2,胜,奇科·瓦多约,32
2024/3/8,石宇奇,2,胜,陆光祖,17
2024/3/7,石宇奇,2,胜,马格努斯·约翰内森,33
2024/3/6,石宇奇,2,胜,克里斯托·波波夫,23
2024/1/21,石宇奇,2,胜,李卓耀,18
2024/1/20,石宇奇,2,胜,普兰诺伊·H·S,9
2024/1/19,石宇奇,2,胜,渡边航贵,22
2024/1/18,石宇奇,2,胜,拉斯穆斯·杰姆克,29
2024/1/17,石宇奇,2,胜,翁泓阳,16
2024/1/14,石宇奇,6,负,安德斯·安东森,9
2024/1/13,石宇奇,6,胜,安赛龙,1
2024/1/12,石宇奇,6,胜,陆光祖,19
2024/1/11,石宇奇,6,胜,小托马·波波夫,25
2024/1/9,石宇奇,6,胜,拉斯穆斯·杰姆克,29
2023/12/17,石宇奇,7,负,安赛龙,1
2023/12/16,石宇奇,7,胜,乔纳坦·克里斯蒂,6
2023/12/15,石宇奇,7,胜,奈良冈功大,2
2023/12/14,石宇奇,7,负,金廷,4
2023/12/13,石宇奇,7,胜,安赛龙,1
2023/11/23,石宇奇,7,负,克里斯托·波波夫,29
2023/11/22,石宇奇,7,胜,拉克什亚·森,17
2023/11/19,石宇奇,7,负,安赛龙,1
2023/11/18,石宇奇,7,胜,周天成,12
2023/11/17,石宇奇,7,胜,桃田贤斗,41
2023/11/16,石宇奇,7,胜,陆光祖,14
