Player: 加藤正夫, Date: 1980-12-18, Rating: 3335, Black and White: 执白, Result: 胜, Opponent: 白石裕
Player: 加藤正夫, Date: 1980-12-10, Rating: 3335, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 加藤正夫, Date: 1980-12-08, Rating: 3335, Black and White: 执黑, Result: 胜, Opponent: 山部俊郎
Player: 加藤正夫, Date: 1980-11-26, Rating: 3335, Black and White: 执白, Result: 胜, Opponent: 山部俊郎
Player: 加藤正夫, Date: 1980-11-19, Rating: 3336, Black and White: 执黑, Result: 胜, Opponent: 石田芳夫
Player: 加藤正夫, Date: 1980-11-12, Rating: 3336, Black and White: 执黑, Result: 胜, Opponent: 山部俊郎
Player: 加藤正夫, Date: 1980-11-05, Rating: 3336, Black and White: 执白, Result: 胜, Opponent: 石田芳夫
Player: 加藤正夫, Date: 1980-10-23, Rating: 3336, Black and White: 执白, Result: 胜, Opponent: 酒井猛
Player: 加藤正夫, Date: 1980-10-16, Rating: 3335, Black and White: 执黑, Result: 胜, Opponent: 岸本一男
Player: 加藤正夫, Date: 1980-10-02, Rating: 3335, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 加藤正夫, Date: 1980-09-20, Rating: 3335, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 加藤正夫, Date: 1980-09-17, Rating: 3335, Black and White: 执白, Result: 负, Opponent: 坂田荣男
Player: 加藤正夫, Date: 1980-08-21, Rating: 3336, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 加藤正夫, Date: 1980-08-14, Rating: 3336, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 加藤正夫, Date: 1980-07-31, Rating: 3337, Black and White: 执黑, Result: 胜, Opponent: 石田章
Player: 加藤正夫, Date: 1980-07-17, Rating: 3337, Black and White: 执黑, Result: 胜, Opponent: 桥本宇太郎
Player: 加藤正夫, Date: 1980-07-10, Rating: 3337, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 加藤正夫, Date: 1980-07-04, Rating: 3337, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 加藤正夫, Date: 1980-06-26, Rating: 3338, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 加藤正夫, Date: 1980-06-18, Rating: 3338, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 加藤正夫, Date: 1980-06-11, Rating: 3339, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 加藤正夫, Date: 1980-05-28, Rating: 3339, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 加藤正夫, Date: 1980-05-15, Rating: 3340, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 加藤正夫, Date: 1980-05-01, Rating: 3341, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 加藤正夫, Date: 1980-04-14, Rating: 3343, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1980-04-09, Rating: 3343, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1980-04-01, Rating: 3344, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1980-03-20, Rating: 3344, Black and White: 执白, Result: 胜, Opponent: 山城宏
Player: 加藤正夫, Date: 1980-03-12, Rating: 3345, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1980-03-05, Rating: 3345, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 加藤正夫, Date: 1980-02-14, Rating: 3347, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 加藤正夫, Date: 1980-01-24, Rating: 3348, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 加藤正夫, Date: 1980-01-10, Rating: 3349, Black and White: 执白, Result: 负, Opponent: 淡路修三
Player: 赵治勋, Date: 1980-12-31, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 赵治勋, Date: 1980-12-21, Rating: 3383, Black and White: 执白, Result: 负, Opponent: 石田芳夫
Player: 赵治勋, Date: 1980-12-18, Rating: 3382, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 赵治勋, Date: 1980-12-11, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1980-12-04, Rating: 3382, Black and White: 执白, Result: 胜, Opponent: 本田邦久
Player: 赵治勋, Date: 1980-11-27, Rating: 3381, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 赵治勋, Date: 1980-11-20, Rating: 3381, Black and White: 执白, Result: 负, Opponent: 本田邦久
Player: 赵治勋, Date: 1980-11-13, Rating: 3380, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 赵治勋, Date: 1980-11-05, Rating: 3380, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1980-10-22, Rating: 3379, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1980-10-16, Rating: 3379, Black and White: 执白, Result: 胜, Opponent: 关山利夫
Player: 赵治勋, Date: 1980-10-01, Rating: 3378, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 赵治勋, Date: 1980-09-17, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1980-09-10, Rating: 3376, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1980-09-03, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 赵治勋, Date: 1980-08-30, Rating: 3375, Black and White: 执白, Result: 负, Opponent: 武宫正树
