Player: 曹薰铉, Date: 1983-12-28, Rating: 3402, Black and White: 执白, Result: 胜, Opponent: 许壮会
Player: 曹薰铉, Date: 1983-12-26, Rating: 3402, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1983-12-26, Rating: 3402, Black and White: 执黑, Result: 胜, Opponent: 许壮会
Player: 曹薰铉, Date: 1983-12-19, Rating: 3401, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1983-12-12, Rating: 3401, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1983-12-02, Rating: 3400, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1983-11-13, Rating: 3398, Black and White: 执白, Result: 胜, Opponent: 许壮会
Player: 曹薰铉, Date: 1983-11-11, Rating: 3398, Black and White: 执黑, Result: 负, Opponent: 徐能旭
Player: 曹薰铉, Date: 1983-11-08, Rating: 3398, Black and White: 执黑, Result: 胜, Opponent: 许壮会
Player: 曹薰铉, Date: 1983-10-27, Rating: 3398, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1983-09-04, Rating: 3397, Black and White: 执黑, Result: 胜, Opponent: 金熙中
Player: 曹薰铉, Date: 1983-08-22, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 金熙中
Player: 曹薰铉, Date: 1983-08-08, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 河灿锡
Player: 曹薰铉, Date: 1983-03-14, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1983-03-02, Rating: 3391, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1983-02-21, Rating: 3390, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1983-02-10, Rating: 3390, Black and White: 执白, Result: 胜, Opponent: 张秀英
