Player: 曹薰铉, Date: 1986-12-20, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-12-15, Rating: 3431, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-12-01, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-10-17, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-10-10, Rating: 3431, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-10-06, Rating: 3431, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-09-26, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-09-22, Rating: 3431, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-07-28, Rating: 3429, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-07-18, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-07-11, Rating: 3428, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-07-03, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-06-25, Rating: 3428, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-06-12, Rating: 3428, Black and White: 执黑, Result: 胜, Opponent: 河灿锡
Player: 曹薰铉, Date: 1986-05-27, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 河灿锡
Player: 曹薰铉, Date: 1986-05-14, Rating: 3428, Black and White: 执黑, Result: 胜, Opponent: 河灿锡
Player: 曹薰铉, Date: 1986-04-08, Rating: 3428, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-03-28, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-03-21, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-03-15, Rating: 3428, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-03-10, Rating: 3427, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-03-04, Rating: 3427, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-03-04, Rating: 3427, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-03-03, Rating: 3427, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-02-25, Rating: 3427, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-02-19, Rating: 3427, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1986-01-27, Rating: 3426, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1986-01-11, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 小林光一, Date: 1986-12-25, Rating: 3375, Black and White: 执黑, Result: 负, Opponent: 山城宏
Player: 小林光一, Date: 1986-12-16, Rating: 3375, Black and White: 执白, Result: 胜, Opponent: 苑田勇一
Player: 小林光一, Date: 1986-12-11, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 山城宏
Player: 小林光一, Date: 1986-12-03, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 苑田勇一
Player: 小林光一, Date: 1986-11-28, Rating: 3375, Black and White: 执白, Result: 胜, Opponent: 苑田勇一
Player: 小林光一, Date: 1986-11-20, Rating: 3375, Black and White: 执白, Result: 胜, Opponent: 春山勇
Player: 小林光一, Date: 1986-11-17, Rating: 3375, Black and White: 执黑, Result: 胜, Opponent: 羽根泰正
Player: 小林光一, Date: 1986-11-13, Rating: 3375, Black and White: 执黑, Result: 负, Opponent: 苑田勇一
Player: 小林光一, Date: 1986-11-05, Rating: 3374, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 小林光一, Date: 1986-10-16, Rating: 3374, Black and White: 执黑, Result: 负, Opponent: 王立诚
Player: 小林光一, Date: 1986-10-08, Rating: 3374, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1986-10-01, Rating: 3374, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1986-09-20, Rating: 3375, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 小林光一, Date: 1986-09-17, Rating: 3375, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
