Player: 曹薰铉, Date: 1989-12-27, Rating: 3457, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-12-23, Rating: 3457, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-12-20, Rating: 3457, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-12-16, Rating: 3457, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1989-12-13, Rating: 3457, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1989-12-11, Rating: 3458, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-12-08, Rating: 3458, Black and White: 执白, Result: 胜, Opponent: 河灿锡
Player: 曹薰铉, Date: 1989-12-06, Rating: 3458, Black and White: 执黑, Result: 胜, Opponent: 吴圭喆
Player: 曹薰铉, Date: 1989-12-03, Rating: 3458, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 曹薰铉, Date: 1989-12-01, Rating: 3458, Black and White: 执黑, Result: 胜, Opponent: 金东烨
Player: 曹薰铉, Date: 1989-11-18, Rating: 3458, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1989-11-14, Rating: 3458, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1989-11-08, Rating: 3459, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-11-01, Rating: 3459, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-10-27, Rating: 3459, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-10-26, Rating: 3459, Black and White: 执白, Result: 胜, Opponent: 金秀壮
Player: 曹薰铉, Date: 1989-10-19, Rating: 3460, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-10-16, Rating: 3460, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1989-10-14, Rating: 3460, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1989-10-12, Rating: 3460, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-10-10, Rating: 3460, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-10-04, Rating: 3460, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-09-27, Rating: 3459, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-09-25, Rating: 3459, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-09-20, Rating: 3459, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-09-05, Rating: 3459, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
Player: 曹薰铉, Date: 1989-09-02, Rating: 3459, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
Player: 曹薰铉, Date: 1989-08-05, Rating: 3457, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-07-31, Rating: 3457, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1989-07-28, Rating: 3457, Black and White: 执黑, Result: 胜, Opponent: 白成豪
Player: 曹薰铉, Date: 1989-07-24, Rating: 3456, Black and White: 执黑, Result: 胜, Opponent: 洪太善
Player: 曹薰铉, Date: 1989-07-20, Rating: 3456, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1989-07-18, Rating: 3456, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-07-06, Rating: 3455, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-07-01, Rating: 3455, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 曹薰铉, Date: 1989-06-27, Rating: 3455, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1989-06-23, Rating: 3454, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-06-21, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-06-17, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1989-06-14, Rating: 3454, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-06-08, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-06-03, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 车敏洙
Player: 曹薰铉, Date: 1989-05-29, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1989-05-23, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 姜晚寓
Player: 曹薰铉, Date: 1989-05-19, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 姜勋(大)
Player: 曹薰铉, Date: 1989-05-17, Rating: 3453, Black and White: 执白, Result: 负, Opponent: 徐能旭
Player: 曹薰铉, Date: 1989-05-15, Rating: 3453, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-05-09, Rating: 3453, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-05-02, Rating: 3453, Black and White: 执白, Result: 负, Opponent: 聂卫平
Player: 曹薰铉, Date: 1989-04-28, Rating: 3454, Black and White: 执黑, Result: 负, Opponent: 聂卫平
Player: 曹薰铉, Date: 1989-04-25, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 聂卫平
Player: 曹薰铉, Date: 1989-04-17, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-04-17, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-04-13, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-04-11, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-04-10, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 金东烨
Player: 曹薰铉, Date: 1989-04-06, Rating: 3454, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-04-03, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 曹薰铉, Date: 1989-04-01, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 本田邦久
Player: 曹薰铉, Date: 1989-03-27, Rating: 3454, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-03-24, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-03-17, Rating: 3454, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-03-14, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-03-07, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1989-03-03, Rating: 3455, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-02-20, Rating: 3455, Black and White: 执白, Result: 胜, Opponent: 金东烨
Player: 曹薰铉, Date: 1989-02-10, Rating: 3455, Black and White: 执白, Result: 胜, Opponent: 洪太善
Player: 曹薰铉, Date: 1989-02-02, Rating: 3455, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-01-26, Rating: 3455, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-01-23, Rating: 3455, Black and White: 执黑, Result: 胜, Opponent: 尹奇铉
Player: 曹薰铉, Date: 1989-01-19, Rating: 3455, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-01-12, Rating: 3454, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-01-09, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1989-01-06, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1989-01-04, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 聂卫平, Date: 1989-12-12, Rating: 3376, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1989-11-12, Rating: 3377, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1989-11-09, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 聂卫平, Date: 1989-10-15, Rating: 3377, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 聂卫平, Date: 1989-09-05, Rating: 3376, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 聂卫平, Date: 1989-09-02, Rating: 3376, Black and White: 执白, Result: 负, Opponent: 曹薰铉
