Player: 李昌镐, Date: 1994-12-30, Rating: 3560, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1994-12-28, Rating: 3560, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1994-12-19, Rating: 3559, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1994-12-17, Rating: 3559, Black and White: 执白, Result: 胜, Opponent: 尹盛铉
Player: 李昌镐, Date: 1994-12-12, Rating: 3559, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1994-12-02, Rating: 3558, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1994-11-26, Rating: 3557, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 李昌镐, Date: 1994-11-23, Rating: 3557, Black and White: 执黑, Result: 胜, Opponent: 朴胜文
Player: 李昌镐, Date: 1994-11-17, Rating: 3556, Black and White: 执黑, Result: 胜, Opponent: 金承俊
Player: 李昌镐, Date: 1994-11-11, Rating: 3556, Black and White: 执白, Result: 胜, Opponent: 吴圭喆
Player: 李昌镐, Date: 1994-11-11, Rating: 3556, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1994-11-09, Rating: 3556, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1994-11-02, Rating: 3555, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 李昌镐, Date: 1994-10-29, Rating: 3554, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1994-10-27, Rating: 3554, Black and White: 执黑, Result: 负, Opponent: 金承俊
Player: 李昌镐, Date: 1994-10-20, Rating: 3553, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1994-10-18, Rating: 3553, Black and White: 执黑, Result: 负, Opponent: 聂卫平
Player: 李昌镐, Date: 1994-10-16, Rating: 3553, Black and White: 执黑, Result: 胜, Opponent: 张文东
Player: 李昌镐, Date: 1994-10-14, Rating: 3552, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1994-10-10, Rating: 3552, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1994-10-06, Rating: 3551, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1994-10-04, Rating: 3551, Black and White: 执黑, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 1994-09-24, Rating: 3550, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1994-09-16, Rating: 3550, Black and White: 执白, Result: 胜, Opponent: 尹奇铉
Player: 李昌镐, Date: 1994-09-12, Rating: 3549, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1994-09-05, Rating: 3549, Black and White: 执黑, Result: 胜, Opponent: 许壮会
Player: 李昌镐, Date: 1994-09-02, Rating: 3549, Black and White: 执白, Result: 胜, Opponent: 汪见虹
Player: 李昌镐, Date: 1994-08-31, Rating: 3548, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 1994-08-26, Rating: 3548, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1994-08-16, Rating: 3547, Black and White: 执白, Result: 胜, Opponent: 吴淞笙
Player: 李昌镐, Date: 1994-08-10, Rating: 3546, Black and White: 执白, Result: 胜, Opponent: 姜勋(大)
Player: 李昌镐, Date: 1994-07-18, Rating: 3544, Black and White: 执黑, Result: 胜, Opponent: 林宣根
Player: 李昌镐, Date: 1994-07-15, Rating: 3543, Black and White: 执黑, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 1994-07-12, Rating: 3543, Black and White: 执黑, Result: 胜, Opponent: 李相勋(小)
Player: 李昌镐, Date: 1994-07-09, Rating: 3543, Black and White: 执白, Result: 胜, Opponent: 林宣根
Player: 李昌镐, Date: 1994-06-27, Rating: 3541, Black and White: 执黑, Result: 胜, Opponent: 林宣根
Player: 李昌镐, Date: 1994-06-11, Rating: 3539, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1994-06-07, Rating: 3539, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1994-05-27, Rating: 3537, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1994-05-23, Rating: 3537, Black and White: 执黑, Result: 胜, Opponent: 金日焕
Player: 李昌镐, Date: 1994-05-21, Rating: 3537, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1994-05-16, Rating: 3536, Black and White: 执黑, Result: 负, Opponent: 金承俊
Player: 李昌镐, Date: 1994-05-13, Rating: 3536, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1994-05-12, Rating: 3536, Black and White: 执白, Result: 胜, Opponent: 金基宪
Player: 李昌镐, Date: 1994-05-10, Rating: 3535, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1994-05-04, Rating: 3535, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1994-04-25, Rating: 3534, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1994-04-21, Rating: 3534, Black and White: 执黑, Result: 负, Opponent: 金秀壮
Player: 李昌镐, Date: 1994-04-14, Rating: 3534, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1994-04-07, Rating: 3533, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1994-04-04, Rating: 3533, Black and White: 执黑, Result: 负, Opponent: 加藤正夫
