Player: 李昌镐, Date: 1997-12-29, Rating: 3533, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-12-23, Rating: 3533, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-12-19, Rating: 3533, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-12-12, Rating: 3534, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1997-12-08, Rating: 3534, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-11-28, Rating: 3534, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 李昌镐, Date: 1997-11-26, Rating: 3535, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 李昌镐, Date: 1997-11-21, Rating: 3535, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1997-11-07, Rating: 3535, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-11-03, Rating: 3536, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1997-10-31, Rating: 3536, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 李昌镐, Date: 1997-10-27, Rating: 3536, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 1997-10-18, Rating: 3536, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1997-10-15, Rating: 3536, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-10-09, Rating: 3536, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 1997-09-26, Rating: 3536, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-09-24, Rating: 3536, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-09-19, Rating: 3536, Black and White: 执白, Result: 胜, Opponent: 彦坂直人
Player: 李昌镐, Date: 1997-09-12, Rating: 3536, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-09-05, Rating: 3536, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-08-28, Rating: 3537, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 1997-08-26, Rating: 3537, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 李昌镐, Date: 1997-08-20, Rating: 3537, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-08-15, Rating: 3537, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 李昌镐, Date: 1997-08-13, Rating: 3537, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 李昌镐, Date: 1997-08-11, Rating: 3537, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-07-21, Rating: 3537, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-07-17, Rating: 3537, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 1997-07-16, Rating: 3537, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 李昌镐, Date: 1997-07-14, Rating: 3537, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 1997-07-10, Rating: 3537, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-07-05, Rating: 3537, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-06-29, Rating: 3536, Black and White: 执白, Result: 胜, Opponent: 邵炜刚
Player: 李昌镐, Date: 1997-06-25, Rating: 3536, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-06-05, Rating: 3535, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-05-25, Rating: 3535, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-05-19, Rating: 3534, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1997-05-17, Rating: 3534, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-05-13, Rating: 3534, Black and White: 执白, Result: 负, Opponent: 俞斌
Player: 李昌镐, Date: 1997-05-06, Rating: 3534, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-04-16, Rating: 3533, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-04-16, Rating: 3533, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-04-14, Rating: 3533, Black and White: 执白, Result: 负, Opponent: 周鹤洋
Player: 李昌镐, Date: 1997-04-09, Rating: 3533, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1997-03-19, Rating: 3533, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
