Player: 李世石, Date: 2009-10-29, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 李世石, Date: 2009-10-17, Rating: 3584, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 李世石, Date: 2009-10-10, Rating: 3584, Black and White: 执黑, Result: 负, Opponent: 周睿羊
Player: 李世石, Date: 2009-09-07, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 丁伟
Player: 李世石, Date: 2009-09-05, Rating: 3583, Black and White: 执黑, Result: 负, Opponent: 彭荃
Player: 李世石, Date: 2009-08-29, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 李世石, Date: 2009-07-09, Rating: 3582, Black and White: 执白, Result: 负, Opponent: 古灵益
Player: 李世石, Date: 2009-07-04, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 李喆
Player: 李世石, Date: 2009-06-27, Rating: 3582, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 李世石, Date: 2009-06-13, Rating: 3581, Black and White: 执白, Result: 胜, Opponent: 孔杰
Player: 李世石, Date: 2009-06-12, Rating: 3581, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 李世石, Date: 2009-06-10, Rating: 3581, Black and White: 执白, Result: 胜, Opponent: 周鹤洋
Player: 李世石, Date: 2009-06-06, Rating: 3581, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 李世石, Date: 2009-06-03, Rating: 3581, Black and White: 执白, Result: 负, Opponent: 韩雄奎
Player: 李世石, Date: 2009-06-01, Rating: 3581, Black and White: 执黑, Result: 胜, Opponent: 姜昌培
Player: 李世石, Date: 2009-05-28, Rating: 3581, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 李世石, Date: 2009-05-18, Rating: 3581, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 李世石, Date: 2009-05-11, Rating: 3581, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 李世石, Date: 2009-05-07, Rating: 3581, Black and White: 执黑, Result: 胜, Opponent: 洪性志
Player: 李世石, Date: 2009-04-29, Rating: 3582, Black and White: 执白, Result: 负, Opponent: 赵汉乘
Player: 李世石, Date: 2009-04-23, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2009-04-17, Rating: 3582, Black and White: 执白, Result: 胜, Opponent: 尹峻相
Player: 李世石, Date: 2009-04-13, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 张栩
Player: 李世石, Date: 2009-04-05, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 李世石, Date: 2009-03-16, Rating: 3582, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2009-03-16, Rating: 3582, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2009-03-15, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 陈诗渊
Player: 李世石, Date: 2009-03-10, Rating: 3582, Black and White: 执白, Result: 胜, Opponent: 洪基杓
Player: 李世石, Date: 2009-03-01, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 廖行文
Player: 李世石, Date: 2009-02-25, Rating: 3582, Black and White: 执黑, Result: 负, Opponent: 古力
Player: 李世石, Date: 2009-02-23, Rating: 3582, Black and White: 执白, Result: 负, Opponent: 古力
Player: 李世石, Date: 2009-02-19, Rating: 3582, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 李世石, Date: 2009-02-18, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2009-02-06, Rating: 3582, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 李世石, Date: 2009-02-04, Rating: 3582, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 李世石, Date: 2009-02-02, Rating: 3582, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2009-01-29, Rating: 3582, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 2009-01-21, Rating: 3582, Black and White: 执白, Result: 胜, Opponent: 孔杰
Player: 李世石, Date: 2009-01-19, Rating: 3582, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 李世石, Date: 2009-01-14, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2009-01-05, Rating: 3583, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 古力, Date: 2009-12-30, Rating: 3511, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 古力, Date: 2009-12-22, Rating: 3511, Black and White: 执黑, Result: 胜, Opponent: 古灵益
Player: 古力, Date: 2009-12-19, Rating: 3511, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 古力, Date: 2009-12-12, Rating: 3511, Black and White: 执白, Result: 负, Opponent: 邱峻
Player: 古力, Date: 2009-12-05, Rating: 3511, Black and White: 执黑, Result: 负, Opponent: 周睿羊
Player: 古力, Date: 2009-11-30, Rating: 3512, Black and White: 执白, Result: 胜, Opponent: 朴文垚
Player: 古力, Date: 2009-11-26, Rating: 3512, Black and White: 执白, Result: 负, Opponent: 古灵益
Player: 古力, Date: 2009-11-22, Rating: 3512, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 古力, Date: 2009-11-21, Rating: 3512, Black and White: 执白, Result: 负, Opponent: 古灵益
Player: 古力, Date: 2009-11-20, Rating: 3512, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 古力, Date: 2009-11-17, Rating: 3512, Black and White: 执黑, Result: 胜, Opponent: 王煜辉
Player: 古力, Date: 2009-11-17, Rating: 3512, Black and White: 执白, Result: 胜, Opponent: 王雷
Player: 古力, Date: 2009-11-16, Rating: 3512, Black and White: 执黑, Result: 胜, Opponent: 张立
Player: 古力, Date: 2009-11-15, Rating: 3512, Black and White: 执白, Result: 胜, Opponent: 李喆
Player: 古力, Date: 2009-11-14, Rating: 3512, Black and White: 执黑, Result: 负, Opponent: 黄晨
Player: 古力, Date: 2009-11-09, Rating: 3512, Black and White: 执黑, Result: 负, Opponent: 朴文垚
Player: 古力, Date: 2009-11-04, Rating: 3513, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 古力, Date: 2009-11-02, Rating: 3513, Black and White: 执黑, Result: 负, Opponent: 孔杰
Player: 古力, Date: 2009-10-29, Rating: 3513, Black and White: 执白, Result: 负, Opponent: 罗洗河
Player: 古力, Date: 2009-10-20, Rating: 3514, Black and White: 执黑, Result: 负, Opponent: 彭荃
Player: 古力, Date: 2009-10-17, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 孟泰龄
Player: 古力, Date: 2009-10-14, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 古力, Date: 2009-10-13, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 古力, Date: 2009-10-10, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 古灵益
Player: 古力, Date: 2009-09-12, Rating: 3518, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 古力, Date: 2009-09-11, Rating: 3518, Black and White: 执白, Result: 负, Opponent: 刘星
Player: 古力, Date: 2009-09-07, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 王垚
Player: 古力, Date: 2009-09-05, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 刘星
Player: 古力, Date: 2009-09-01, Rating: 3518, Black and White: 执黑, Result: 负, Opponent: 孙腾宇
Player: 古力, Date: 2009-08-29, Rating: 3519, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 古力, Date: 2009-08-12, Rating: 3520, Black and White: 执白, Result: 胜, Opponent: 胡耀宇
Player: 古力, Date: 2009-07-11, Rating: 3523, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 古力, Date: 2009-07-09, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 古力, Date: 2009-07-04, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 周睿羊
