Player: 李世石, Date: 2010-12-24, Rating: 3583, Black and White: 执白, Result: 负, Opponent: 赵惠连
Player: 李世石, Date: 2010-12-20, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2010-12-19, Rating: 3583, Black and White: 执黑, Result: 胜, Opponent: 李元道
Player: 李世石, Date: 2010-12-16, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 古灵益
Player: 李世石, Date: 2010-12-14, Rating: 3583, Black and White: 执白, Result: 胜, Opponent: 王檄
Player: 李世石, Date: 2010-12-10, Rating: 3583, Black and White: 执黑, Result: 胜, Opponent: 裴俊熙
Player: 李世石, Date: 2010-12-09, Rating: 3583, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 李世石, Date: 2010-11-26, Rating: 3584, Black and White: 执黑, Result: 负, Opponent: 孔杰
Player: 李世石, Date: 2010-11-25, Rating: 3584, Black and White: 执白, Result: 负, Opponent: 井山裕太
Player: 李世石, Date: 2010-11-24, Rating: 3584, Black and White: 执白, Result: 胜, Opponent: 陈诗渊
Player: 李世石, Date: 2010-11-23, Rating: 3584, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 李世石, Date: 2010-11-15, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 姜儒泽
Player: 李世石, Date: 2010-11-09, Rating: 3586, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2010-11-08, Rating: 3586, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 李世石, Date: 2010-11-07, Rating: 3586, Black and White: 执白, Result: 胜, Opponent: 金起用
Player: 李世石, Date: 2010-11-04, Rating: 3586, Black and White: 执黑, Result: 胜, Opponent: 安亨浚
Player: 李世石, Date: 2010-10-27, Rating: 3587, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2010-10-26, Rating: 3587, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2010-10-25, Rating: 3587, Black and White: 执白, Result: 负, Opponent: 金志锡
Player: 李世石, Date: 2010-10-23, Rating: 3587, Black and White: 执白, Result: 胜, Opponent: 金庭贤
Player: 李世石, Date: 2010-10-20, Rating: 3588, Black and White: 执白, Result: 负, Opponent: 谢赫
Player: 李世石, Date: 2010-10-19, Rating: 3588, Black and White: 执黑, Result: 胜, Opponent: 井山裕太
Player: 李世石, Date: 2010-10-18, Rating: 3588, Black and White: 执黑, Result: 胜, Opponent: 王檄
Player: 李世石, Date: 2010-10-14, Rating: 3588, Black and White: 执黑, Result: 负, Opponent: 古力
Player: 李世石, Date: 2010-10-13, Rating: 3588, Black and White: 执白, Result: 胜, Opponent: 山下敬吾
Player: 李世石, Date: 2010-10-10, Rating: 3589, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2010-10-05, Rating: 3589, Black and White: 执白, Result: 胜, Opponent: 尹峻相
Player: 李世石, Date: 2010-09-26, Rating: 3590, Black and White: 执黑, Result: 胜, Opponent: 李元荣
Player: 李世石, Date: 2010-09-17, Rating: 3590, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 2010-09-15, Rating: 3590, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2010-09-12, Rating: 3590, Black and White: 执黑, Result: 胜, Opponent: 温昭珍
Player: 李世石, Date: 2010-09-09, Rating: 3591, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 李世石, Date: 2010-09-08, Rating: 3591, Black and White: 执黑, Result: 胜, Opponent: 村川大介
Player: 李世石, Date: 2010-09-01, Rating: 3591, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2010-08-19, Rating: 3591, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2010-08-16, Rating: 3591, Black and White: 执白, Result: 胜, Opponent: 姜至省
Player: 李世石, Date: 2010-08-13, Rating: 3591, Black and White: 执白, Result: 负, Opponent: 李泰贤
Player: 李世石, Date: 2010-08-08, Rating: 3591, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 李世石, Date: 2010-07-29, Rating: 3592, Black and White: 执白, Result: 胜, Opponent: 朴升贤
Player: 李世石, Date: 2010-07-25, Rating: 3592, Black and White: 执白, Result: 胜, Opponent: 许映皓
Player: 李世石, Date: 2010-07-23, Rating: 3592, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 李世石, Date: 2010-07-22, Rating: 3592, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 李世石, Date: 2010-07-21, Rating: 3592, Black and White: 执黑, Result: 胜, Opponent: 朴升贤
Player: 李世石, Date: 2010-07-19, Rating: 3592, Black and White: 执黑, Result: 胜, Opponent: 朴时烈
Player: 李世石, Date: 2010-07-16, Rating: 3592, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 2010-07-05, Rating: 3593, Black and White: 执黑, Result: 负, Opponent: 孔杰
Player: 李世石, Date: 2010-07-03, Rating: 3593, Black and White: 执黑, Result: 胜, Opponent: 朴文垚
Player: 李世石, Date: 2010-06-24, Rating: 3593, Black and White: 执白, Result: 胜, Opponent: 安国铉
Player: 李世石, Date: 2010-06-18, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2010-06-07, Rating: 3594, Black and White: 执白, Result: 负, Opponent: 古力
Player: 李世石, Date: 2010-06-04, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 安成浚
Player: 李世石, Date: 2010-06-01, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 金成宰
Player: 李世石, Date: 2010-05-31, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 朴正祥
Player: 李世石, Date: 2010-05-26, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2010-05-20, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 李熙星
Player: 李世石, Date: 2010-05-19, Rating: 3594, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 李世石, Date: 2010-05-07, Rating: 3594, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 李世石, Date: 2010-05-07, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 宋泰坤
Player: 李世石, Date: 2010-05-04, Rating: 3594, Black and White: 执白, Result: 负, Opponent: 白洪淅
Player: 李世石, Date: 2010-04-27, Rating: 3595, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2010-04-25, Rating: 3595, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2010-04-24, Rating: 3595, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2010-04-19, Rating: 3595, Black and White: 执白, Result: 胜, Opponent: 金炯佑
Player: 李世石, Date: 2010-04-17, Rating: 3595, Black and White: 执黑, Result: 胜, Opponent: 安亨浚
Player: 李世石, Date: 2010-04-14, Rating: 3595, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 李世石, Date: 2010-04-12, Rating: 3595, Black and White: 执黑, Result: 胜, Opponent: 安斋伸彰
Player: 李世石, Date: 2010-04-07, Rating: 3595, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 李世石, Date: 2010-04-03, Rating: 3595, Black and White: 执黑, Result: 胜, Opponent: 金起用
Player: 李世石, Date: 2010-03-29, Rating: 3595, Black and White: 执白, Result: 胜, Opponent: 孙腾宇
Player: 李世石, Date: 2010-03-27, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 周俊勋
Player: 李世石, Date: 2010-03-22, Rating: 3594, Black and White: 执白, Result: 胜, Opponent: 尹峻相
Player: 李世石, Date: 2010-03-19, Rating: 3594, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2010-02-27, Rating: 3593, Black and White: 执白, Result: 胜, Opponent: 孔杰
Player: 李世石, Date: 2010-02-11, Rating: 3592, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2010-01-31, Rating: 3591, Black and White: 执白, Result: 胜, Opponent: 洪性志
