Player: 朴廷桓, Date: 2012-12-24, Rating: 3589, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 朴廷桓, Date: 2012-12-22, Rating: 3589, Black and White: 执黑, Result: 负, Opponent: 范廷钰
Player: 朴廷桓, Date: 2012-12-15, Rating: 3588, Black and White: 执白, Result: 负, Opponent: 姜东润
Player: 朴廷桓, Date: 2012-12-15, Rating: 3588, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2012-12-14, Rating: 3588, Black and White: 执白, Result: 胜, Opponent: 江维杰
Player: 朴廷桓, Date: 2012-12-13, Rating: 3588, Black and White: 执黑, Result: 胜, Opponent: 内田修平
Player: 朴廷桓, Date: 2012-12-13, Rating: 3588, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2012-12-12, Rating: 3588, Black and White: 执白, Result: 胜, Opponent: 萨巴梅罗
Player: 朴廷桓, Date: 2012-12-10, Rating: 3587, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2012-12-04, Rating: 3587, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2012-11-29, Rating: 3586, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 朴廷桓, Date: 2012-11-26, Rating: 3586, Black and White: 执黑, Result: 胜, Opponent: 许映皓
Player: 朴廷桓, Date: 2012-11-24, Rating: 3586, Black and White: 执白, Result: 负, Opponent: 时越
Player: 朴廷桓, Date: 2012-11-20, Rating: 3586, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 朴廷桓, Date: 2012-11-14, Rating: 3585, Black and White: 执黑, Result: 负, Opponent: 古力
Player: 朴廷桓, Date: 2012-11-12, Rating: 3585, Black and White: 执白, Result: 负, Opponent: 古力
Player: 朴廷桓, Date: 2012-10-31, Rating: 3585, Black and White: 执白, Result: 负, Opponent: 刘星
Player: 朴廷桓, Date: 2012-10-29, Rating: 3585, Black and White: 执白, Result: 负, Opponent: 金起用
Player: 朴廷桓, Date: 2012-10-23, Rating: 3585, Black and White: 执白, Result: 胜, Opponent: 李志贤
Player: 朴廷桓, Date: 2012-10-21, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2012-10-12, Rating: 3585, Black and White: 执黑, Result: 负, Opponent: 尹峻相
Player: 朴廷桓, Date: 2012-10-10, Rating: 3585, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2012-10-09, Rating: 3585, Black and White: 执白, Result: 胜, Opponent: 钟文靖
Player: 朴廷桓, Date: 2012-10-03, Rating: 3585, Black and White: 执黑, Result: 负, Opponent: 李志贤
Player: 朴廷桓, Date: 2012-09-30, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 朴廷桓, Date: 2012-09-28, Rating: 3585, Black and White: 执黑, Result: 负, Opponent: 罗玄
Player: 朴廷桓, Date: 2012-09-25, Rating: 3585, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2012-09-23, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2012-09-18, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 崔原踊
Player: 朴廷桓, Date: 2012-09-17, Rating: 3585, Black and White: 执白, Result: 胜, Opponent: 许映皓
Player: 朴廷桓, Date: 2012-09-13, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 金世东
Player: 朴廷桓, Date: 2012-09-11, Rating: 3585, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2012-09-08, Rating: 3585, Black and White: 执白, Result: 胜, Opponent: 毛睿龙
Player: 朴廷桓, Date: 2012-09-06, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 崔精
Player: 朴廷桓, Date: 2012-09-05, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 周贺玺
Player: 朴廷桓, Date: 2012-09-04, Rating: 3585, Black and White: 执白, Result: 负, Opponent: 李钦诚
Player: 朴廷桓, Date: 2012-09-01, Rating: 3585, Black and White: 执白, Result: 胜, Opponent: 谢赫
Player: 朴廷桓, Date: 2012-08-30, Rating: 3585, Black and White: 执黑, Result: 胜, Opponent: 安祚永
Player: 朴廷桓, Date: 2012-08-27, Rating: 3585, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 朴廷桓, Date: 2012-08-23, Rating: 3585, Black and White: 执白, Result: 负, Opponent: 周睿羊
Player: 朴廷桓, Date: 2012-08-21, Rating: 3585, Black and White: 执白, Result: 胜, Opponent: 江维杰
Player: 朴廷桓, Date: 2012-08-19, Rating: 3585, Black and White: 执白, Result: 胜, Opponent: 安国铉
Player: 朴廷桓, Date: 2012-08-15, Rating: 3585, Black and White: 执白, Result: 负, Opponent: 孔杰
