Player: 朴廷桓, Date: 2014-12-25, Rating: 3646, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2014-12-22, Rating: 3646, Black and White: 执黑, Result: 胜, Opponent: 金庭贤
Player: 朴廷桓, Date: 2014-12-21, Rating: 3646, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2014-12-20, Rating: 3646, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2014-12-18, Rating: 3646, Black and White: 执白, Result: 负, Opponent: 金志锡
Player: 朴廷桓, Date: 2014-12-17, Rating: 3646, Black and White: 执黑, Result: 胜, Opponent: 朴珉奎
Player: 朴廷桓, Date: 2014-12-06, Rating: 3646, Black and White: 执黑, Result: 胜, Opponent: 李元荣
Player: 朴廷桓, Date: 2014-12-05, Rating: 3646, Black and White: 执白, Result: 胜, Opponent: 金庭贤
Player: 朴廷桓, Date: 2014-12-03, Rating: 3646, Black and White: 执白, Result: 负, Opponent: 井山裕太
Player: 朴廷桓, Date: 2014-12-02, Rating: 3646, Black and White: 执白, Result: 胜, Opponent: 王檄
Player: 朴廷桓, Date: 2014-11-28, Rating: 3646, Black and White: 执黑, Result: 胜, Opponent: 罗玄
Player: 朴廷桓, Date: 2014-11-19, Rating: 3646, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 朴廷桓, Date: 2014-11-17, Rating: 3646, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2014-11-13, Rating: 3646, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2014-11-09, Rating: 3646, Black and White: 执白, Result: 胜, Opponent: 柳秀沆
Player: 朴廷桓, Date: 2014-11-07, Rating: 3646, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 朴廷桓, Date: 2014-11-06, Rating: 3646, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 朴廷桓, Date: 2014-11-05, Rating: 3646, Black and White: 执白, Result: 负, Opponent: 唐韦星
Player: 朴廷桓, Date: 2014-11-03, Rating: 3646, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 朴廷桓, Date: 2014-10-28, Rating: 3646, Black and White: 执白, Result: 胜, Opponent: 党毅飞
Player: 朴廷桓, Date: 2014-10-26, Rating: 3646, Black and White: 执白, Result: 胜, Opponent: 金明训
Player: 朴廷桓, Date: 2014-10-19, Rating: 3645, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2014-10-16, Rating: 3645, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 朴廷桓, Date: 2014-10-14, Rating: 3645, Black and White: 执黑, Result: 胜, Opponent: 严欢
Player: 朴廷桓, Date: 2014-10-10, Rating: 3645, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 朴廷桓, Date: 2014-10-09, Rating: 3645, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 朴廷桓, Date: 2014-10-05, Rating: 3644, Black and White: 执黑, Result: 负, Opponent: 朴永训
Player: 朴廷桓, Date: 2014-10-01, Rating: 3644, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 朴廷桓, Date: 2014-09-30, Rating: 3644, Black and White: 执黑, Result: 负, Opponent: 朴永训
Player: 朴廷桓, Date: 2014-09-26, Rating: 3644, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2014-09-24, Rating: 3644, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2014-09-20, Rating: 3643, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2014-09-18, Rating: 3643, Black and White: 执白, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2014-09-16, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 陈时映
Player: 朴廷桓, Date: 2014-09-14, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 张涛
Player: 朴廷桓, Date: 2014-09-11, Rating: 3643, Black and White: 执白, Result: 负, Opponent: 金炯佑
Player: 朴廷桓, Date: 2014-09-10, Rating: 3643, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 朴廷桓, Date: 2014-09-07, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 金民浩
Player: 朴廷桓, Date: 2014-09-05, Rating: 3643, Black and White: 执黑, Result: 胜, Opponent: 陈时映
Player: 朴廷桓, Date: 2014-09-02, Rating: 3643, Black and White: 执白, Result: 负, Opponent: 罗玄
Player: 朴廷桓, Date: 2014-08-28, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 朴廷桓, Date: 2014-08-27, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 孟泰龄
Player: 朴廷桓, Date: 2014-08-26, Rating: 3643, Black and White: 执黑, Result: 负, Opponent: 时越
Player: 朴廷桓, Date: 2014-08-22, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 宋泰坤
Player: 朴廷桓, Date: 2014-08-21, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 李泰贤
Player: 朴廷桓, Date: 2014-08-18, Rating: 3643, Black and White: 执白, Result: 负, Opponent: 河野临
Player: 朴廷桓, Date: 2014-08-17, Rating: 3643, Black and White: 执黑, Result: 胜, Opponent: 结城聪
Player: 朴廷桓, Date: 2014-08-14, Rating: 3643, Black and White: 执黑, Result: 胜, Opponent: 闵详然
Player: 朴廷桓, Date: 2014-08-13, Rating: 3643, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 朴廷桓, Date: 2014-08-11, Rating: 3643, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2014-08-10, Rating: 3644, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2014-08-09, Rating: 3644, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2014-08-08, Rating: 3644, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 朴廷桓, Date: 2014-07-30, Rating: 3644, Black and White: 执黑, Result: 胜, Opponent: 尹峻相
Player: 朴廷桓, Date: 2014-07-29, Rating: 3644, Black and White: 执黑, Result: 胜, Opponent: 朴时烈
Player: 朴廷桓, Date: 2014-07-28, Rating: 3644, Black and White: 执黑, Result: 胜, Opponent: 金明训
Player: 朴廷桓, Date: 2014-07-24, Rating: 3644, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2014-07-22, Rating: 3644, Black and White: 执黑, Result: 胜, Opponent: 芮乃伟
Player: 朴廷桓, Date: 2014-07-18, Rating: 3644, Black and White: 执黑, Result: 胜, Opponent: 李浩范
Player: 朴廷桓, Date: 2014-07-16, Rating: 3644, Black and White: 执白, Result: 胜, Opponent: 金成进
Player: 朴廷桓, Date: 2014-07-11, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 金成进
Player: 朴廷桓, Date: 2014-07-09, Rating: 3643, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 朴廷桓, Date: 2014-07-05, Rating: 3643, Black and White: 执白, Result: 负, Opponent: 杨鼎新
Player: 朴廷桓, Date: 2014-06-26, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 罗玄
Player: 朴廷桓, Date: 2014-06-22, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 王昊洋
Player: 朴廷桓, Date: 2014-06-15, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 朴承华
Player: 朴廷桓, Date: 2014-06-14, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 蔡竞
Player: 朴廷桓, Date: 2014-06-11, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 朴廷桓, Date: 2014-06-09, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 李维清
Player: 朴廷桓, Date: 2014-06-06, Rating: 3642, Black and White: 执黑, Result: 负, Opponent: 金志锡
Player: 朴廷桓, Date: 2014-06-05, Rating: 3642, Black and White: 执白, Result: 胜, Opponent: 古灵益
Player: 朴廷桓, Date: 2014-06-03, Rating: 3642, Black and White: 执白, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2014-05-28, Rating: 3642, Black and White: 执黑, Result: 负, Opponent: 金成宰
Player: 朴廷桓, Date: 2014-05-23, Rating: 3642, Black and White: 执黑, Result: 负, Opponent: 金民浩
Player: 朴廷桓, Date: 2014-05-22, Rating: 3642, Black and White: 执白, Result: 胜, Opponent: 许嘉阳
Player: 朴廷桓, Date: 2014-05-18, Rating: 3642, Black and White: 执白, Result: 胜, Opponent: 张涛
Player: 朴廷桓, Date: 2014-05-12, Rating: 3642, Black and White: 执白, Result: 负, Opponent: 江维杰
Player: 朴廷桓, Date: 2014-05-10, Rating: 3642, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 朴廷桓, Date: 2014-04-28, Rating: 3642, Black and White: 执白, Result: 胜, Opponent: 朴进率
Player: 朴廷桓, Date: 2014-04-22, Rating: 3642, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 朴廷桓, Date: 2014-04-15, Rating: 3642, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 朴廷桓, Date: 2014-04-12, Rating: 3642, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 朴廷桓, Date: 2014-04-03, Rating: 3642, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 朴廷桓, Date: 2014-04-01, Rating: 3642, Black and White: 执白, Result: 胜, Opponent: 朴正祥
Player: 朴廷桓, Date: 2014-03-28, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 朴廷桓, Date: 2014-03-23, Rating: 3643, Black and White: 执黑, Result: 胜, Opponent: 时越
Player: 朴廷桓, Date: 2014-03-21, Rating: 3643, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 朴廷桓, Date: 2014-03-18, Rating: 3643, Black and White: 执黑, Result: 胜, Opponent: 李铭
