Player: 朴廷桓, Date: 2019-01-01, Rating: 3704, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 朴廷桓, Date: 2018-12-21, Rating: 3705, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2018-12-19, Rating: 3705, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2018-12-17, Rating: 3705, Black and White: 执白, Result: 胜, Opponent: 谢科
Player: 朴廷桓, Date: 2018-12-14, Rating: 3705, Black and White: 执黑, Result: 胜, Opponent: 刘曦
Player: 朴廷桓, Date: 2018-12-12, Rating: 3705, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2018-12-11, Rating: 3705, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2018-12-08, Rating: 3705, Black and White: 执黑, Result: 胜, Opponent: 文钟皓
Player: 朴廷桓, Date: 2018-11-27, Rating: 3704, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 朴廷桓, Date: 2018-11-23, Rating: 3704, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 朴廷桓, Date: 2018-11-12, Rating: 3704, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 朴廷桓, Date: 2018-10-29, Rating: 3703, Black and White: 执黑, Result: 胜, Opponent: 李轩豪
Player: 朴廷桓, Date: 2018-10-27, Rating: 3703, Black and White: 执白, Result: 负, Opponent: 柁嘉熹
Player: 朴廷桓, Date: 2018-10-23, Rating: 3703, Black and White: 执黑, Result: 胜, Opponent: 柳秀沆
Player: 朴廷桓, Date: 2018-10-10, Rating: 3703, Black and White: 执白, Result: 负, Opponent: 谢尔豪
Player: 朴廷桓, Date: 2018-10-07, Rating: 3703, Black and White: 执白, Result: 胜, Opponent: 许映皓
Player: 朴廷桓, Date: 2018-10-01, Rating: 3703, Black and White: 执黑, Result: 负, Opponent: 谢尔豪
Player: 朴廷桓, Date: 2018-09-27, Rating: 3703, Black and White: 执黑, Result: 胜, Opponent: 金世东
Player: 朴廷桓, Date: 2018-09-26, Rating: 3703, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2018-09-25, Rating: 3703, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 朴廷桓, Date: 2018-09-23, Rating: 3703, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 朴廷桓, Date: 2018-09-21, Rating: 3703, Black and White: 执黑, Result: 胜, Opponent: 一力辽
Player: 朴廷桓, Date: 2018-09-13, Rating: 3703, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 朴廷桓, Date: 2018-09-12, Rating: 3703, Black and White: 执黑, Result: 负, Opponent: 伊凌涛
Player: 朴廷桓, Date: 2018-09-08, Rating: 3703, Black and White: 执白, Result: 负, Opponent: 陶欣然
Player: 朴廷桓, Date: 2018-09-05, Rating: 3703, Black and White: 执黑, Result: 胜, Opponent: 芝野虎丸
Player: 朴廷桓, Date: 2018-09-04, Rating: 3703, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 朴廷桓, Date: 2018-09-01, Rating: 3703, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 朴廷桓, Date: 2018-08-24, Rating: 3703, Black and White: 执黑, Result: 胜, Opponent: 朴常镇
Player: 朴廷桓, Date: 2018-08-17, Rating: 3703, Black and White: 执白, Result: 胜, Opponent: 朴进率
Player: 朴廷桓, Date: 2018-08-13, Rating: 3703, Black and White: 执黑, Result: 负, Opponent: 芈昱廷
Player: 朴廷桓, Date: 2018-08-09, Rating: 3703, Black and White: 执黑, Result: 负, Opponent: 朴河旼
Player: 朴廷桓, Date: 2018-08-06, Rating: 3704, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 朴廷桓, Date: 2018-08-05, Rating: 3704, Black and White: 执黑, Result: 胜, Opponent: 洪基杓
Player: 朴廷桓, Date: 2018-07-30, Rating: 3704, Black and White: 执白, Result: 胜, Opponent: 王元均
Player: 朴廷桓, Date: 2018-07-29, Rating: 3704, Black and White: 执黑, Result: 胜, Opponent: 廖元赫
Player: 朴廷桓, Date: 2018-07-28, Rating: 3704, Black and White: 执黑, Result: 胜, Opponent: 一力辽
Player: 朴廷桓, Date: 2018-07-28, Rating: 3704, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 朴廷桓, Date: 2018-07-24, Rating: 3704, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2018-07-22, Rating: 3704, Black and White: 执白, Result: 胜, Opponent: 安国铉
Player: 朴廷桓, Date: 2018-07-18, Rating: 3704, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 朴廷桓, Date: 2018-07-15, Rating: 3704, Black and White: 执黑, Result: 胜, Opponent: 李昌锡
Player: 朴廷桓, Date: 2018-06-29, Rating: 3705, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 朴廷桓, Date: 2018-06-23, Rating: 3705, Black and White: 执黑, Result: 胜, Opponent: 柳珉滢
Player: 朴廷桓, Date: 2018-06-16, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2018-06-07, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 金明训
Player: 朴廷桓, Date: 2018-06-02, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 杨鼎新
Player: 朴廷桓, Date: 2018-05-30, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 芝野虎丸
Player: 朴廷桓, Date: 2018-05-28, Rating: 3706, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 朴廷桓, Date: 2018-05-21, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 朴廷桓, Date: 2018-05-09, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 柯洁
Player: 朴廷桓, Date: 2018-05-02, Rating: 3706, Black and White: 执黑, Result: 负, Opponent: 金志锡
Player: 朴廷桓, Date: 2018-05-01, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 志田达哉
Player: 朴廷桓, Date: 2018-04-25, Rating: 3706, Black and White: 执黑, Result: 胜, Opponent: 朴炫洙
Player: 朴廷桓, Date: 2018-03-30, Rating: 3707, Black and White: 执白, Result: 负, Opponent: 范廷钰
Player: 朴廷桓, Date: 2018-03-28, Rating: 3707, Black and White: 执黑, Result: 胜, Opponent: 黄昕
Player: 朴廷桓, Date: 2018-03-26, Rating: 3708, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2018-03-25, Rating: 3708, Black and White: 执白, Result: 胜, Opponent: 姜儒泽
Player: 朴廷桓, Date: 2018-03-23, Rating: 3708, Black and White: 执白, Result: 胜, Opponent: 彭立尧
Player: 朴廷桓, Date: 2018-03-19, Rating: 3708, Black and White: 执白, Result: 胜, Opponent: 井山裕太
Player: 朴廷桓, Date: 2018-03-18, Rating: 3708, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2018-03-15, Rating: 3708, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 朴廷桓, Date: 2018-03-12, Rating: 3708, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2018-03-08, Rating: 3708, Black and White: 执白, Result: 负, Opponent: 朴进率
Player: 朴廷桓, Date: 2018-03-06, Rating: 3708, Black and White: 执黑, Result: 负, Opponent: 赵汉乘
Player: 朴廷桓, Date: 2018-03-05, Rating: 3708, Black and White: 执黑, Result: 胜, Opponent: 温昭珍
Player: 朴廷桓, Date: 2018-02-20, Rating: 3708, Black and White: 执白, Result: 胜, Opponent: 李廷宇
Player: 朴廷桓, Date: 2018-02-12, Rating: 3709, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 朴廷桓, Date: 2018-02-11, Rating: 3709, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2018-02-10, Rating: 3709, Black and White: 执白, Result: 负, Opponent: 申真谞
Player: 朴廷桓, Date: 2018-02-07, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 朴廷桓, Date: 2018-02-05, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 一力辽
Player: 朴廷桓, Date: 2018-02-03, Rating: 3709, Black and White: 执黑, Result: 胜, Opponent: 申真谞
Player: 朴廷桓, Date: 2018-01-21, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 姜升旼
Player: 朴廷桓, Date: 2018-01-17, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 朴廷桓, Date: 2018-01-15, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 朴廷桓, Date: 2018-01-13, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 朴廷桓, Date: 2018-01-02, Rating: 3709, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 申真谞, Date: 2018-12-26, Rating: 3745, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 申真谞, Date: 2018-12-25, Rating: 3745, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 申真谞, Date: 2018-12-23, Rating: 3745, Black and White: 执黑, Result: 负, Opponent: 陈耀烨
Player: 申真谞, Date: 2018-12-21, Rating: 3745, Black and White: 执黑, Result: 胜, Opponent: 江维杰
Player: 申真谞, Date: 2018-12-11, Rating: 3743, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2018-12-07, Rating: 3743, Black and White: 执黑, Result: 胜, Opponent: 崔精
Player: 申真谞, Date: 2018-11-17, Rating: 3740, Black and White: 执黑, Result: 负, Opponent: 卞相壹
Player: 申真谞, Date: 2018-11-13, Rating: 3740, Black and White: 执白, Result: 胜, Opponent: 金明训
Player: 申真谞, Date: 2018-11-11, Rating: 3740, Black and White: 执白, Result: 胜, Opponent: 许映皓
Player: 申真谞, Date: 2018-11-10, Rating: 3740, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2018-11-09, Rating: 3740, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2018-11-02, Rating: 3739, Black and White: 执白, Result: 胜, Opponent: 秦悦欣
Player: 申真谞, Date: 2018-10-27, Rating: 3738, Black and White: 执白, Result: 负, Opponent: 辜梓豪
Player: 申真谞, Date: 2018-10-23, Rating: 3738, Black and White: 执白, Result: 胜, Opponent: 朴珉奎
Player: 申真谞, Date: 2018-10-15, Rating: 3737, Black and White: 执白, Result: 胜, Opponent: 王元均
Player: 申真谞, Date: 2018-10-15, Rating: 3737, Black and White: 执白, Result: 胜, Opponent: 范蕴若
Player: 申真谞, Date: 2018-10-14, Rating: 3737, Black and White: 执白, Result: 胜, Opponent: 许家元
Player: 申真谞, Date: 2018-10-14, Rating: 3737, Black and White: 执黑, Result: 胜, Opponent: 范蕴若
Player: 申真谞, Date: 2018-10-10, Rating: 3736, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 申真谞, Date: 2018-10-08, Rating: 3736, Black and White: 执白, Result: 胜, Opponent: 廖元赫
Player: 申真谞, Date: 2018-10-06, Rating: 3736, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 申真谞, Date: 2018-10-02, Rating: 3735, Black and White: 执白, Result: 负, Opponent: 柯洁
Player: 申真谞, Date: 2018-10-01, Rating: 3735, Black and White: 执黑, Result: 胜, Opponent: 李翔宇
Player: 申真谞, Date: 2018-09-30, Rating: 3735, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2018-09-26, Rating: 3734, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2018-09-25, Rating: 3734, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 申真谞, Date: 2018-09-23, Rating: 3734, Black and White: 执黑, Result: 胜, Opponent: 党毅飞
Player: 申真谞, Date: 2018-09-21, Rating: 3733, Black and White: 执黑, Result: 胜, Opponent: 伊利亚什克辛
Player: 申真谞, Date: 2018-09-15, Rating: 3732, Black and White: 执白, Result: 胜, Opponent: 尹峻相
Player: 申真谞, Date: 2018-09-12, Rating: 3732, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 申真谞, Date: 2018-09-10, Rating: 3732, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 申真谞, Date: 2018-09-08, Rating: 3731, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 申真谞, Date: 2018-09-05, Rating: 3731, Black and White: 执黑, Result: 胜, Opponent: 李翔宇
Player: 申真谞, Date: 2018-09-04, Rating: 3731, Black and White: 执白, Result: 胜, Opponent: 邬光亚
Player: 申真谞, Date: 2018-08-30, Rating: 3730, Black and White: 执黑, Result: 胜, Opponent: 李东勋
Player: 申真谞, Date: 2018-08-26, Rating: 3729, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2018-08-25, Rating: 3729, Black and White: 执黑, Result: 胜, Opponent: 辜梓豪
Player: 申真谞, Date: 2018-08-23, Rating: 3728, Black and White: 执黑, Result: 胜, Opponent: 屠晓宇
Player: 申真谞, Date: 2018-08-17, Rating: 3727, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 申真谞, Date: 2018-08-13, Rating: 3726, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 申真谞, Date: 2018-08-10, Rating: 3725, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 申真谞, Date: 2018-08-06, Rating: 3724, Black and White: 执白, Result: 胜, Opponent: 韩尚勋
Player: 申真谞, Date: 2018-08-02, Rating: 3723, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2018-07-28, Rating: 3722, Black and White: 执白, Result: 胜, Opponent: 结城聪
Player: 申真谞, Date: 2018-07-28, Rating: 3722, Black and White: 执白, Result: 负, Opponent: 金志锡
Player: 申真谞, Date: 2018-07-26, Rating: 3721, Black and White: 执黑, Result: 胜, Opponent: 党毅飞
Player: 申真谞, Date: 2018-07-24, Rating: 3721, Black and White: 执白, Result: 胜, Opponent: 王元均
Player: 申真谞, Date: 2018-07-19, Rating: 3719, Black and White: 执白, Result: 负, Opponent: 姜东润
Player: 申真谞, Date: 2018-07-19, Rating: 3719, Black and White: 执白, Result: 胜, Opponent: 陈时映
Player: 申真谞, Date: 2018-07-17, Rating: 3719, Black and White: 执黑, Result: 胜, Opponent: 尹灿熙
Player: 申真谞, Date: 2018-07-16, Rating: 3719, Black and White: 执白, Result: 胜, Opponent: 罗玄
Player: 申真谞, Date: 2018-07-13, Rating: 3718, Black and White: 执白, Result: 负, Opponent: 金志锡
Player: 申真谞, Date: 2018-07-01, Rating: 3715, Black and White: 执白, Result: 胜, Opponent: 李东勋
Player: 申真谞, Date: 2018-06-25, Rating: 3714, Black and White: 执黑, Result: 胜, Opponent: 秦悦欣
Player: 申真谞, Date: 2018-06-21, Rating: 3713, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2018-06-20, Rating: 3713, Black and White: 执黑, Result: 胜, Opponent: 罗玄
Player: 申真谞, Date: 2018-06-18, Rating: 3712, Black and White: 执黑, Result: 胜, Opponent: 金世东
Player: 申真谞, Date: 2018-06-16, Rating: 3712, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2018-06-11, Rating: 3710, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2018-06-02, Rating: 3708, Black and White: 执白, Result: 胜, Opponent: 范蕴若
Player: 申真谞, Date: 2018-05-30, Rating: 3707, Black and White: 执黑, Result: 负, Opponent: 彭立尧
Player: 申真谞, Date: 2018-05-28, Rating: 3707, Black and White: 执白, Result: 胜, Opponent: 范胤
Player: 申真谞, Date: 2018-05-23, Rating: 3706, Black and White: 执白, Result: 负, Opponent: 申旻埈
Player: 申真谞, Date: 2018-05-19, Rating: 3705, Black and White: 执黑, Result: 胜, Opponent: 李东勋
