Player: 申真谞, Date: 2019-12-28, Rating: 3813, Black and White: 执黑, Result: 胜, Opponent: 沈载益
Player: 申真谞, Date: 2019-12-22, Rating: 3812, Black and White: 执黑, Result: 胜, Opponent: 洪性志
Player: 申真谞, Date: 2019-12-17, Rating: 3811, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2019-12-17, Rating: 3811, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2019-12-14, Rating: 3810, Black and White: 执白, Result: 胜, Opponent: 郑誓俊
Player: 申真谞, Date: 2019-12-11, Rating: 3809, Black and White: 执白, Result: 胜, Opponent: 邬光亚
Player: 申真谞, Date: 2019-12-09, Rating: 3809, Black and White: 执白, Result: 胜, Opponent: 丁浩
Player: 申真谞, Date: 2019-12-07, Rating: 3808, Black and White: 执黑, Result: 胜, Opponent: 朴进率
Player: 申真谞, Date: 2019-12-03, Rating: 3807, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 申真谞, Date: 2019-11-28, Rating: 3806, Black and White: 执白, Result: 胜, Opponent: 朴键昊
Player: 申真谞, Date: 2019-11-25, Rating: 3806, Black and White: 执黑, Result: 负, Opponent: 杨鼎新
Player: 申真谞, Date: 2019-11-21, Rating: 3805, Black and White: 执黑, Result: 胜, Opponent: 朴常镇
Player: 申真谞, Date: 2019-11-19, Rating: 3804, Black and White: 执黑, Result: 胜, Opponent: 尹峻相
Player: 申真谞, Date: 2019-11-10, Rating: 3803, Black and White: 执黑, Result: 胜, Opponent: 安正己
Player: 申真谞, Date: 2019-11-06, Rating: 3802, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 申真谞, Date: 2019-11-04, Rating: 3801, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 申真谞, Date: 2019-11-02, Rating: 3801, Black and White: 执白, Result: 胜, Opponent: 宋知勋
Player: 申真谞, Date: 2019-10-30, Rating: 3800, Black and White: 执黑, Result: 胜, Opponent: 柯洁
Player: 申真谞, Date: 2019-10-28, Rating: 3800, Black and White: 执白, Result: 胜, Opponent: 许嘉阳
Player: 申真谞, Date: 2019-10-25, Rating: 3799, Black and White: 执白, Result: 胜, Opponent: 沈载益
Player: 申真谞, Date: 2019-10-22, Rating: 3798, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2019-10-21, Rating: 3798, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2019-10-17, Rating: 3797, Black and White: 执白, Result: 胜, Opponent: 罗玄
Player: 申真谞, Date: 2019-10-11, Rating: 3796, Black and White: 执白, Result: 负, Opponent: 丁浩
Player: 申真谞, Date: 2019-10-10, Rating: 3795, Black and White: 执黑, Result: 胜, Opponent: 古灵益
Player: 申真谞, Date: 2019-10-04, Rating: 3794, Black and White: 执白, Result: 胜, Opponent: 郑誓俊
Player: 申真谞, Date: 2019-10-02, Rating: 3794, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2019-09-27, Rating: 3793, Black and White: 执黑, Result: 胜, Opponent: 尹灿熙
Player: 申真谞, Date: 2019-09-01, Rating: 3788, Black and White: 执白, Result: 负, Opponent: 廖元赫
Player: 申真谞, Date: 2019-08-31, Rating: 3787, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 申真谞, Date: 2019-08-30, Rating: 3787, Black and White: 执白, Result: 胜, Opponent: 高星
Player: 申真谞, Date: 2019-08-28, Rating: 3787, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 申真谞, Date: 2019-08-26, Rating: 3786, Black and White: 执白, Result: 负, Opponent: 范蕴若
Player: 申真谞, Date: 2019-08-24, Rating: 3786, Black and White: 执黑, Result: 负, Opponent: 党毅飞
Player: 申真谞, Date: 2019-08-12, Rating: 3785, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 申真谞, Date: 2019-08-10, Rating: 3784, Black and White: 执黑, Result: 胜, Opponent: 赵晨宇
Player: 申真谞, Date: 2019-08-07, Rating: 3784, Black and White: 执白, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2019-08-06, Rating: 3784, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2019-08-04, Rating: 3783, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2019-08-04, Rating: 3783, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 申真谞, Date: 2019-08-03, Rating: 3783, Black and White: 执白, Result: 胜, Opponent: 许皓鋐
Player: 申真谞, Date: 2019-07-29, Rating: 3783, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 申真谞, Date: 2019-07-22, Rating: 3782, Black and White: 执白, Result: 胜, Opponent: 张涛
Player: 申真谞, Date: 2019-07-20, Rating: 3782, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 申真谞, Date: 2019-07-14, Rating: 3781, Black and White: 执黑, Result: 胜, Opponent: 李志贤
Player: 申真谞, Date: 2019-07-08, Rating: 3781, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2019-06-29, Rating: 3779, Black and White: 执白, Result: 胜, Opponent: 偰玹准
Player: 申真谞, Date: 2019-06-23, Rating: 3779, Black and White: 执白, Result: 胜, Opponent: 丁浩
Player: 申真谞, Date: 2019-06-22, Rating: 3778, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2019-06-21, Rating: 3778, Black and White: 执黑, Result: 胜, Opponent: 许嘉阳
Player: 申真谞, Date: 2019-06-15, Rating: 3777, Black and White: 执黑, Result: 胜, Opponent: 陈时映
Player: 申真谞, Date: 2019-06-10, Rating: 3777, Black and White: 执黑, Result: 胜, Opponent: 周睿羊
Player: 申真谞, Date: 2019-06-08, Rating: 3776, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 申真谞, Date: 2019-06-07, Rating: 3776, Black and White: 执白, Result: 胜, Opponent: 李志贤
Player: 申真谞, Date: 2019-06-01, Rating: 3775, Black and White: 执黑, Result: 胜, Opponent: 柁嘉熹
Player: 申真谞, Date: 2019-05-29, Rating: 3774, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 申真谞, Date: 2019-05-27, Rating: 3774, Black and White: 执黑, Result: 胜, Opponent: 廖元赫
Player: 申真谞, Date: 2019-05-22, Rating: 3773, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2019-05-21, Rating: 3773, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2019-05-20, Rating: 3772, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2019-05-15, Rating: 3771, Black and White: 执白, Result: 胜, Opponent: 伊田笃史
Player: 申真谞, Date: 2019-05-14, Rating: 3771, Black and White: 执白, Result: 负, Opponent: 芈昱廷
Player: 申真谞, Date: 2019-05-11, Rating: 3770, Black and White: 执黑, Result: 胜, Opponent: 孟泰龄
Player: 申真谞, Date: 2019-05-06, Rating: 3769, Black and White: 执白, Result: 负, Opponent: 柯洁
Player: 申真谞, Date: 2019-05-02, Rating: 3769, Black and White: 执白, Result: 胜, Opponent: 文敏钟
Player: 申真谞, Date: 2019-04-29, Rating: 3768, Black and White: 执黑, Result: 胜, Opponent: 丁浩
Player: 申真谞, Date: 2019-04-27, Rating: 3768, Black and White: 执黑, Result: 胜, Opponent: 李东勋
Player: 申真谞, Date: 2019-04-26, Rating: 3767, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2019-04-22, Rating: 3766, Black and White: 执黑, Result: 负, Opponent: 李东勋
Player: 申真谞, Date: 2019-04-21, Rating: 3766, Black and White: 执白, Result: 负, Opponent: 王泽锦
Player: 申真谞, Date: 2019-04-21, Rating: 3766, Black and White: 执白, Result: 负, Opponent: 丁浩
Player: 申真谞, Date: 2019-04-20, Rating: 3766, Black and White: 执黑, Result: 胜, Opponent: 陈梓健
Player: 申真谞, Date: 2019-04-19, Rating: 3766, Black and White: 执白, Result: 胜, Opponent: 六浦雄太
Player: 申真谞, Date: 2019-04-19, Rating: 3766, Black and White: 执黑, Result: 胜, Opponent: 丁浩
Player: 申真谞, Date: 2019-04-17, Rating: 3766, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 申真谞, Date: 2019-04-15, Rating: 3765, Black and White: 执黑, Result: 胜, Opponent: 范廷钰
Player: 申真谞, Date: 2019-04-12, Rating: 3765, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
