,加藤正夫,赵治勋,大竹英雄,武宫正树,桥本昌二,林海峰,曹薰铉,小林光一,藤泽秀行,坂田荣男,淡路修三,聂卫平,本田邦久,徐奉洙,东野弘昭,石田芳夫,片冈聪,工藤纪夫,羽根泰正,高木祥一,石田章,王立诚,杉内雅男,王铭琬,山城宏,大平修三,牛之浜撮雄,岩田达明,桥本宇太郎,春山勇,小林觉,山部俊郎,Others
加藤正夫,0,0,4,2,0,4,0,2,0,2,0,0,0,0,0,4,0,0,2,0,2,0,0,0,2,0,0,0,2,0,0,6,3
赵治勋,2,0,12,2,2,2,2,2,2,6,0,0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,6
大竹英雄,6,12,0,0,2,2,0,0,0,0,2,0,4,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
武宫正树,10,4,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,2
桥本昌二,0,2,0,0,0,2,0,4,0,2,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3
林海峰,6,6,0,2,0,0,0,0,2,6,0,0,2,0,2,2,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,3
曹薰铉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小林光一,0,2,0,0,0,2,0,0,2,8,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,5
藤泽秀行,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3
坂田荣男,2,0,0,8,2,0,0,2,0,0,0,0,0,0,0,6,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,5
淡路修三,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
聂卫平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本田邦久,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2
徐奉洙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
东野弘昭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
石田芳夫,0,2,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
片冈聪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3
工藤纪夫,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
羽根泰正,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
高木祥一,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石田章,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
王立诚,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
杉内雅男,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
王铭琬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
山城宏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
大平修三,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
牛之浜撮雄,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
岩田达明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
桥本宇太郎,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
春山勇,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
小林觉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
山部俊郎,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4
Others,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,1,2,3,1,1,2,0,1,0,2,0,0,3,2,0,0,0
