,曹薰铉,赵治勋,小林光一,加藤正夫,林海峰,武宫正树,大竹英雄,聂卫平,徐奉洙,淡路修三,马晓春,石田芳夫,石田章,桥本昌二,山城宏,坂田荣男,高木祥一,小林觉,片冈聪,钱宇平,羽根泰正,杉内雅男,王铭琬,东野弘昭,王立诚,刘小光,宫泽吾朗,苑田勇一,江铸久,本田邦久,藤泽秀行,酒井猛,Others
曹薰铉,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
赵治勋,0,0,4,2,8,4,8,4,0,0,0,0,0,0,0,2,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,5
小林光一,0,2,0,6,2,4,4,0,0,4,0,2,0,2,0,6,4,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,5
加藤正夫,0,0,4,0,0,2,2,4,0,0,2,0,0,4,6,6,4,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4
林海峰,0,6,0,2,0,0,4,0,0,8,0,4,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1
武宫正树,0,0,4,2,0,0,2,2,0,2,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,6
大竹英雄,0,10,2,14,2,0,0,0,0,2,0,0,0,2,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
聂卫平,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
徐奉洙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
淡路修三,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
马晓春,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
石田芳夫,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,6,0,2,0,0,0,2,0,0,2,0,0,0,0,3
石田章,0,0,2,2,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
桥本昌二,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
山城宏,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6
坂田荣男,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
高木祥一,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
小林觉,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,7
片冈聪,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2
钱宇平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
羽根泰正,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
杉内雅男,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
王铭琬,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1
东野弘昭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
王立诚,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
刘小光,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
宫泽吾朗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苑田勇一,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
江铸久,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
本田邦久,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
藤泽秀行,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
酒井猛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,0,0,1,1,1,0,1,0,0,1,0,0,0,2,4,1,0,0,3,0,1,0,2,0,1,0,0,1,0,2,3,0,0
