Player: 曹薰铉, Date: 1985-12-30, Rating: 3424, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1985-06-25, Rating: 3415, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-05-28, Rating: 3413, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-05-20, Rating: 3412, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-05-15, Rating: 3412, Black and White: 执黑, Result: 负, Opponent: 河灿锡
Player: 曹薰铉, Date: 1985-05-11, Rating: 3412, Black and White: 执白, Result: 负, Opponent: 河灿锡
Player: 曹薰铉, Date: 1985-05-06, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 河灿锡
Player: 曹薰铉, Date: 1985-04-30, Rating: 3411, Black and White: 执白, Result: 负, Opponent: 河灿锡
Player: 曹薰铉, Date: 1985-04-26, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-03-20, Rating: 3411, Black and White: 执白, Result: 胜, Opponent: 河灿锡
Player: 曹薰铉, Date: 1985-03-15, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-03-13, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 河灿锡
Player: 曹薰铉, Date: 1985-03-06, Rating: 3410, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-03-04, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-02-23, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-02-21, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-02-18, Rating: 3410, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-02-15, Rating: 3410, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1985-02-11, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-02-05, Rating: 3410, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-02-02, Rating: 3410, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1985-01-31, Rating: 3409, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-01-28, Rating: 3409, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1985-01-20, Rating: 3409, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 小林光一, Date: 1985-12-25, Rating: 3399, Black and White: 执白, Result: 负, Opponent: 杉内雅男
Player: 小林光一, Date: 1985-12-19, Rating: 3400, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1985-12-16, Rating: 3400, Black and White: 执黑, Result: 胜, Opponent: 片冈聪
Player: 小林光一, Date: 1985-12-12, Rating: 3400, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 小林光一, Date: 1985-12-04, Rating: 3401, Black and White: 执白, Result: 胜, Opponent: 石田芳夫
Player: 小林光一, Date: 1985-12-01, Rating: 3401, Black and White: 执黑, Result: 胜, Opponent: 关山利夫
Player: 小林光一, Date: 1985-11-29, Rating: 3401, Black and White: 执黑, Result: 胜, Opponent: 石田芳夫
Player: 小林光一, Date: 1985-11-26, Rating: 3401, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 小林光一, Date: 1985-11-20, Rating: 3401, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
Player: 小林光一, Date: 1985-11-16, Rating: 3401, Black and White: 执白, Result: 胜, Opponent: 石田芳夫
Player: 小林光一, Date: 1985-11-13, Rating: 3401, Black and White: 执白, Result: 胜, Opponent: 东野弘昭
Player: 小林光一, Date: 1985-11-09, Rating: 3401, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 小林光一, Date: 1985-11-06, Rating: 3401, Black and White: 执白, Result: 负, Opponent: 赵治勋
