,曹薰铉,小林光一,赵治勋,加藤正夫,武宫正树,聂卫平,林海峰,马晓春,大竹英雄,徐奉洙,石田芳夫,山城宏,刘昌赫,王立诚,桥本昌二,小林觉,宫泽吾朗,淡路修三,石田章,苑田勇一,羽根泰正,依田纪基,王铭琬,东野弘昭,刘小光,钱宇平,高木祥一,杉内雅男,曹大元,片冈聪,坂田荣男,藤泽秀行,Others
曹薰铉,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
小林光一,0,0,10,2,8,0,2,0,2,0,0,2,0,0,0,0,0,2,0,6,2,0,0,0,0,0,2,0,0,0,2,0,4
赵治勋,0,10,0,4,2,0,2,0,6,0,0,2,0,4,0,2,2,2,0,2,4,0,4,2,0,0,2,0,0,2,2,0,5
加藤正夫,0,8,2,0,0,4,10,2,6,0,4,2,0,0,0,0,0,4,2,0,2,0,4,0,0,0,2,0,0,0,2,0,5
武宫正树,0,0,4,0,0,2,0,0,6,0,0,10,0,0,4,2,0,0,2,0,0,2,4,0,0,0,6,0,0,0,0,0,3
聂卫平,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,2
林海峰,0,0,4,4,4,0,0,0,4,0,0,2,0,0,0,0,0,2,2,0,0,0,4,0,0,0,2,2,0,0,2,0,7
马晓春,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,3
大竹英雄,0,0,0,4,2,0,2,0,0,0,0,4,0,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4
徐奉洙,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
石田芳夫,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,5
山城宏,0,4,2,0,2,0,2,0,6,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,4,2,0,2,0,2,4
刘昌赫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
王立诚,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5
桥本昌二,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
小林觉,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,5
宫泽吾朗,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
淡路修三,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2
石田章,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,1
苑田勇一,0,2,0,2,2,0,0,4,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
羽根泰正,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4
依田纪基,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3
王铭琬,0,2,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
东野弘昭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
刘小光,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
钱宇平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
高木祥一,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1
杉内雅男,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
曹大元,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8
片冈聪,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
坂田荣男,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
藤泽秀行,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
Others,0,0,1,0,1,1,1,2,1,2,1,1,2,0,1,1,1,1,1,0,1,1,3,0,2,5,1,1,1,1,1,0,0
