Player: 曹薰铉, Date: 1988-12-28, Rating: 3453, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-12-24, Rating: 3453, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1988-12-22, Rating: 3453, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-12-15, Rating: 3453, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-12-13, Rating: 3453, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-12-06, Rating: 3452, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-11-29, Rating: 3452, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-11-22, Rating: 3451, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 曹薰铉, Date: 1988-11-20, Rating: 3451, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 曹薰铉, Date: 1988-11-10, Rating: 3451, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-11-07, Rating: 3450, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1988-11-04, Rating: 3450, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1988-11-02, Rating: 3450, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-10-31, Rating: 3450, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-10-28, Rating: 3450, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-10-26, Rating: 3450, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1988-10-24, Rating: 3449, Black and White: 执黑, Result: 负, Opponent: 张秀英
Player: 曹薰铉, Date: 1988-10-21, Rating: 3449, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-10-19, Rating: 3449, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-10-15, Rating: 3449, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1988-10-12, Rating: 3449, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1988-10-07, Rating: 3449, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-10-04, Rating: 3449, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1988-09-23, Rating: 3449, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1988-08-23, Rating: 3449, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 曹薰铉, Date: 1988-08-21, Rating: 3449, Black and White: 执黑, Result: 胜, Opponent: 王铭琬
Player: 曹薰铉, Date: 1988-08-05, Rating: 3448, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1988-07-25, Rating: 3448, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1988-07-04, Rating: 3447, Black and White: 执黑, Result: 胜, Opponent: 郑寿铉
Player: 曹薰铉, Date: 1988-07-02, Rating: 3447, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1988-06-10, Rating: 3446, Black and White: 执黑, Result: 胜, Opponent: 文容直
Player: 曹薰铉, Date: 1988-05-31, Rating: 3446, Black and White: 执白, Result: 胜, Opponent: 文容直
Player: 曹薰铉, Date: 1988-05-25, Rating: 3445, Black and White: 执黑, Result: 胜, Opponent: 姜勋(大)
Player: 曹薰铉, Date: 1988-05-14, Rating: 3445, Black and White: 执黑, Result: 胜, Opponent: 文容直
Player: 曹薰铉, Date: 1988-05-11, Rating: 3444, Black and White: 执白, Result: 胜, Opponent: 姜勋(大)
Player: 曹薰铉, Date: 1988-05-09, Rating: 3444, Black and White: 执白, Result: 胜, Opponent: 金秀壮
Player: 曹薰铉, Date: 1988-05-02, Rating: 3444, Black and White: 执白, Result: 胜, Opponent: 洪钟贤
Player: 曹薰铉, Date: 1988-04-27, Rating: 3443, Black and White: 执黑, Result: 胜, Opponent: 吴圭喆
Player: 曹薰铉, Date: 1988-04-23, Rating: 3443, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-04-21, Rating: 3443, Black and White: 执黑, Result: 胜, Opponent: 姜勋(大)
Player: 曹薰铉, Date: 1988-04-15, Rating: 3443, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1988-04-12, Rating: 3443, Black and White: 执白, Result: 胜, Opponent: 吴圭喆
Player: 曹薰铉, Date: 1988-04-11, Rating: 3443, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-04-08, Rating: 3442, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1988-04-02, Rating: 3442, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 曹薰铉, Date: 1988-03-25, Rating: 3442, Black and White: 执黑, Result: 胜, Opponent: 吴圭喆
Player: 曹薰铉, Date: 1988-03-22, Rating: 3442, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1988-03-18, Rating: 3442, Black and White: 执白, Result: 胜, Opponent: 吴圭喆
Player: 曹薰铉, Date: 1988-03-12, Rating: 3441, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 曹薰铉, Date: 1988-03-07, Rating: 3441, Black and White: 执白, Result: 胜, Opponent: 金寅
Player: 曹薰铉, Date: 1988-03-03, Rating: 3441, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-02-26, Rating: 3441, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-02-16, Rating: 3440, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-01-25, Rating: 3438, Black and White: 执白, Result: 胜, Opponent: 金东烨
Player: 曹薰铉, Date: 1988-01-18, Rating: 3438, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1988-01-13, Rating: 3438, Black and White: 执黑, Result: 胜, Opponent: 张斗轸
Player: 曹薰铉, Date: 1988-01-07, Rating: 3437, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 聂卫平, Date: 1988-12-26, Rating: 3384, Black and White: 执白, Result: 负, Opponent: 俞斌
Player: 聂卫平, Date: 1988-12-18, Rating: 3385, Black and White: 执黑, Result: 负, Opponent: 羽根泰正
Player: 聂卫平, Date: 1988-12-03, Rating: 3386, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 聂卫平, Date: 1988-11-22, Rating: 3387, Black and White: 执白, Result: 胜, Opponent: 藤泽秀行
Player: 聂卫平, Date: 1988-11-20, Rating: 3387, Black and White: 执黑, Result: 胜, Opponent: 藤泽秀行
Player: 聂卫平, Date: 1988-11-03, Rating: 3388, Black and White: 执黑, Result: 胜, Opponent: 刘小光
Player: 聂卫平, Date: 1988-10-18, Rating: 3389, Black and White: 执白, Result: 胜, Opponent: 淡路修三
Player: 聂卫平, Date: 1988-10-16, Rating: 3389, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 聂卫平, Date: 1988-08-23, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 赵治勋
