Rank,Player,Profile URL
1,曹薰铉,https://www.goratings.org/zh/../../zh/players/149.html
2,聂卫平,https://www.goratings.org/zh/../../zh/players/124.html
3,小林光一,https://www.goratings.org/zh/../../zh/players/50.html
4,赵治勋,https://www.goratings.org/zh/../../zh/players/98.html
5,加藤正夫,https://www.goratings.org/zh/../../zh/players/193.html
6,林海峰,https://www.goratings.org/zh/../../zh/players/36.html
7,武宫正树,https://www.goratings.org/zh/../../zh/players/82.html
8,大竹英雄,https://www.goratings.org/zh/../../zh/players/158.html
9,刘昌赫,https://www.goratings.org/zh/../../zh/players/30.html
10,石田芳夫,https://www.goratings.org/zh/../../zh/players/222.html
11,马晓春,https://www.goratings.org/zh/../../zh/players/11.html
12,依田纪基,https://www.goratings.org/zh/../../zh/players/90.html
13,徐奉洙,https://www.goratings.org/zh/../../zh/players/49.html
14,王立诚,https://www.goratings.org/zh/../../zh/players/71.html
15,小林觉,https://www.goratings.org/zh/../../zh/players/51.html
16,钱宇平,https://www.goratings.org/zh/../../zh/players/521.html
17,淡路修三,https://www.goratings.org/zh/../../zh/players/243.html
18,刘小光,https://www.goratings.org/zh/../../zh/players/25.html
19,藤泽秀行,https://www.goratings.org/zh/../../zh/players/293.html
20,桥本昌二,https://www.goratings.org/zh/../../zh/players/216.html
21,苑田勇一,https://www.goratings.org/zh/../../zh/players/270.html
22,山城宏,https://www.goratings.org/zh/../../zh/players/223.html
23,宫泽吾朗,https://www.goratings.org/zh/../../zh/players/274.html
24,羽根泰正,https://www.goratings.org/zh/../../zh/players/288.html
25,东野弘昭,https://www.goratings.org/zh/../../zh/players/167.html
26,俞斌,https://www.goratings.org/zh/../../zh/players/92.html
27,王铭琬,https://www.goratings.org/zh/../../zh/players/70.html
28,片冈聪,https://www.goratings.org/zh/../../zh/players/235.html
29,小松英树,https://www.goratings.org/zh/../../zh/players/52.html
30,石田章,https://www.goratings.org/zh/../../zh/players/319.html
31,高木祥一,https://www.goratings.org/zh/../../zh/players/279.html
32,张文东,https://www.goratings.org/zh/../../zh/players/110.html
