,曹薰铉,李昌镐,小林光一,聂卫平,林海峰,赵治勋,武宫正树,大竹英雄,刘昌赫,王立诚,小林觉,马晓春,石田芳夫,片冈聪,钱宇平,徐奉洙,依田纪基,加藤正夫,羽根泰正,淡路修三,山城宏,俞斌,刘小光,张文东,藤泽秀行,王铭琬,东野弘昭,小松英树,周鹤洋,苑田勇一,桥本昌二,今村俊也,Others
曹薰铉,0,10,0,0,0,0,0,4,18,0,0,0,0,0,0,26,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,17
李昌镐,12,0,0,0,0,0,2,0,4,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
小林光一,2,2,0,0,2,6,2,20,0,0,6,4,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,2,10
聂卫平,2,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,14
林海峰,0,0,8,4,0,4,4,0,0,8,0,0,0,0,0,0,6,4,0,4,0,0,4,0,2,0,0,4,0,2,0,0,8
赵治勋,0,0,10,0,6,0,6,0,2,0,0,2,0,0,0,0,4,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,5
武宫正树,4,2,4,0,4,8,0,4,0,0,0,0,0,2,0,0,4,2,0,0,4,0,0,0,4,0,0,0,0,2,0,0,3
大竹英雄,0,0,6,0,2,4,4,0,0,0,0,0,0,0,0,0,4,2,0,4,0,0,0,0,6,0,0,2,0,0,0,0,6
刘昌赫,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
王立诚,0,0,0,0,2,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5
小林觉,0,0,0,0,0,0,2,4,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
马晓春,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,2,0,11
石田芳夫,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,5
片冈聪,0,0,0,0,6,0,4,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,5
钱宇平,0,0,0,4,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6,12,4,0,0,0,0,0,0,0,0,15
徐奉洙,4,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20
依田纪基,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,4,2,0,0,0,2,0,0,2,0,0,0,0,12
加藤正夫,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,2
羽根泰正,0,0,0,0,0,2,2,0,0,0,0,2,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10
淡路修三,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
山城宏,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5
俞斌,0,0,0,2,0,0,0,0,0,0,0,8,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9
刘小光,0,0,0,0,2,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,11
张文东,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5
藤泽秀行,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6
王铭琬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5
东野弘昭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
小松英树,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9
周鹤洋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苑田勇一,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
桥本昌二,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
今村俊也,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
Others,1,0,1,2,1,3,0,2,1,0,1,2,3,2,3,5,4,3,1,1,2,9,5,4,3,1,0,5,0,2,2,4,0
