,李昌镐,曹薰铉,小林光一,聂卫平,林海峰,赵治勋,王立诚,刘昌赫,小林觉,马晓春,武宫正树,大竹英雄,徐奉洙,钱宇平,加藤正夫,依田纪基,片冈聪,石田芳夫,山城宏,羽根泰正,淡路修三,刘小光,张文东,俞斌,东野弘昭,曹大元,藤泽秀行,苑田勇一,周鹤洋,王铭琬,小松英树,今村俊也,Others
李昌镐,0,36,0,0,2,0,0,6,0,0,0,0,14,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
曹薰铉,24,0,0,2,0,2,0,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
小林光一,0,0,0,0,12,4,2,0,6,4,0,0,2,0,8,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,5
聂卫平,0,0,0,0,2,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,8,0,4,0,4,0,0,0,0,0,0,7
林海峰,2,0,6,4,0,6,0,0,0,0,2,2,0,0,6,4,0,0,0,0,6,0,0,0,0,0,2,0,0,0,2,0,6
赵治勋,0,0,8,0,0,0,2,2,0,2,4,2,0,0,0,4,4,2,2,0,2,0,0,0,2,0,6,0,0,0,0,0,11
王立诚,0,2,0,0,4,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,12
刘昌赫,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,15
小林觉,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,5
马晓春,2,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,6,2,0,4,0,0,0,0,0,0,7
武宫正树,0,0,0,0,4,8,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3
大竹英雄,0,0,2,0,4,2,0,0,0,0,0,0,0,0,2,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
徐奉洙,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23
钱宇平,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7
加藤正夫,0,0,6,0,2,0,2,0,0,0,0,4,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,2,0,2,0,2,6
依田纪基,6,2,2,0,2,4,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,2,0,2,0,0,2,0,0,2
片冈聪,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,11
石田芳夫,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8
山城宏,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,8
羽根泰正,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4
淡路修三,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0,7
刘小光,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,7
张文东,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,11
俞斌,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,4,0,0,0,0,0,0,10
东野弘昭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
曹大元,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,8
藤泽秀行,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,2,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,2,7
苑田勇一,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
周鹤洋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
王铭琬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4
小松英树,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5
今村俊也,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Others,3,2,2,2,1,2,3,3,2,2,3,3,5,1,5,3,2,3,3,2,3,5,4,6,0,1,1,0,0,2,3,3,0
