Player: 李昌镐, Date: 1992-12-30, Rating: 3485, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1992-12-20, Rating: 3483, Black and White: 执白, Result: 胜, Opponent: 李东奎
Player: 李昌镐, Date: 1992-12-16, Rating: 3483, Black and White: 执白, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 1992-12-11, Rating: 3482, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1992-12-04, Rating: 3481, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1992-12-02, Rating: 3481, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1992-11-30, Rating: 3481, Black and White: 执白, Result: 胜, Opponent: 丁铉山
Player: 李昌镐, Date: 1992-11-24, Rating: 3480, Black and White: 执白, Result: 胜, Opponent: 姜勋(大)
Player: 李昌镐, Date: 1992-11-11, Rating: 3478, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1992-11-09, Rating: 3478, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1992-11-04, Rating: 3477, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1992-10-26, Rating: 3476, Black and White: 执黑, Result: 胜, Opponent: 黄元俊
Player: 李昌镐, Date: 1992-10-20, Rating: 3476, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1992-10-19, Rating: 3475, Black and White: 执白, Result: 胜, Opponent: 姜勋(大)
Player: 李昌镐, Date: 1992-10-09, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1992-10-08, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 1992-10-05, Rating: 3474, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1992-09-30, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1992-09-30, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 金日焕
Player: 李昌镐, Date: 1992-09-26, Rating: 3473, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1992-09-24, Rating: 3473, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1992-09-24, Rating: 3473, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1992-09-18, Rating: 3472, Black and White: 执黑, Result: 负, Opponent: 梁宰豪
Player: 李昌镐, Date: 1992-09-16, Rating: 3472, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1992-09-15, Rating: 3472, Black and White: 执白, Result: 负, Opponent: 曹薰铉
