,李昌镐,曹薰铉,赵治勋,马晓春,刘昌赫,小林觉,小林光一,加藤正夫,依田纪基,王立诚,聂卫平,林海峰,刘小光,片冈聪,徐奉洙,大竹英雄,山城宏,芮乃伟,曹大元,武宫正树,今村俊也,柳时熏,张文东,周鹤洋,本田邦久,俞斌,金承俊,东野弘昭,高尾绅路,孔杰,常昊,山田规三生,Others
李昌镐,0,42,0,2,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,2,0,0,0,6,0,0,0,0,0,24
曹薰铉,14,0,0,0,14,0,0,2,8,0,6,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
赵治勋,0,0,0,0,0,2,8,12,6,0,0,2,0,12,0,2,2,0,0,4,0,0,2,0,0,2,0,2,0,0,0,0,10
马晓春,0,0,0,0,0,0,4,0,0,2,6,4,6,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,11
刘昌赫,8,8,2,2,0,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
小林觉,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
小林光一,0,0,6,2,0,2,0,0,2,0,0,14,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
加藤正夫,2,2,4,0,0,0,2,0,4,4,0,2,0,4,0,4,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,14
依田纪基,0,2,2,2,6,0,0,0,0,2,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8
王立诚,0,0,2,0,0,2,2,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7
聂卫平,2,0,2,8,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
林海峰,0,0,8,0,0,0,8,4,0,2,0,0,0,6,2,2,4,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,8
刘小光,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,5
片冈聪,0,0,6,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,10
徐奉洙,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
大竹英雄,0,0,0,2,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,6
山城宏,0,0,2,0,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10
芮乃伟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
曹大元,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,2,0,6
武宫正树,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5
今村俊也,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
柳时熏,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5
张文东,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10
周鹤洋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
本田邦久,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
俞斌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,4
金承俊,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
东野弘昭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
孔杰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
常昊,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8
山田规三生,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8
Others,1,4,3,2,9,0,4,1,4,5,2,3,5,3,14,4,3,1,4,3,2,2,3,2,2,3,2,1,1,1,7,2,0
