Player: 李昌镐, Date: 1999-12-28, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 李昌镐, Date: 1999-12-25, Rating: 3515, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 李昌镐, Date: 1999-12-13, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 李昌镐, Date: 1999-12-07, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 赵善津
Player: 李昌镐, Date: 1999-12-06, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 赵善津
Player: 李昌镐, Date: 1999-11-23, Rating: 3516, Black and White: 执白, Result: 胜, Opponent: 赵善津
Player: 李昌镐, Date: 1999-11-20, Rating: 3516, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1999-11-15, Rating: 3516, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 1999-11-01, Rating: 3516, Black and White: 执白, Result: 胜, Opponent: 金明完
Player: 李昌镐, Date: 1999-10-28, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 山田规三生
Player: 李昌镐, Date: 1999-10-22, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1999-10-20, Rating: 3515, Black and White: 执黑, Result: 负, Opponent: 金承俊
Player: 李昌镐, Date: 1999-10-08, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1999-10-06, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 1999-10-04, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1999-09-30, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1999-09-27, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1999-09-20, Rating: 3515, Black and White: 执黑, Result: 负, Opponent: 崔明勋
Player: 李昌镐, Date: 1999-09-13, Rating: 3515, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1999-09-09, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 李昌镐, Date: 1999-09-07, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 李昌镐, Date: 1999-09-03, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1999-08-27, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1999-08-20, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 常昊
