Player: 李昌镐, Date: 2000-12-28, Rating: 3518, Black and White: 执黑, Result: 负, Opponent: 孔杰
Player: 李昌镐, Date: 2000-12-26, Rating: 3519, Black and White: 执白, Result: 胜, Opponent: 周俊勋
Player: 李昌镐, Date: 2000-12-22, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 白大铉
Player: 李昌镐, Date: 2000-12-20, Rating: 3519, Black and White: 执白, Result: 负, Opponent: 睦镇硕
Player: 李昌镐, Date: 2000-12-20, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2000-12-18, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 韩钟振
Player: 李昌镐, Date: 2000-12-11, Rating: 3519, Black and White: 执白, Result: 胜, Opponent: 安达勋
Player: 李昌镐, Date: 2000-12-01, Rating: 3520, Black and White: 执白, Result: 负, Opponent: 睦镇硕
Player: 李昌镐, Date: 2000-11-30, Rating: 3520, Black and White: 执黑, Result: 胜, Opponent: 河灿锡
Player: 李昌镐, Date: 2000-11-28, Rating: 3520, Black and White: 执黑, Result: 胜, Opponent: 张斗轸
Player: 李昌镐, Date: 2000-11-14, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 2000-11-09, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 柳才馨
Player: 李昌镐, Date: 2000-11-03, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 2000-11-01, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 2000-10-27, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 金灿佑
Player: 李昌镐, Date: 2000-10-23, Rating: 3523, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2000-10-16, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 安祚永
Player: 李昌镐, Date: 2000-10-13, Rating: 3523, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2000-10-10, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2000-10-04, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2000-10-02, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2000-09-27, Rating: 3523, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2000-09-25, Rating: 3523, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2000-09-22, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 尹盛铉
Player: 李昌镐, Date: 2000-09-18, Rating: 3523, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 2000-09-16, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 2000-09-08, Rating: 3523, Black and White: 执黑, Result: 负, Opponent: 芮乃伟
Player: 李昌镐, Date: 2000-09-06, Rating: 3523, Black and White: 执白, Result: 胜, Opponent: 李相勋(大)
Player: 李昌镐, Date: 2000-09-04, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 李昌镐, Date: 2000-09-01, Rating: 3523, Black and White: 执黑, Result: 负, Opponent: 周鹤洋
Player: 李昌镐, Date: 2000-08-30, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 中野宽也
Player: 李昌镐, Date: 2000-08-28, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 尹盛铉
Player: 李昌镐, Date: 2000-08-24, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 李昌镐, Date: 2000-08-22, Rating: 3523, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 李昌镐, Date: 2000-08-16, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 李相勋(小)
Player: 李昌镐, Date: 2000-08-12, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2000-08-04, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 2000-08-02, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 李熙星
Player: 李昌镐, Date: 2000-07-26, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 洪太善
Player: 李昌镐, Date: 2000-07-24, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 2000-07-21, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 金承俊
Player: 李昌镐, Date: 2000-07-18, Rating: 3521, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 2000-07-14, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 2000-07-11, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 2000-07-08, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 2000-06-30, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 尹奇铉
Player: 李昌镐, Date: 2000-06-28, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 2000-06-15, Rating: 3520, Black and White: 执白, Result: 胜, Opponent: 彦坂直人
Player: 李昌镐, Date: 2000-06-08, Rating: 3520, Black and White: 执黑, Result: 负, Opponent: 柳才馨
Player: 李昌镐, Date: 2000-06-02, Rating: 3520, Black and White: 执黑, Result: 胜, Opponent: 尹盛铉
Player: 李昌镐, Date: 2000-05-31, Rating: 3520, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 2000-05-29, Rating: 3520, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 李昌镐, Date: 2000-05-28, Rating: 3520, Black and White: 执白, Result: 胜, Opponent: 罗洗河
Player: 李昌镐, Date: 2000-05-22, Rating: 3520, Black and White: 执白, Result: 胜, Opponent: 李圣宰
Player: 李昌镐, Date: 2000-05-19, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 安祚永
Player: 李昌镐, Date: 2000-05-04, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 李昌镐, Date: 2000-05-02, Rating: 3519, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 李昌镐, Date: 2000-04-10, Rating: 3518, Black and White: 执白, Result: 负, Opponent: 周鹤洋
Player: 李昌镐, Date: 2000-04-03, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 金日焕
Player: 李昌镐, Date: 2000-03-28, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 2000-03-27, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 赵善津
Player: 李昌镐, Date: 2000-02-22, Rating: 3516, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2000-02-14, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 李昌镐, Date: 2000-02-10, Rating: 3516, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 2000-01-26, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 李昌镐, Date: 2000-01-10, Rating: 3514, Black and White: 执白, Result: 负, Opponent: 崔圭丙
