,李昌镐,曹薰铉,刘昌赫,李世石,周鹤洋,常昊,马晓春,谢赫,依田纪基,小林光一,俞斌,古力,王立诚,赵治勋,王檄,邵炜刚,王磊,山下敬吾,罗洗河,小林觉,赵汉乘,芮乃伟,睦镇硕,孔杰,加藤正夫,崔明勋,刘世振,高尾绅路,王铭琬,柳时熏,刘菁,徐奉洙,Others
李昌镐,0,6,0,2,0,8,4,0,4,0,4,0,2,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,8,31
曹薰铉,2,0,4,0,2,2,0,0,2,0,0,0,0,4,0,0,0,2,0,2,0,2,2,0,0,4,0,0,0,2,0,0,18
刘昌赫,2,2,0,8,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,23
李世石,2,4,10,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,16
周鹤洋,4,0,2,0,0,8,0,2,0,0,0,0,0,0,0,8,2,0,4,0,0,0,0,2,0,0,2,0,0,2,0,2,18
常昊,0,2,4,0,2,0,6,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,4,0,0,0,19
马晓春,0,0,0,0,2,2,0,0,2,0,2,0,2,0,0,6,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,7
谢赫,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9
依田纪基,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,2,2,2,0,2,0,0,0,0,2,0,0,0,2,2,0,0,14
小林光一,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,2,0,0,13
俞斌,0,2,6,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,15
古力,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,13
王立诚,0,2,0,0,0,2,4,0,2,4,0,0,0,14,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,15
赵治勋,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,16
王檄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
邵炜刚,0,0,0,0,2,4,6,0,0,0,2,2,0,0,0,0,4,0,4,2,0,2,0,0,0,0,4,0,0,0,6,0,10
王磊,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,13
山下敬吾,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,19
罗洗河,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13
小林觉,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,13
赵汉乘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
芮乃伟,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,22
睦镇硕,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,17
孔杰,2,2,0,0,2,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14
加藤正夫,0,0,0,0,0,0,0,0,0,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,6
崔明勋,0,2,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,6
刘世振,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
王铭琬,0,2,0,0,0,2,2,0,2,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,15
柳时熏,0,0,0,0,0,0,0,0,2,8,0,0,0,8,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,12
刘菁,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,4,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,14
徐奉洙,2,6,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Others,2,5,8,3,8,3,4,3,2,6,5,9,6,6,1,3,4,6,7,3,1,6,5,8,6,5,3,6,9,9,6,4,0
