,李昌镐,曹薰铉,李世石,刘昌赫,常昊,古力,朴永训,谢赫,周鹤洋,宋泰坤,依田纪基,睦镇硕,王磊,孔杰,俞斌,赵治勋,赵汉乘,马晓春,小林光一,王立诚,王檄,小林觉,胡耀宇,山下敬吾,罗洗河,邵炜刚,黄奕中,刘菁,董彦,崔明勋,金主镐,加藤正夫,Others
李昌镐,0,12,12,14,4,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,6,0,2,10
曹薰铉,8,0,0,2,4,0,0,0,0,0,0,4,2,2,2,2,0,8,2,0,0,0,0,4,0,0,0,0,0,4,0,0,17
李世石,6,2,0,0,0,0,4,0,2,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19
刘昌赫,6,4,2,0,0,0,0,0,2,0,0,2,2,2,0,0,2,0,0,6,0,0,0,0,0,0,0,2,0,2,0,0,33
常昊,6,2,4,0,0,2,0,6,0,2,0,2,4,2,0,0,2,4,0,0,0,0,6,0,0,0,2,0,2,2,0,0,17
古力,0,0,0,0,2,0,0,4,2,0,0,4,2,6,0,0,4,2,0,0,0,0,2,0,2,4,6,2,0,0,0,0,23
朴永训,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10
谢赫,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,12
周鹤洋,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,2,0,4,0,0,0,0,0,23
宋泰坤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
依田纪基,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
睦镇硕,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,18
王磊,0,0,0,0,0,0,0,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,4,0,0,0,18
孔杰,0,0,0,0,0,6,0,2,6,0,0,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,2,0,0,0,25
俞斌,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,13
赵治勋,2,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,4,8,0,0,0,0,4,0,0,0,0,0,0,4,28
赵汉乘,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11
马晓春,0,2,0,2,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13
小林光一,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,2,0,4,0,0,0,10,0,0,0,0,0,0,0,0,13
王立诚,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,21
王檄,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
小林觉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
胡耀宇,0,0,0,0,0,0,0,2,2,0,0,2,4,4,0,0,0,2,0,0,2,0,0,0,0,0,4,2,0,0,0,0,15
山下敬吾,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12
罗洗河,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,2,0,6,2,0,2,2,0,2,0,0,0,14
邵炜刚,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8
黄奕中,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,23
刘菁,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,19
董彦,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18
崔明勋,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10
金主镐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加藤正夫,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,14
Others,2,2,5,10,5,6,4,4,9,0,3,4,4,6,7,12,4,5,6,10,5,1,5,8,17,11,4,4,13,4,1,10,0
