Player: 李昌镐, Date: 2002-12-28, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 2002-12-26, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 李昌镐, Date: 2002-12-01, Rating: 3521, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2002-10-31, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 2002-10-21, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 李相勋(大)
Player: 李昌镐, Date: 2002-10-21, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 李相勋(大)
Player: 李昌镐, Date: 2002-10-10, Rating: 3521, Black and White: 执黑, Result: 负, Opponent: 古力
Player: 李昌镐, Date: 2002-10-08, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李昌镐, Date: 2002-10-04, Rating: 3521, Black and White: 执白, Result: 负, Opponent: 李相勋(大)
Player: 李昌镐, Date: 2002-10-02, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 安祚永
Player: 李昌镐, Date: 2002-09-30, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 崔圭丙
Player: 李昌镐, Date: 2002-09-27, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 江铸久
Player: 李昌镐, Date: 2002-09-24, Rating: 3521, Black and White: 执黑, Result: 负, Opponent: 安祚永
Player: 李昌镐, Date: 2002-09-17, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 安祚永
Player: 李昌镐, Date: 2002-09-12, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 2002-09-09, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 安祚永
Player: 李昌镐, Date: 2002-09-06, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 李昌镐, Date: 2002-09-04, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 阿基鲁尔
Player: 李昌镐, Date: 2002-09-02, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 山下敬吾
Player: 李昌镐, Date: 2002-08-30, Rating: 3521, Black and White: 执黑, Result: 负, Opponent: 胡耀宇
Player: 李昌镐, Date: 2002-08-28, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 邱峻
Player: 李昌镐, Date: 2002-08-13, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2002-08-09, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 2002-08-07, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 李昌镐, Date: 2002-08-06, Rating: 3521, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2002-08-03, Rating: 3521, Black and White: 执白, Result: 负, Opponent: 王铭琬
Player: 李昌镐, Date: 2002-07-26, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2002-07-19, Rating: 3521, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2002-07-12, Rating: 3521, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2002-07-06, Rating: 3521, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2002-06-10, Rating: 3522, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 李昌镐, Date: 2002-06-05, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 罗钟勋
Player: 李昌镐, Date: 2002-06-01, Rating: 3523, Black and White: 执白, Result: 胜, Opponent: 小林觉
Player: 李昌镐, Date: 2002-05-27, Rating: 3523, Black and White: 执黑, Result: 负, Opponent: 宋泰坤
Player: 李昌镐, Date: 2002-05-24, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 安祚永
Player: 李昌镐, Date: 2002-05-20, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 李昌镐, Date: 2002-05-18, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 李昌镐, Date: 2002-05-13, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 安祚永
Player: 李昌镐, Date: 2002-05-10, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2002-05-09, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2002-05-07, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 羽根直树
Player: 李昌镐, Date: 2002-05-02, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 江铸久
Player: 李昌镐, Date: 2002-04-29, Rating: 3525, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2002-04-22, Rating: 3525, Black and White: 执黑, Result: 胜, Opponent: 安祚永
Player: 李昌镐, Date: 2002-04-18, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2002-04-15, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 李昌镐, Date: 2002-04-13, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 2002-04-08, Rating: 3524, Black and White: 执黑, Result: 负, Opponent: 胡耀宇
Player: 李昌镐, Date: 2002-04-04, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2002-04-02, Rating: 3524, Black and White: 执白, Result: 负, Opponent: 林宣根
Player: 李昌镐, Date: 2002-03-28, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2002-03-23, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 林至涵
Player: 李昌镐, Date: 2002-03-22, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 李昌镐, Date: 2002-03-19, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 柳时熏
Player: 李昌镐, Date: 2002-03-11, Rating: 3524, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 2002-03-07, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 安祚永
Player: 李昌镐, Date: 2002-03-04, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2002-02-23, Rating: 3524, Black and White: 执白, Result: 负, Opponent: 睦镇硕
Player: 李昌镐, Date: 2002-02-19, Rating: 3524, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 2002-02-08, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 朴升哲
Player: 李昌镐, Date: 2002-02-01, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 周鹤洋
Player: 李昌镐, Date: 2002-01-31, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 2002-01-25, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2002-01-21, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2002-01-18, Rating: 3524, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 2002-01-14, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2002-01-10, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 陈诗渊
Player: 李昌镐, Date: 2002-01-04, Rating: 3524, Black and White: 执白, Result: 负, Opponent: 睦镇硕
Player: 曹薰铉, Date: 2002-12-26, Rating: 3410, Black and White: 执白, Result: 负, Opponent: 羽根直树
Player: 曹薰铉, Date: 2002-12-12, Rating: 3411, Black and White: 执黑, Result: 负, Opponent: 尹峻相
Player: 曹薰铉, Date: 2002-12-11, Rating: 3411, Black and White: 执黑, Result: 胜, Opponent: 宋泰坤
Player: 曹薰铉, Date: 2002-12-09, Rating: 3411, Black and White: 执黑, Result: 负, Opponent: 赵汉乘
Player: 曹薰铉, Date: 2002-12-06, Rating: 3411, Black and White: 执白, Result: 负, Opponent: 赵汉乘
Player: 曹薰铉, Date: 2002-12-04, Rating: 3411, Black and White: 执白, Result: 负, Opponent: 宋泰坤
Player: 曹薰铉, Date: 2002-12-02, Rating: 3412, Black and White: 执黑, Result: 胜, Opponent: 朴永训
