,李昌镐,曹薰铉,李世石,古力,刘昌赫,谢赫,常昊,朴永训,宋泰坤,孔杰,王磊,睦镇硕,胡耀宇,俞斌,周鹤洋,王檄,赵汉乘,依田纪基,赵治勋,山下敬吾,结城聪,黄奕中,张栩,崔哲瀚,小林光一,小林觉,董彦,马晓春,羽根直树,高尾绅路,安祚永,刘星,Others
李昌镐,0,8,8,0,2,0,6,2,0,0,0,6,0,2,4,0,4,4,0,2,0,0,0,0,0,2,0,2,2,0,14,0,16
曹薰铉,4,0,0,0,6,0,0,2,4,0,0,6,0,2,0,2,4,0,2,0,0,0,2,4,2,0,0,2,0,0,2,0,29
李世石,8,6,0,0,8,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,31
古力,2,0,0,0,0,2,0,2,0,6,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,19
刘昌赫,2,8,4,2,0,0,0,4,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,25
谢赫,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
常昊,2,2,2,0,2,2,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11
朴永训,0,2,2,2,2,0,2,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4,2,6,0,0,0,2,0,0,0,0,11
宋泰坤,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11
孔杰,0,2,0,2,0,2,0,2,0,0,0,0,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24
王磊,0,2,0,4,0,0,2,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,15
睦镇硕,4,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8
胡耀宇,4,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,8
俞斌,0,0,0,0,2,0,2,0,0,6,2,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,4,2,0,0,0,12
周鹤洋,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10
王檄,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
赵汉乘,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,14
依田纪基,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,2,2,0,0,0,8
赵治勋,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,0,4,0,0,0,4,0,0,0,24
山下敬吾,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,0,0,0,0,0,0,23
结城聪,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,2,0,0,2,0,0,0,0,18
黄奕中,0,0,0,2,0,0,4,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8
张栩,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,4,0,0,0,0,0,2,0,0,2,4,0,0,17
崔哲瀚,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
小林光一,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13
小林觉,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6
董彦,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13
马晓春,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6
羽根直树,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,11
安祚永,2,2,2,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
刘星,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Others,3,3,10,8,7,0,6,4,4,8,2,7,4,1,5,0,6,6,12,8,5,3,4,5,5,0,2,3,10,5,3,1,0
