,李昌镐,古力,李世石,孔杰,谢赫,曹薰铉,宋泰坤,朴永训,常昊,胡耀宇,刘昌赫,王檄,赵汉乘,睦镇硕,王磊,周鹤洋,山下敬吾,崔哲瀚,张栩,依田纪基,俞斌,陈耀烨,高尾绅路,结城聪,安祚永,赵治勋,小林觉,朴文垚,尹峻相,金主镐,李喆,羽根直树,Others
李昌镐,0,0,2,0,0,22,2,4,2,2,2,0,14,0,0,0,0,2,0,2,2,0,0,0,2,2,0,0,0,2,0,4,16
古力,0,0,0,4,2,0,4,0,0,8,0,2,0,0,4,2,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,26
李世石,10,0,0,2,0,2,4,0,0,0,6,0,4,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,2,13
孔杰,0,2,0,0,2,0,4,0,2,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24
谢赫,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,13
曹薰铉,10,0,4,0,0,0,6,2,2,0,4,0,4,2,6,0,0,0,0,0,0,0,0,0,6,0,0,0,4,2,0,0,18
宋泰坤,2,0,2,0,0,2,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,20
朴永训,2,0,0,0,4,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,2,2,0,13
常昊,0,4,0,2,2,2,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,13
胡耀宇,0,0,2,0,2,2,0,0,4,0,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,19
刘昌赫,6,2,4,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
王檄,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,13
赵汉乘,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,21
睦镇硕,0,0,0,0,0,2,2,2,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17
王磊,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11
周鹤洋,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,20
山下敬吾,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,6,21
崔哲瀚,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,18
张栩,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,8,0,0,0,0,0,4,30
依田纪基,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17
俞斌,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16
陈耀烨,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,20
结城聪,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,9
安祚永,0,2,4,0,0,2,2,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
赵治勋,0,0,0,2,0,2,0,4,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,2,0,0,23
小林觉,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,8
朴文垚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
尹峻相,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
金主镐,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11
李喆,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
羽根直树,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,2,0,4,2,0,0,0,0,0,20
Others,1,6,6,3,3,5,1,7,10,2,2,7,5,3,9,7,7,4,10,9,10,6,12,3,3,11,6,1,3,0,4,4,0
