Player: 李昌镐, Date: 2004-12-20, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 2004-12-12, Rating: 3522, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 2004-12-10, Rating: 3522, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 2004-12-06, Rating: 3523, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 2004-11-29, Rating: 3524, Black and White: 执白, Result: 胜, Opponent: 罗洗河
Player: 李昌镐, Date: 2004-11-11, Rating: 3526, Black and White: 执白, Result: 胜, Opponent: 尹峻相
Player: 李昌镐, Date: 2004-11-09, Rating: 3526, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2004-11-06, Rating: 3526, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李昌镐, Date: 2004-11-01, Rating: 3526, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 李昌镐, Date: 2004-10-29, Rating: 3527, Black and White: 执白, Result: 负, Opponent: 芮乃伟
Player: 李昌镐, Date: 2004-10-26, Rating: 3527, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2004-10-24, Rating: 3527, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 2004-10-22, Rating: 3527, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2004-10-19, Rating: 3528, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李昌镐, Date: 2004-10-03, Rating: 3529, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2004-09-22, Rating: 3529, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 李昌镐, Date: 2004-09-18, Rating: 3530, Black and White: 执白, Result: 胜, Opponent: 张栩
Player: 李昌镐, Date: 2004-09-16, Rating: 3530, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 李昌镐, Date: 2004-09-08, Rating: 3530, Black and White: 执白, Result: 胜, Opponent: 尹峻相
Player: 李昌镐, Date: 2004-09-05, Rating: 3530, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 李昌镐, Date: 2004-09-01, Rating: 3530, Black and White: 执白, Result: 负, Opponent: 胡耀宇
Player: 李昌镐, Date: 2004-08-30, Rating: 3530, Black and White: 执黑, Result: 胜, Opponent: 许映皓
Player: 李昌镐, Date: 2004-08-25, Rating: 3530, Black and White: 执黑, Result: 负, Opponent: 孔杰
Player: 李昌镐, Date: 2004-08-23, Rating: 3531, Black and White: 执黑, Result: 胜, Opponent: 古力
Player: 李昌镐, Date: 2004-08-21, Rating: 3531, Black and White: 执黑, Result: 胜, Opponent: 杨晋华
Player: 李昌镐, Date: 2004-08-17, Rating: 3531, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2004-08-15, Rating: 3531, Black and White: 执白, Result: 胜, Opponent: 宋泰坤
Player: 李昌镐, Date: 2004-08-04, Rating: 3531, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2004-07-30, Rating: 3531, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2004-07-26, Rating: 3531, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2004-07-20, Rating: 3531, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2004-07-16, Rating: 3531, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 李昌镐, Date: 2004-07-07, Rating: 3531, Black and White: 执白, Result: 负, Opponent: 赵汉乘
Player: 李昌镐, Date: 2004-07-05, Rating: 3531, Black and White: 执黑, Result: 胜, Opponent: 梁建
Player: 李昌镐, Date: 2004-06-27, Rating: 3531, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2004-06-18, Rating: 3532, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2004-06-13, Rating: 3532, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 李昌镐, Date: 2004-06-12, Rating: 3532, Black and White: 执黑, Result: 胜, Opponent: 孔杰
Player: 李昌镐, Date: 2004-06-10, Rating: 3532, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 李昌镐, Date: 2004-06-08, Rating: 3531, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 2004-06-05, Rating: 3531, Black and White: 执黑, Result: 负, Opponent: 依田纪基
Player: 李昌镐, Date: 2004-05-25, Rating: 3531, Black and White: 执白, Result: 胜, Opponent: 金成龙
Player: 李昌镐, Date: 2004-05-20, Rating: 3531, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 李昌镐, Date: 2004-05-16, Rating: 3531, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2004-04-28, Rating: 3530, Black and White: 执黑, Result: 胜, Opponent: 芮乃伟
Player: 李昌镐, Date: 2004-04-24, Rating: 3530, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2004-04-22, Rating: 3530, Black and White: 执白, Result: 胜, Opponent: 山下敬吾
Player: 李昌镐, Date: 2004-04-16, Rating: 3530, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2004-04-12, Rating: 3529, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 李昌镐, Date: 2004-04-06, Rating: 3529, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2004-04-01, Rating: 3529, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2004-03-30, Rating: 3529, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2004-03-23, Rating: 3529, Black and White: 执黑, Result: 胜, Opponent: 王磊
Player: 李昌镐, Date: 2004-03-22, Rating: 3529, Black and White: 执黑, Result: 胜, Opponent: 结城聪
Player: 李昌镐, Date: 2004-03-21, Rating: 3529, Black and White: 执白, Result: 胜, Opponent: 张栩
Player: 李昌镐, Date: 2004-03-11, Rating: 3528, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2004-03-09, Rating: 3528, Black and White: 执白, Result: 负, Opponent: 睦镇硕
Player: 李昌镐, Date: 2004-03-05, Rating: 3528, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2004-03-02, Rating: 3528, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2004-02-27, Rating: 3528, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2004-02-23, Rating: 3528, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2004-02-18, Rating: 3528, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2004-02-14, Rating: 3528, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 李昌镐, Date: 2004-02-13, Rating: 3528, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 李昌镐, Date: 2004-02-07, Rating: 3528, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2004-02-03, Rating: 3528, Black and White: 执白, Result: 胜, Opponent: 元晟溱
Player: 李昌镐, Date: 2004-01-14, Rating: 3528, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 古力, Date: 2004-12-27, Rating: 3476, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 古力, Date: 2004-12-25, Rating: 3476, Black and White: 执黑, Result: 胜, Opponent: 邱峻
Player: 古力, Date: 2004-12-23, Rating: 3476, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 古力, Date: 2004-12-18, Rating: 3476, Black and White: 执黑, Result: 胜, Opponent: 亚历山大迪那斯塔因
Player: 古力, Date: 2004-12-11, Rating: 3476, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 古力, Date: 2004-12-02, Rating: 3476, Black and White: 执黑, Result: 胜, Opponent: 邹俊杰
Player: 古力, Date: 2004-11-27, Rating: 3476, Black and White: 执白, Result: 负, Opponent: 周鹤洋
Player: 古力, Date: 2004-11-25, Rating: 3476, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 古力, Date: 2004-11-22, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 周波
Player: 古力, Date: 2004-11-19, Rating: 3475, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 古力, Date: 2004-11-18, Rating: 3475, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 古力, Date: 2004-11-16, Rating: 3475, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 古力, Date: 2004-11-11, Rating: 3475, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 古力, Date: 2004-11-09, Rating: 3475, Black and White: 执黑, Result: 负, Opponent: 周鹤洋
Player: 古力, Date: 2004-11-06, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 王磊
Player: 古力, Date: 2004-10-25, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 彭荃
Player: 古力, Date: 2004-10-17, Rating: 3475, Black and White: 执黑, Result: 负, Opponent: 周鹤洋
Player: 古力, Date: 2004-10-07, Rating: 3475, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 古力, Date: 2004-09-21, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
Player: 古力, Date: 2004-09-06, Rating: 3475, Black and White: 执白, Result: 胜, Opponent: 聂卫平
Player: 古力, Date: 2004-09-03, Rating: 3475, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
