,李昌镐,古力,李世石,孔杰,崔哲瀚,谢赫,朴永训,王檄,胡耀宇,常昊,睦镇硕,赵汉乘,周鹤洋,宋泰坤,张栩,王磊,曹薰铉,俞斌,高尾绅路,结城聪,依田纪基,陈耀烨,安祚永,刘昌赫,元晟溱,金主镐,山下敬吾,邱峻,李喆,周睿羊,赵治勋,彭荃,Others
李昌镐,0,2,12,2,10,0,8,0,2,2,8,4,0,2,4,4,0,0,0,2,2,0,0,4,4,0,2,0,0,0,0,0,12
古力,0,0,4,0,6,4,0,0,0,2,0,0,2,0,0,2,2,4,0,0,0,0,0,2,6,0,2,8,0,0,0,2,13
李世石,4,4,0,2,2,0,2,4,4,0,2,2,2,2,0,2,6,2,0,0,0,0,2,6,0,2,0,0,0,0,0,0,15
孔杰,2,2,2,0,4,0,0,0,0,0,0,0,2,0,2,0,0,4,2,0,0,0,0,4,0,0,0,2,2,0,0,2,15
崔哲瀚,14,2,4,0,0,0,2,0,0,2,6,0,0,0,0,0,6,0,0,2,0,0,0,2,0,0,2,0,0,0,0,6,21
谢赫,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,10
朴永训,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,2,0,0,2,0,2,4,0,0,0,0,0,9
王檄,0,2,0,0,0,2,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,13
胡耀宇,2,2,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
常昊,0,2,0,4,4,2,0,2,4,0,0,0,0,6,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,15
睦镇硕,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
赵汉乘,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,13
周鹤洋,0,10,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,2,15
宋泰坤,0,0,0,4,4,0,4,0,0,2,2,2,2,0,2,0,0,2,2,0,2,0,0,4,0,0,0,0,0,0,0,2,17
张栩,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,16,0,0,2,0,0,10,0,0,0,4,0,17
王磊,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
曹薰铉,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,13
俞斌,0,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,15
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,0,0,0,0,19
结城聪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,19
依田纪基,2,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,2,0,2,0,0,0,0,2,0,0,6,0,0,0,0,0,22
陈耀烨,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
安祚永,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,8
刘昌赫,4,2,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,15
元晟溱,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6
金主镐,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,14
山下敬吾,0,2,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,29
邱峻,0,0,0,2,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
李喆,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
周睿羊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
赵治勋,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,20
彭荃,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,12
Others,1,3,5,3,5,4,1,2,2,5,0,5,4,5,11,4,4,3,5,5,7,5,5,10,4,10,13,4,3,3,12,3,0
