,李昌镐,李世石,古力,崔哲瀚,谢赫,孔杰,朴永训,常昊,王檄,胡耀宇,周鹤洋,张栩,赵汉乘,陈耀烨,王磊,周睿羊,睦镇硕,高尾绅路,结城聪,俞斌,姜东润,宋泰坤,元晟溱,李喆,山下敬吾,李映九,安祚永,黄奕中,朴文垚,邱峻,曹薰铉,依田纪基,Others
李昌镐,0,4,2,10,0,0,0,0,4,4,4,2,4,0,2,0,4,0,0,0,2,0,0,0,2,4,2,0,0,0,4,0,24
李世石,0,0,4,6,0,0,2,8,0,0,0,0,0,0,0,0,6,2,0,2,0,2,4,0,2,0,0,0,0,0,2,4,22
古力,2,4,0,4,0,2,4,2,0,4,8,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,2,2,0,0,19
崔哲瀚,16,2,2,0,0,0,6,0,2,2,0,2,2,0,4,0,6,0,0,0,0,8,0,2,2,2,0,0,0,0,4,4,20
谢赫,0,0,2,0,0,6,0,4,4,0,4,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16
孔杰,0,0,2,0,0,0,2,2,0,4,0,0,0,0,6,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17
朴永训,6,6,2,14,0,2,0,0,2,0,0,0,6,0,0,0,4,2,0,0,0,6,0,0,2,2,2,0,0,0,4,0,23
常昊,0,2,6,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,11
王檄,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,6,0,4,0,0,20
胡耀宇,2,0,0,0,2,0,4,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,21
周鹤洋,4,0,2,0,4,2,2,0,0,2,0,2,0,0,2,0,0,0,0,4,0,2,0,2,0,0,0,0,2,0,0,0,22
张栩,2,0,0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,2,2,8,0,0,0,0,8,0,0,0,0,0,0,4,22
赵汉乘,4,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,2,0,0,0,6,2,12
陈耀烨,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,19
王磊,0,0,0,0,0,4,2,0,0,2,4,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,2,2,0,0,0,12
周睿羊,0,0,2,0,4,4,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,11
睦镇硕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,16
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18
结城聪,0,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22
俞斌,2,0,0,0,2,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20
姜东润,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,10
宋泰坤,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16
元晟溱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,0,10
李喆,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,10
山下敬吾,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,28
李映九,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16
安祚永,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13
黄奕中,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18
朴文垚,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14
邱峻,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15
曹薰铉,0,2,0,0,0,0,2,0,2,0,2,0,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,11
依田纪基,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Others,3,8,10,6,7,6,7,8,7,5,9,10,8,6,6,4,3,4,9,6,4,5,4,5,11,4,5,3,6,7,9,16,0
