,李昌镐,古力,李世石,谢赫,崔哲瀚,朴永训,孔杰,周睿羊,王檄,常昊,胡耀宇,陈耀烨,张栩,赵汉乘,李喆,姜东润,周鹤洋,元晟溱,罗洗河,王磊,睦镇硕,高尾绅路,李映九,朴文垚,安祚永,邱峻,山下敬吾,刘星,结城聪,俞斌,黄奕中,甘思阳,Others
李昌镐,0,2,4,0,10,6,0,0,0,2,2,2,0,0,0,0,2,2,2,0,0,0,6,2,0,0,2,0,0,0,2,0,33
古力,2,0,4,4,0,2,2,10,0,0,6,8,0,0,6,0,6,0,6,2,0,0,0,2,0,0,2,4,0,2,0,0,20
李世石,8,2,0,0,14,2,4,0,0,4,0,0,0,6,0,2,2,2,2,0,0,2,0,2,2,0,0,2,2,0,0,0,37
谢赫,0,2,4,0,4,0,0,2,2,0,0,2,0,0,4,0,0,0,0,2,0,0,0,4,0,2,0,0,2,2,2,0,28
崔哲瀚,6,2,8,0,0,4,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,2,0,0,0,25
朴永训,2,0,0,0,0,0,0,0,0,4,0,2,0,4,0,0,0,2,2,0,2,2,0,0,6,0,2,0,0,0,0,0,24
孔杰,0,0,0,4,0,0,0,2,2,2,2,0,0,0,2,0,2,0,4,2,0,0,0,0,0,4,0,2,0,0,0,0,26
周睿羊,0,2,2,0,0,0,6,0,0,2,0,4,0,0,2,2,2,0,4,2,0,0,0,0,0,0,0,0,0,2,2,0,19
王檄,2,4,0,0,0,0,2,2,0,4,0,0,2,0,2,0,0,0,2,2,0,0,2,4,0,0,0,0,0,0,0,0,26
常昊,2,0,0,0,2,2,2,2,0,0,2,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,2,2,4,2,0,30
胡耀宇,2,4,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,19
陈耀烨,0,6,2,0,2,2,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,4,0,0,0,4,2,0,28
张栩,0,2,0,0,2,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,12,0,0,0,0,4,0,4,0,0,0,34
赵汉乘,2,0,8,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,15
李喆,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,0,4,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,14
姜东润,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15
周鹤洋,0,0,2,0,0,2,8,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13
元晟溱,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17
罗洗河,4,2,2,0,0,0,2,0,2,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,19
王磊,0,2,0,0,0,0,0,2,4,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,14
睦镇硕,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,25
李映九,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,22
朴文垚,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,21
安祚永,2,0,4,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,12
邱峻,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,13
山下敬吾,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,34
刘星,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,15
结城聪,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17
俞斌,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,18
黄奕中,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,10
甘思阳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,8,5,7,6,8,11,7,5,10,8,6,9,5,6,5,3,8,7,9,7,8,11,8,7,7,7,16,11,6,6,10,0,0
