,李世石,古力,孔杰,李昌镐,崔哲瀚,姜东润,朴永训,陈耀烨,张栩,元晟溱,谢赫,李喆,王檄,范廷钰,常昊,周鹤洋,赵汉乘,朴文垚,时越,邱峻,朴廷桓,江维杰,芈昱廷,周睿羊,柁嘉熹,胡耀宇,井山裕太,许映皓,古灵益,李映九,金志锡,刘星,Others
李世石,0,6,8,2,0,4,2,0,2,2,0,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,8
古力,4,0,4,0,0,2,0,2,2,0,0,2,0,0,2,0,6,8,2,0,0,0,0,4,0,4,0,2,4,0,0,2,19
孔杰,4,8,0,2,2,2,4,4,0,0,0,2,0,0,2,6,0,0,0,4,0,2,0,0,2,2,0,0,4,2,0,2,19
李昌镐,4,0,2,0,4,2,2,0,0,10,0,0,0,0,2,0,0,2,0,4,0,0,0,2,2,0,2,0,0,0,2,0,26
崔哲瀚,0,0,2,10,0,2,6,0,0,4,0,4,0,0,4,4,0,0,2,0,0,0,0,2,0,0,0,2,0,2,2,0,19
姜东润,4,0,0,8,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,11
朴永训,0,0,0,0,2,2,0,2,0,2,2,0,0,0,4,0,4,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,17
陈耀烨,0,4,0,0,2,4,0,0,0,0,2,0,4,0,2,2,0,0,2,2,4,4,0,2,0,2,2,0,2,0,2,2,21
张栩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,34
元晟溱,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15
谢赫,0,0,0,0,2,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19
李喆,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,2,2,0,4,13
王檄,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,2,2,2,0,4,0,0,0,2,0,0,0,0,0,0,21
范廷钰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
常昊,4,2,2,4,0,0,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,14
周鹤洋,0,0,0,0,0,0,0,0,0,0,4,4,2,0,4,0,2,0,2,0,0,0,0,4,0,0,0,0,0,2,0,0,21
赵汉乘,2,2,0,0,2,2,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,10
朴文垚,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,20
时越,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,22
邱峻,0,2,0,4,0,2,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,2,0,0,0,2,22
朴廷桓,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,14
江维杰,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21
芈昱廷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
周睿羊,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,2,19
柁嘉熹,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,30
胡耀宇,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,2,14
井山裕太,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
许映皓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,8
古灵益,2,6,0,0,0,0,0,2,0,0,2,0,4,0,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,6,27
李映九,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,16
金志锡,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,32
刘星,0,4,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,4,2,0,0,2,4,0,0,15
Others,2,9,5,6,7,6,7,7,13,8,14,2,8,2,7,6,9,11,12,12,8,8,1,10,7,7,11,8,8,11,6,7,0
