Player: 李世石, Date: 2011-12-22, Rating: 3561, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2011-12-19, Rating: 3561, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2011-12-10, Rating: 3561, Black and White: 执黑, Result: 胜, Opponent: 江鸣久
Player: 李世石, Date: 2011-12-09, Rating: 3561, Black and White: 执白, Result: 负, Opponent: 陈诗渊
Player: 李世石, Date: 2011-12-07, Rating: 3561, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2011-12-06, Rating: 3561, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2011-12-05, Rating: 3561, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李世石, Date: 2011-11-21, Rating: 3561, Black and White: 执黑, Result: 胜, Opponent: 朱亨煜
Player: 李世石, Date: 2011-11-19, Rating: 3561, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 李世石, Date: 2011-11-12, Rating: 3561, Black and White: 执白, Result: 胜, Opponent: 金成宰
Player: 李世石, Date: 2011-10-30, Rating: 3560, Black and White: 执白, Result: 负, Opponent: 韩雄奎
Player: 李世石, Date: 2011-10-24, Rating: 3560, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 李世石, Date: 2011-10-17, Rating: 3560, Black and White: 执白, Result: 负, Opponent: 姜东润
Player: 李世石, Date: 2011-10-13, Rating: 3560, Black and White: 执白, Result: 胜, Opponent: 柳才馨
Player: 李世石, Date: 2011-10-04, Rating: 3560, Black and White: 执黑, Result: 负, Opponent: 孔杰
Player: 李世石, Date: 2011-10-02, Rating: 3560, Black and White: 执黑, Result: 负, Opponent: 金起用
Player: 李世石, Date: 2011-09-21, Rating: 3561, Black and White: 执黑, Result: 胜, Opponent: 温昭珍
Player: 李世石, Date: 2011-09-10, Rating: 3561, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2011-08-26, Rating: 3562, Black and White: 执白, Result: 胜, Opponent: 全瑛圭
Player: 李世石, Date: 2011-08-25, Rating: 3562, Black and White: 执白, Result: 负, Opponent: 金庭贤
Player: 李世石, Date: 2011-08-24, Rating: 3562, Black and White: 执白, Result: 胜, Opponent: 全瑛圭
Player: 李世石, Date: 2011-08-21, Rating: 3562, Black and White: 执黑, Result: 胜, Opponent: 朴正祥
Player: 李世石, Date: 2011-08-12, Rating: 3562, Black and White: 执白, Result: 负, Opponent: 邱峻
Player: 李世石, Date: 2011-08-11, Rating: 3562, Black and White: 执白, Result: 胜, Opponent: 藤井秀哉
Player: 李世石, Date: 2011-08-10, Rating: 3563, Black and White: 执白, Result: 胜, Opponent: 高尾绅路
Player: 李世石, Date: 2011-08-04, Rating: 3563, Black and White: 执黑, Result: 胜, Opponent: 李勇赞
Player: 李世石, Date: 2011-08-01, Rating: 3563, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2011-07-27, Rating: 3563, Black and White: 执白, Result: 负, Opponent: 赵汉乘
Player: 李世石, Date: 2011-07-21, Rating: 3564, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 李世石, Date: 2011-07-07, Rating: 3564, Black and White: 执白, Result: 负, Opponent: 尹峻相
Player: 李世石, Date: 2011-07-07, Rating: 3564, Black and White: 执黑, Result: 胜, Opponent: 陈时映
Player: 李世石, Date: 2011-06-30, Rating: 3565, Black and White: 执白, Result: 胜, Opponent: 谢赫
Player: 李世石, Date: 2011-06-29, Rating: 3565, Black and White: 执白, Result: 负, Opponent: 谢赫
Player: 李世石, Date: 2011-06-27, Rating: 3565, Black and White: 执黑, Result: 胜, Opponent: 谢赫
Player: 李世石, Date: 2011-06-23, Rating: 3565, Black and White: 执黑, Result: 胜, Opponent: 洪性志
Player: 李世石, Date: 2011-06-20, Rating: 3565, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 李世石, Date: 2011-06-13, Rating: 3566, Black and White: 执黑, Result: 负, Opponent: 朴永训
Player: 李世石, Date: 2011-06-10, Rating: 3566, Black and White: 执白, Result: 负, Opponent: 温昭珍
Player: 李世石, Date: 2011-05-26, Rating: 3567, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李世石, Date: 2011-05-17, Rating: 3568, Black and White: 执白, Result: 负, Opponent: 古力
Player: 李世石, Date: 2011-05-16, Rating: 3568, Black and White: 执白, Result: 负, Opponent: 井山裕太
Player: 李世石, Date: 2011-05-13, Rating: 3569, Black and White: 执白, Result: 胜, Opponent: 李志贤
Player: 李世石, Date: 2011-05-06, Rating: 3570, Black and White: 执白, Result: 胜, Opponent: 金成宰
Player: 李世石, Date: 2011-04-28, Rating: 3571, Black and White: 执黑, Result: 胜, Opponent: 古力
Player: 李世石, Date: 2011-04-27, Rating: 3571, Black and White: 执白, Result: 负, Opponent: 古力
Player: 李世石, Date: 2011-04-26, Rating: 3571, Black and White: 执黑, Result: 胜, Opponent: 古力
Player: 李世石, Date: 2011-04-24, Rating: 3571, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 李世石, Date: 2011-04-23, Rating: 3572, Black and White: 执黑, Result: 负, Opponent: 古力
Player: 李世石, Date: 2011-04-19, Rating: 3572, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 李世石, Date: 2011-04-12, Rating: 3573, Black and White: 执黑, Result: 胜, Opponent: 朴正祥
Player: 李世石, Date: 2011-04-05, Rating: 3574, Black and White: 执白, Result: 胜, Opponent: 姜儒泽
Player: 李世石, Date: 2011-04-04, Rating: 3574, Black and White: 执白, Result: 负, Opponent: 姜儒泽
Player: 李世石, Date: 2011-04-01, Rating: 3574, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 李世石, Date: 2011-03-30, Rating: 3574, Black and White: 执黑, Result: 胜, Opponent: 姜儒泽
Player: 李世石, Date: 2011-03-20, Rating: 3575, Black and White: 执白, Result: 胜, Opponent: 李映九
Player: 李世石, Date: 2011-03-12, Rating: 3576, Black and White: 执黑, Result: 胜, Opponent: 朴承华
Player: 李世石, Date: 2011-03-06, Rating: 3577, Black and White: 执黑, Result: 胜, Opponent: 全瑛圭
Player: 李世石, Date: 2011-02-26, Rating: 3577, Black and White: 执黑, Result: 胜, Opponent: 孙力
Player: 李世石, Date: 2011-01-31, Rating: 3579, Black and White: 执白, Result: 负, Opponent: 白洪淅
Player: 李世石, Date: 2011-01-29, Rating: 3579, Black and White: 执白, Result: 胜, Opponent: 金真辉
Player: 李世石, Date: 2011-01-23, Rating: 3580, Black and White: 执黑, Result: 胜, Opponent: 陈时映
Player: 李世石, Date: 2011-01-20, Rating: 3580, Black and White: 执白, Result: 负, Opponent: 睦镇硕
Player: 李世石, Date: 2011-01-15, Rating: 3581, Black and White: 执黑, Result: 胜, Opponent: 许映皓
Player: 李世石, Date: 2011-01-12, Rating: 3581, Black and White: 执白, Result: 胜, Opponent: 许映皓
Player: 李世石, Date: 2011-01-10, Rating: 3581, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2011-01-08, Rating: 3581, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2011-01-07, Rating: 3581, Black and White: 执白, Result: 胜, Opponent: 朴正祥
Player: 李世石, Date: 2011-01-03, Rating: 3581, Black and White: 执白, Result: 胜, Opponent: 金志锡
Player: 朴廷桓, Date: 2011-12-09, Rating: 3577, Black and White: 执白, Result: 胜, Opponent: 周俊勋
Player: 朴廷桓, Date: 2011-12-05, Rating: 3577, Black and White: 执白, Result: 胜, Opponent: 许进
Player: 朴廷桓, Date: 2011-11-30, Rating: 3576, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 朴廷桓, Date: 2011-11-26, Rating: 3575, Black and White: 执黑, Result: 胜, Opponent: 安国铉
Player: 朴廷桓, Date: 2011-11-24, Rating: 3575, Black and White: 执黑, Result: 负, Opponent: 李喆
Player: 朴廷桓, Date: 2011-11-23, Rating: 3575, Black and White: 执黑, Result: 胜, Opponent: 村川大介
Player: 朴廷桓, Date: 2011-11-22, Rating: 3575, Black and White: 执白, Result: 胜, Opponent: 萧正浩
Player: 朴廷桓, Date: 2011-11-20, Rating: 3574, Black and White: 执黑, Result: 胜, Opponent: 温昭珍
