,李世石,朴廷桓,崔哲瀚,古力,姜东润,陈耀烨,范廷钰,谢赫,孔杰,金志锡,周睿羊,李喆,赵汉乘,檀啸,李昌镐,元晟溱,李映九,柁嘉熹,井山裕太,时越,朴永训,王檄,江维杰,邱峻,彭立尧,芈昱廷,朴文垚,连笑,许映皓,胡耀宇,孟泰龄,姜儒泽,Others
李世石,0,2,6,6,2,2,0,4,0,4,0,0,0,0,8,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,4,24
朴廷桓,0,0,2,0,0,0,0,0,0,4,2,0,0,0,2,0,2,0,2,0,8,0,2,2,0,0,2,0,0,0,0,0,27
崔哲瀚,2,0,0,2,2,0,2,0,6,2,4,0,6,0,6,6,2,0,0,0,2,0,2,0,0,2,0,0,2,0,2,4,31
古力,6,0,2,0,0,2,0,0,8,4,2,4,2,2,2,2,2,2,0,0,0,0,0,2,0,0,2,0,2,4,0,0,23
姜东润,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,24
陈耀烨,0,2,4,0,0,0,4,4,0,0,0,2,0,4,0,2,6,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,16
范廷钰,0,0,2,2,0,0,0,0,0,0,2,2,2,4,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,14
谢赫,2,2,0,2,2,0,2,0,2,0,2,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,0,2,2,22
孔杰,2,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,2,2,8,2,2,0,2,0,2,2,0,0,17
金志锡,0,0,0,0,4,0,0,0,0,0,0,2,2,2,0,2,0,2,0,0,4,0,0,2,0,0,4,0,0,0,0,0,18
周睿羊,0,0,2,0,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,17
李喆,0,4,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,2,0,4,0,0,0,2,2,0,2,0,0,0,0,0,13
赵汉乘,2,0,6,0,4,2,0,0,0,0,4,2,0,2,0,6,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,24
檀啸,0,0,2,2,0,4,0,0,4,0,2,6,2,0,2,0,2,2,0,0,0,0,4,0,0,0,0,0,0,6,0,2,21
李昌镐,2,4,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,4,0,0,2,27
元晟溱,0,4,0,4,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,28
李映九,0,0,4,0,4,0,2,0,0,2,0,0,4,2,4,2,0,0,0,0,2,0,2,2,0,0,0,0,4,0,0,0,21
柁嘉熹,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,15
井山裕太,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,47
时越,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,17
朴永训,2,2,2,0,4,0,0,0,0,0,0,0,4,0,4,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,21
王檄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20
江维杰,0,0,0,4,0,0,0,2,6,4,2,0,2,0,0,2,2,0,2,0,0,2,0,0,2,0,4,0,0,0,0,0,17
邱峻,2,0,4,0,2,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,11
彭立尧,0,0,2,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20
芈昱廷,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17
朴文垚,0,2,0,0,0,6,0,0,8,0,0,0,0,0,0,2,2,0,2,0,0,4,0,0,0,0,0,0,2,2,0,0,16
连笑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
许映皓,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15
胡耀宇,0,0,0,2,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,12
孟泰龄,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,17
姜儒泽,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17
Others,8,7,6,6,2,10,4,7,10,9,9,8,6,9,8,7,9,10,17,7,6,8,8,6,8,6,9,2,10,8,7,2,0
