Player: 时越, Date: 2013-12-30, Rating: 3605, Black and White: 执白, Result: 胜, Opponent: 童梦成
Player: 时越, Date: 2013-12-24, Rating: 3605, Black and White: 执黑, Result: 胜, Opponent: 古力
Player: 时越, Date: 2013-12-22, Rating: 3605, Black and White: 执黑, Result: 胜, Opponent: 林至涵
Player: 时越, Date: 2013-12-22, Rating: 3605, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 时越, Date: 2013-12-21, Rating: 3605, Black and White: 执白, Result: 胜, Opponent: 江鸣久
Player: 时越, Date: 2013-12-21, Rating: 3605, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 时越, Date: 2013-12-02, Rating: 3606, Black and White: 执白, Result: 负, Opponent: 李钦诚
Player: 时越, Date: 2013-11-28, Rating: 3606, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 时越, Date: 2013-11-23, Rating: 3606, Black and White: 执黑, Result: 胜, Opponent: 张立
Player: 时越, Date: 2013-11-19, Rating: 3607, Black and White: 执黑, Result: 负, Opponent: 李喆
Player: 时越, Date: 2013-11-16, Rating: 3607, Black and White: 执白, Result: 胜, Opponent: 韩晗
Player: 时越, Date: 2013-11-07, Rating: 3608, Black and White: 执白, Result: 负, Opponent: 唐韦星
Player: 时越, Date: 2013-11-06, Rating: 3608, Black and White: 执白, Result: 负, Opponent: 唐韦星
Player: 时越, Date: 2013-11-04, Rating: 3608, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 时越, Date: 2013-11-02, Rating: 3608, Black and White: 执黑, Result: 胜, Opponent: 范蕴若
Player: 时越, Date: 2013-10-27, Rating: 3609, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 时越, Date: 2013-10-24, Rating: 3609, Black and White: 执黑, Result: 胜, Opponent: 连笑
Player: 时越, Date: 2013-10-22, Rating: 3609, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 时越, Date: 2013-10-20, Rating: 3609, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 时越, Date: 2013-10-13, Rating: 3610, Black and White: 执白, Result: 胜, Opponent: 连笑
Player: 时越, Date: 2013-10-10, Rating: 3610, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 时越, Date: 2013-10-08, Rating: 3610, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 时越, Date: 2013-09-22, Rating: 3610, Black and White: 执白, Result: 胜, Opponent: 李维清
Player: 时越, Date: 2013-09-12, Rating: 3609, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 时越, Date: 2013-09-10, Rating: 3610, Black and White: 执白, Result: 胜, Opponent: 刘星
Player: 时越, Date: 2013-09-09, Rating: 3610, Black and White: 执白, Result: 胜, Opponent: 周贺玺
Player: 时越, Date: 2013-09-08, Rating: 3609, Black and White: 执黑, Result: 胜, Opponent: 周睿羊
Player: 时越, Date: 2013-09-07, Rating: 3609, Black and White: 执白, Result: 胜, Opponent: 陈耀烨
Player: 时越, Date: 2013-09-04, Rating: 3609, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 时越, Date: 2013-09-03, Rating: 3609, Black and White: 执黑, Result: 胜, Opponent: 安成浚
Player: 时越, Date: 2013-09-01, Rating: 3609, Black and White: 执黑, Result: 负, Opponent: 杨鼎新
Player: 时越, Date: 2013-08-30, Rating: 3609, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 时越, Date: 2013-08-28, Rating: 3609, Black and White: 执黑, Result: 负, Opponent: 檀啸
Player: 时越, Date: 2013-08-27, Rating: 3609, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
Player: 时越, Date: 2013-08-23, Rating: 3609, Black and White: 执白, Result: 胜, Opponent: 檀啸
Player: 时越, Date: 2013-08-21, Rating: 3609, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 时越, Date: 2013-08-07, Rating: 3608, Black and White: 执白, Result: 胜, Opponent: 孟泰龄
Player: 时越, Date: 2013-08-04, Rating: 3608, Black and White: 执白, Result: 胜, Opponent: 罗玄
Player: 时越, Date: 2013-07-21, Rating: 3606, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 时越, Date: 2013-07-19, Rating: 3606, Black and White: 执黑, Result: 胜, Opponent: 陈耀烨
Player: 时越, Date: 2013-07-15, Rating: 3606, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 时越, Date: 2013-07-09, Rating: 3605, Black and White: 执黑, Result: 负, Opponent: 罗玄
Player: 时越, Date: 2013-07-07, Rating: 3605, Black and White: 执白, Result: 负, Opponent: 李世石
Player: 时越, Date: 2013-06-22, Rating: 3604, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 时越, Date: 2013-06-15, Rating: 3604, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 时越, Date: 2013-06-10, Rating: 3603, Black and White: 执黑, Result: 负, Opponent: 安亨浚
Player: 时越, Date: 2013-06-02, Rating: 3603, Black and White: 执黑, Result: 负, Opponent: 唐韦星
Player: 时越, Date: 2013-05-31, Rating: 3603, Black and White: 执黑, Result: 胜, Opponent: 唐韦星
