,时越,朴廷桓,李世石,金志锡,周睿羊,陈耀烨,古力,崔哲瀚,芈昱廷,柁嘉熹,范廷钰,檀啸,王檄,柯洁,井山裕太,连笑,彭立尧,唐韦星,姜东润,江维杰,邱峻,朴永训,杨鼎新,元晟溱,赵汉乘,古灵益,白洪淅,朴文垚,谢尔豪,谢赫,李钦诚,范蕴若,Others
时越,0,6,2,4,6,8,6,0,0,0,2,4,2,2,0,6,0,8,2,2,4,4,0,4,0,0,0,0,0,2,0,2,19
朴廷桓,4,0,10,8,4,8,2,2,0,0,4,2,0,2,0,2,2,2,0,2,2,2,0,4,0,0,0,2,0,6,0,0,44
李世石,2,4,0,2,0,6,4,6,0,0,4,0,0,0,0,2,0,0,4,0,4,4,0,0,0,0,0,0,2,2,0,0,31
金志锡,0,2,10,0,2,4,0,4,0,0,2,0,0,2,0,0,0,2,4,0,2,0,0,0,2,0,0,0,2,0,0,2,38
周睿羊,0,0,0,2,0,8,4,2,4,8,2,2,2,0,0,2,2,2,0,0,0,2,2,0,2,0,0,2,2,0,2,0,33
陈耀烨,0,6,10,2,0,0,2,2,0,4,0,6,0,0,2,2,4,0,2,2,2,6,0,0,2,6,0,0,0,6,2,0,18
古力,0,2,0,2,6,0,0,0,2,0,2,0,2,0,0,2,2,2,2,2,2,2,2,0,2,4,0,0,0,0,2,2,24
崔哲瀚,4,0,6,0,4,6,2,0,0,2,2,0,0,2,0,0,0,2,0,0,0,4,2,0,0,0,2,0,0,0,0,0,36
芈昱廷,2,2,2,0,0,2,6,2,0,2,0,2,4,0,0,2,0,2,2,4,2,2,0,0,0,0,0,4,0,2,0,0,24
柁嘉熹,0,2,2,0,6,0,0,2,2,0,2,2,4,2,0,0,0,0,0,0,4,0,0,0,4,0,0,2,0,0,2,2,27
范廷钰,0,8,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,4,0,2,2,0,27
檀啸,2,2,0,0,2,4,0,0,2,0,4,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23
王檄,0,0,2,0,2,0,0,0,4,4,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,4,2,4,29
柯洁,2,0,0,0,2,2,0,2,0,2,0,2,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,2,2,12
井山裕太,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
连笑,0,0,0,2,6,0,0,2,2,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,24
彭立尧,0,0,0,0,0,2,2,0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,21
唐韦星,6,0,4,2,0,0,0,2,2,4,2,2,0,2,0,4,2,0,0,2,0,2,4,0,0,0,0,0,0,0,0,2,16
姜东润,0,0,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,25
江维杰,2,0,0,0,0,0,2,2,2,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,4,0,0,2,25
邱峻,0,0,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,4,2,0,0,0,2,0,2,2,0,2,0,2,0,0,15
朴永训,0,2,4,2,2,2,0,6,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,35
杨鼎新,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,0,2,0,0,2,24
元晟溱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
赵汉乘,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,24
古灵益,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,18
白洪淅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
朴文垚,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18
谢尔豪,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
谢赫,0,0,0,2,0,2,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,18
李钦诚,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,4,2,0,0,21
范蕴若,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,27
Others,6,9,9,5,6,4,9,11,8,10,6,10,5,5,18,9,11,9,10,11,4,10,6,3,22,5,1,9,7,13,14,13,0
