Player: 申真谞, Date: 2021-01-01, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 韩升周
Player: 申真谞, Date: 2020-12-24, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 白现宇
Player: 申真谞, Date: 2020-12-23, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 古灵益
Player: 申真谞, Date: 2020-12-22, Rating: 3845, Black and White: 执白, Result: 胜, Opponent: 党毅飞
Player: 申真谞, Date: 2020-12-21, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 许嘉阳
Player: 申真谞, Date: 2020-12-20, Rating: 3845, Black and White: 执黑, Result: 负, Opponent: 许嘉阳
Player: 申真谞, Date: 2020-12-20, Rating: 3845, Black and White: 执黑, Result: 负, Opponent: 朴廷桓
Player: 申真谞, Date: 2020-12-13, Rating: 3845, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 申真谞, Date: 2020-12-12, Rating: 3845, Black and White: 执白, Result: 胜, Opponent: 文儒彬
Player: 申真谞, Date: 2020-12-11, Rating: 3845, Black and White: 执白, Result: 胜, Opponent: 蒋其润
Player: 申真谞, Date: 2020-12-09, Rating: 3845, Black and White: 执黑, Result: 负, Opponent: 杨鼎新
Player: 申真谞, Date: 2020-12-08, Rating: 3845, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 申真谞, Date: 2020-12-07, Rating: 3845, Black and White: 执黑, Result: 胜, Opponent: 古灵益
Player: 申真谞, Date: 2020-12-06, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 李喆
Player: 申真谞, Date: 2020-12-04, Rating: 3846, Black and White: 执黑, Result: 胜, Opponent: 偰玹准
Player: 申真谞, Date: 2020-12-02, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2020-12-01, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2020-11-26, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2020-11-24, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 唐韦星
Player: 申真谞, Date: 2020-11-16, Rating: 3846, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2020-11-14, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2020-11-10, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 安成浚
Player: 申真谞, Date: 2020-11-06, Rating: 3846, Black and White: 执黑, Result: 胜, Opponent: 安成浚
Player: 申真谞, Date: 2020-11-03, Rating: 3846, Black and White: 执白, Result: 负, Opponent: 柯洁
Player: 申真谞, Date: 2020-11-02, Rating: 3846, Black and White: 执黑, Result: 负, Opponent: 柯洁
Player: 申真谞, Date: 2020-10-31, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 谢尔豪
Player: 申真谞, Date: 2020-10-30, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 时越
Player: 申真谞, Date: 2020-10-28, Rating: 3846, Black and White: 执白, Result: 胜, Opponent: 连笑
