,申真谞,柯洁,朴廷桓,辜梓豪,丁浩,杨鼎新,卞相壹,芈昱廷,范蕴若,范廷钰,连笑,江维杰,许嘉阳,李轩豪,一力辽,谢尔豪,李维清,谢科,党毅飞,柁嘉熹,李钦诚,申旻埈,李东勋,金志锡,井山裕太,陶欣然,廖元赫,王星昊,陈耀烨,赵晨宇,时越,杨楷文,元晟溱,Others
申真谞,0,4,20,0,0,6,10,0,0,4,2,2,4,0,4,2,2,0,0,0,0,6,2,6,2,4,0,0,0,4,0,0,0,39
柯洁,2,0,2,2,2,0,0,2,0,0,0,2,0,0,0,6,2,2,2,2,0,2,0,0,0,4,0,0,0,0,4,0,2,13
朴廷桓,10,2,0,2,2,2,6,2,0,0,2,0,0,0,0,0,4,2,0,2,0,4,0,2,0,2,0,0,0,4,0,0,4,35
辜梓豪,0,0,0,0,0,10,0,6,0,0,2,2,2,4,0,4,0,0,2,4,2,2,0,0,0,0,0,0,2,4,0,0,0,12
丁浩,2,2,0,4,0,6,0,4,0,0,0,2,0,2,0,2,2,0,2,4,0,0,0,0,0,2,2,0,2,0,2,0,0,15
杨鼎新,0,2,0,6,0,0,0,6,0,2,2,0,0,0,0,4,2,0,2,2,0,2,0,4,0,6,0,0,0,0,0,0,2,12
卞相壹,10,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,2,6,4,2,0,0,0,0,0,0,2,0,6,35
芈昱廷,2,4,0,2,0,0,4,0,0,0,2,2,2,2,0,0,2,6,2,4,2,0,2,0,0,0,6,0,0,0,4,2,0,11
范蕴若,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
范廷钰,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,2,0,2,4,0,2,0,0,0,0,0,2,0,0,0,0,11
连笑,0,0,0,0,4,0,2,0,0,2,0,4,2,2,0,0,0,0,2,0,2,0,0,0,0,0,2,4,0,2,2,2,0,13
江维杰,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,7
许嘉阳,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,2,12
李轩豪,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,4,2,2,0,0,2,2,0,4,0,0,2,0,0,0,0,13
一力辽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37
谢尔豪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,8
李维清,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,11
谢科,0,0,0,2,0,2,0,4,0,2,0,0,0,2,4,0,0,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,9
党毅飞,0,0,0,0,0,0,0,2,0,2,2,2,0,4,0,0,4,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,15
柁嘉熹,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10
李钦诚,0,2,0,0,0,4,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,2,2,0,2,0,11
申旻埈,2,4,2,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,23
李东勋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,26
金志锡,2,2,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,4,27
井山裕太,0,0,0,0,2,0,2,0,0,2,0,0,0,0,16,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,25
陶欣然,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12
廖元赫,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,4,2,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,18
王星昊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,27
陈耀烨,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
赵晨宇,0,2,0,0,0,0,0,2,0,0,4,2,2,2,0,2,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,13
时越,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,2,0,2,0,7
杨楷文,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,0,0,0,11
元晟溱,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,26
Others,2,1,8,2,4,3,8,2,0,9,10,5,2,11,11,4,5,5,4,6,1,15,9,13,11,5,3,8,2,6,9,2,4,0
