Player: 申真谞, Date: 2022-12-30, Rating: 3862, Black and White: 执白, Result: 胜, Opponent: 金炯佑
Player: 申真谞, Date: 2022-12-21, Rating: 3862, Black and White: 执黑, Result: 负, Opponent: 李轩豪
Player: 申真谞, Date: 2022-12-19, Rating: 3862, Black and White: 执黑, Result: 胜, Opponent: 柯洁
Player: 申真谞, Date: 2022-12-13, Rating: 3861, Black and White: 执黑, Result: 胜, Opponent: 全瑛圭
Player: 申真谞, Date: 2022-11-16, Rating: 3860, Black and White: 执黑, Result: 负, Opponent: 杨鼎新
Player: 申真谞, Date: 2022-11-13, Rating: 3860, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 申真谞, Date: 2022-11-08, Rating: 3860, Black and White: 执白, Result: 胜, Opponent: 崔精
Player: 申真谞, Date: 2022-11-07, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 崔精
Player: 申真谞, Date: 2022-11-05, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 金明训
Player: 申真谞, Date: 2022-11-02, Rating: 3860, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2022-11-01, Rating: 3860, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 申真谞, Date: 2022-10-27, Rating: 3860, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 申真谞, Date: 2022-10-06, Rating: 3859, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 申真谞, Date: 2022-10-05, Rating: 3859, Black and White: 执白, Result: 负, Opponent: 申旻埈
Player: 申真谞, Date: 2022-09-18, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 许嘉阳
Player: 申真谞, Date: 2022-09-15, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2022-09-09, Rating: 3859, Black and White: 执白, Result: 负, Opponent: 谢尔豪
Player: 申真谞, Date: 2022-09-08, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2022-08-25, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 柯洁
Player: 申真谞, Date: 2022-08-22, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2022-08-19, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2022-08-18, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2022-08-15, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2022-08-14, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2022-08-13, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 芈昱廷
Player: 申真谞, Date: 2022-08-13, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 金志锡
Player: 申真谞, Date: 2022-08-11, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 周睿羊
Player: 申真谞, Date: 2022-08-10, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 党毅飞
Player: 申真谞, Date: 2022-08-08, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 李翔宇
Player: 申真谞, Date: 2022-08-06, Rating: 3859, Black and White: 执黑, Result: 负, Opponent: 李维清
Player: 申真谞, Date: 2022-08-05, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 蒋其润
Player: 申真谞, Date: 2022-08-04, Rating: 3859, Black and White: 执黑, Result: 负, Opponent: 芈昱廷
Player: 申真谞, Date: 2022-08-02, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 沈载益
Player: 申真谞, Date: 2022-07-28, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 姜东润
Player: 申真谞, Date: 2022-07-26, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 申真谞, Date: 2022-07-24, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 金凡瑞
