Player: 申真谞, Date: 2023-12-31, Rating: 3857, Black and White: 执黑, Result: 胜, Opponent: 李志贤
Player: 申真谞, Date: 2023-12-23, Rating: 3857, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 申真谞, Date: 2023-12-21, Rating: 3857, Black and White: 执黑, Result: 负, Opponent: 范胤
Player: 申真谞, Date: 2023-12-16, Rating: 3858, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2023-12-15, Rating: 3858, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2023-12-13, Rating: 3858, Black and White: 执黑, Result: 胜, Opponent: 柯洁
Player: 申真谞, Date: 2023-12-11, Rating: 3858, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 申真谞, Date: 2023-12-04, Rating: 3858, Black and White: 执黑, Result: 胜, Opponent: 谢尔豪
Player: 申真谞, Date: 2023-11-28, Rating: 3858, Black and White: 执黑, Result: 胜, Opponent: 芈昱廷
Player: 申真谞, Date: 2023-11-22, Rating: 3859, Black and White: 执黑, Result: 负, Opponent: 谢尔豪
Player: 申真谞, Date: 2023-11-19, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 许皓鋐
Player: 申真谞, Date: 2023-11-17, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 王星昊
Player: 申真谞, Date: 2023-11-10, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2023-11-08, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 朴只玹
Player: 申真谞, Date: 2023-11-06, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 陈正勋
Player: 申真谞, Date: 2023-11-03, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 金恩持
Player: 申真谞, Date: 2023-11-01, Rating: 3859, Black and White: 执黑, Result: 胜, Opponent: 朴只玹
Player: 申真谞, Date: 2023-10-23, Rating: 3859, Black and White: 执白, Result: 胜, Opponent: 朴钟勋
Player: 申真谞, Date: 2023-10-21, Rating: 3859, Black and White: 执黑, Result: 负, Opponent: 宋知勋
Player: 申真谞, Date: 2023-10-12, Rating: 3860, Black and White: 执白, Result: 胜, Opponent: 许映皓
Player: 申真谞, Date: 2023-10-10, Rating: 3860, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 申真谞, Date: 2023-10-08, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 杨鼎新
Player: 申真谞, Date: 2023-10-03, Rating: 3860, Black and White: 执白, Result: 胜, Opponent: 杨鼎新
Player: 申真谞, Date: 2023-10-02, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 佐田笃史
Player: 申真谞, Date: 2023-09-30, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 佐田笃史
Player: 申真谞, Date: 2023-09-30, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 柯洁
Player: 申真谞, Date: 2023-09-29, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 王元均
Player: 申真谞, Date: 2023-09-28, Rating: 3860, Black and White: 执黑, Result: 负, Opponent: 许皓鋐
Player: 申真谞, Date: 2023-09-28, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 一力辽
Player: 申真谞, Date: 2023-09-27, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 赖均辅
Player: 申真谞, Date: 2023-09-26, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 柯杰晖
Player: 申真谞, Date: 2023-09-25, Rating: 3860, Black and White: 执白, Result: 胜, Opponent: 许皓鋐
Player: 申真谞, Date: 2023-09-25, Rating: 3860, Black and White: 执白, Result: 胜, Opponent: 芝野虎丸
Player: 申真谞, Date: 2023-09-24, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 杨鼎新
Player: 申真谞, Date: 2023-09-24, Rating: 3860, Black and White: 执黑, Result: 胜, Opponent: 陈志轩
Player: 申真谞, Date: 2023-09-18, Rating: 3860, Black and White: 执白, Result: 负, Opponent: 朴只玹
Player: 申真谞, Date: 2023-09-09, Rating: 3861, Black and White: 执白, Result: 胜, Opponent: 朴键昊
Player: 申真谞, Date: 2023-09-05, Rating: 3861, Black and White: 执黑, Result: 胜, Opponent: 朴键昊
Player: 申真谞, Date: 2023-09-04, Rating: 3861, Black and White: 执白, Result: 胜, Opponent: 朴键昊
Player: 申真谞, Date: 2023-08-30, Rating: 3861, Black and White: 执黑, Result: 胜, Opponent: 韩相朝
Player: 申真谞, Date: 2023-08-23, Rating: 3861, Black and White: 执白, Result: 胜, Opponent: 谢科
Player: 申真谞, Date: 2023-08-21, Rating: 3861, Black and White: 执黑, Result: 胜, Opponent: 谢科
Player: 申真谞, Date: 2023-08-06, Rating: 3862, Black and White: 执黑, Result: 负, Opponent: 李轩豪
Player: 申真谞, Date: 2023-08-04, Rating: 3862, Black and White: 执白, Result: 胜, Opponent: 范廷钰
Player: 申真谞, Date: 2023-08-03, Rating: 3862, Black and White: 执黑, Result: 胜, Opponent: 周泓余
Player: 申真谞, Date: 2023-07-28, Rating: 3862, Black and White: 执黑, Result: 负, Opponent: 申旻埈
Player: 申真谞, Date: 2023-07-27, Rating: 3862, Black and White: 执黑, Result: 胜, Opponent: 芝野虎丸
Player: 申真谞, Date: 2023-07-26, Rating: 3862, Black and White: 执白, Result: 胜, Opponent: 伊田笃史
Player: 申真谞, Date: 2023-07-26, Rating: 3862, Black and White: 执黑, Result: 胜, Opponent: 金明训
Player: 申真谞, Date: 2023-07-21, Rating: 3862, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2023-07-10, Rating: 3863, Black and White: 执白, Result: 胜, Opponent: 金明训
Player: 申真谞, Date: 2023-07-08, Rating: 3863, Black and White: 执白, Result: 胜, Opponent: 全瑛圭
Player: 申真谞, Date: 2023-07-05, Rating: 3863, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2023-07-04, Rating: 3863, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2023-07-03, Rating: 3863, Black and White: 执白, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2023-06-27, Rating: 3863, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2023-06-25, Rating: 3863, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2023-06-24, Rating: 3863, Black and White: 执黑, Result: 胜, Opponent: 许荣珞
Player: 申真谞, Date: 2023-06-17, Rating: 3863, Black and White: 执白, Result: 负, Opponent: 辜梓豪
Player: 申真谞, Date: 2023-06-16, Rating: 3863, Black and White: 执黑, Result: 负, Opponent: 辜梓豪
Player: 申真谞, Date: 2023-06-14, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 辜梓豪
Player: 申真谞, Date: 2023-06-11, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 申真谞, Date: 2023-06-10, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 韩升周
Player: 申真谞, Date: 2023-06-09, Rating: 3864, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 申真谞, Date: 2023-06-07, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 申真谞, Date: 2023-06-03, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 申真谞, Date: 2023-06-02, Rating: 3864, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 申真谞, Date: 2023-06-01, Rating: 3864, Black and White: 执黑, Result: 胜, Opponent: 沈载益
Player: 申真谞, Date: 2023-05-31, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 李轩豪
Player: 申真谞, Date: 2023-05-24, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2023-05-22, Rating: 3864, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2023-05-19, Rating: 3864, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 申真谞, Date: 2023-05-18, Rating: 3864, Black and White: 执黑, Result: 胜, Opponent: 洪性志
Player: 申真谞, Date: 2023-05-16, Rating: 3864, Black and White: 执白, Result: 负, Opponent: 姜东润
Player: 申真谞, Date: 2023-05-12, Rating: 3865, Black and White: 执白, Result: 负, Opponent: 白洪淅
Player: 申真谞, Date: 2023-05-09, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 檀啸
Player: 申真谞, Date: 2023-05-08, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 李维清
Player: 申真谞, Date: 2023-05-06, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 丁浩
Player: 申真谞, Date: 2023-05-05, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 李钦诚
Player: 申真谞, Date: 2023-05-02, Rating: 3865, Black and White: 执白, Result: 胜, Opponent: 金丞求
Player: 申真谞, Date: 2023-04-26, Rating: 3865, Black and White: 执白, Result: 胜, Opponent: 王元均
Player: 申真谞, Date: 2023-04-17, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2023-04-15, Rating: 3866, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 申真谞, Date: 2023-04-15, Rating: 3866, Black and White: 执黑, Result: 胜, Opponent: 李志贤
Player: 申真谞, Date: 2023-04-13, Rating: 3866, Black and White: 执黑, Result: 胜, Opponent: 韩友赈
Player: 申真谞, Date: 2023-04-10, Rating: 3866, Black and White: 执白, Result: 胜, Opponent: 李元荣
Player: 申真谞, Date: 2023-04-05, Rating: 3866, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 申真谞, Date: 2023-04-03, Rating: 3866, Black and White: 执黑, Result: 胜, Opponent: 李元荣
Player: 申真谞, Date: 2023-04-01, Rating: 3866, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2023-04-01, Rating: 3866, Black and White: 执黑, Result: 胜, Opponent: 金真辉
Player: 申真谞, Date: 2023-03-30, Rating: 3866, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 申真谞, Date: 2023-03-30, Rating: 3866, Black and White: 执白, Result: 胜, Opponent: 金明训
Player: 申真谞, Date: 2023-03-27, Rating: 3866, Black and White: 执白, Result: 胜, Opponent: 卞相壹
Player: 申真谞, Date: 2023-03-22, Rating: 3866, Black and White: 执黑, Result: 胜, Opponent: 申旻埈
Player: 申真谞, Date: 2023-03-21, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 洪性志
Player: 申真谞, Date: 2023-03-19, Rating: 3865, Black and White: 执白, Result: 胜, Opponent: 关航太郎
Player: 申真谞, Date: 2023-03-16, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 安国铉
Player: 申真谞, Date: 2023-03-12, Rating: 3865, Black and White: 执白, Result: 胜, Opponent: 沈载益
Player: 申真谞, Date: 2023-03-10, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 朴廷桓
Player: 申真谞, Date: 2023-03-07, Rating: 3865, Black and White: 执黑, Result: 胜, Opponent: 卞相壹
