Player: 赵治勋, Date: 1981-11-12, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 白石裕
Player: 赵治勋, Date: 1981-10-31, Rating: 3396, Black and White: 执白, Result: 负, Opponent: 山部俊郎
Player: 赵治勋, Date: 1981-10-19, Rating: 3396, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 赵治勋, Date: 1981-10-14, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1981-10-08, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 东野弘昭
Player: 赵治勋, Date: 1981-10-01, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1981-09-24, Rating: 3396, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1981-09-17, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 石田芳夫
Player: 赵治勋, Date: 1981-09-13, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 酒井猛
Player: 赵治勋, Date: 1981-09-09, Rating: 3396, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1981-07-23, Rating: 3393, Black and White: 执黑, Result: 胜, Opponent: 桥本昌二
Player: 赵治勋, Date: 1981-07-15, Rating: 3392, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1981-07-08, Rating: 3392, Black and White: 执白, Result: 负, Opponent: 武宫正树
Player: 赵治勋, Date: 1981-07-02, Rating: 3391, Black and White: 执白, Result: 负, Opponent: 桥本昌二
Player: 赵治勋, Date: 1981-06-23, Rating: 3391, Black and White: 执黑, Result: 负, Opponent: 武宫正树
Player: 赵治勋, Date: 1981-06-16, Rating: 3391, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1981-06-03, Rating: 3391, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1981-05-26, Rating: 3390, Black and White: 执白, Result: 胜, Opponent: 武宫正树
Player: 赵治勋, Date: 1981-05-21, Rating: 3390, Black and White: 执白, Result: 胜, Opponent: 加田克司
Player: 赵治勋, Date: 1981-05-14, Rating: 3390, Black and White: 执白, Result: 胜, Opponent: 山部俊郎
Player: 赵治勋, Date: 1981-05-11, Rating: 3389, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 赵治勋, Date: 1981-05-07, Rating: 3389, Black and White: 执黑, Result: 胜, Opponent: 白石裕
Player: 赵治勋, Date: 1981-04-30, Rating: 3389, Black and White: 执黑, Result: 负, Opponent: 桥本昌二
Player: 赵治勋, Date: 1981-04-16, Rating: 3389, Black and White: 执白, Result: 胜, Opponent: 桥本昌二
Player: 赵治勋, Date: 1981-04-09, Rating: 3388, Black and White: 执黑, Result: 胜, Opponent: 久岛国夫
Player: 赵治勋, Date: 1981-03-26, Rating: 3388, Black and White: 执黑, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1981-02-28, Rating: 3386, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 赵治勋, Date: 1981-02-26, Rating: 3386, Black and White: 执黑, Result: 胜, Opponent: 坂田荣男
Player: 赵治勋, Date: 1981-01-29, Rating: 3385, Black and White: 执白, Result: 胜, Opponent: 林海峰
Player: 赵治勋, Date: 1981-01-12, Rating: 3384, Black and White: 执黑, Result: 胜, Opponent: 酒井猛
Player: 赵治勋, Date: 1981-01-02, Rating: 3384, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 大竹英雄, Date: 1981-12-19, Rating: 3341, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 大竹英雄, Date: 1981-12-17, Rating: 3341, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 大竹英雄, Date: 1981-10-15, Rating: 3343, Black and White: 执白, Result: 负, Opponent: 淡路修三
Player: 大竹英雄, Date: 1981-09-20, Rating: 3344, Black and White: 执白, Result: 胜, Opponent: 中村秀仁
Player: 大竹英雄, Date: 1981-08-20, Rating: 3345, Black and White: 执白, Result: 负, Opponent: 加藤正夫
Player: 大竹英雄, Date: 1981-08-13, Rating: 3345, Black and White: 执白, Result: 胜, Opponent: 岛村俊广
