,曹薰铉,赵治勋,小林光一,加藤正夫,大竹英雄,林海峰,武宫正树,淡路修三,聂卫平,徐奉洙,坂田荣男,片冈聪,马晓春,石田章,桥本昌二,山城宏,石田芳夫,高木祥一,钱宇平,杉内雅男,羽根泰正,小林觉,王立诚,东野弘昭,藤泽秀行,本田邦久,王铭琬,江铸久,苑田勇一,岩田达明,刘小光,酒井猛,Others
曹薰铉,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
赵治勋,0,0,0,4,12,6,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,2,0,2,8,0,0,0,0,0,0,0,4
小林光一,0,0,0,2,0,2,2,0,2,0,0,0,2,2,2,0,0,0,0,2,2,2,2,4,0,0,0,2,0,4,2,0,7
加藤正夫,0,8,4,0,8,2,2,0,0,0,2,0,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,4
大竹英雄,0,2,2,2,0,2,2,8,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,2,0,0,5
林海峰,0,10,4,4,0,0,4,0,0,0,4,0,0,2,4,0,0,0,0,0,4,2,0,0,0,0,0,0,4,0,0,0,7
武宫正树,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
淡路修三,0,0,6,2,6,0,0,0,0,0,2,4,0,2,4,0,2,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0,2
聂卫平,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
徐奉洙,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坂田荣男,0,4,4,0,0,2,0,2,0,0,0,2,0,2,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,4
片冈聪,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
马晓春,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
石田章,0,2,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2
桥本昌二,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,4
山城宏,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,3
石田芳夫,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
高木祥一,0,2,0,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钱宇平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
杉内雅男,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
羽根泰正,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,7
小林觉,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3
王立诚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
东野弘昭,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
藤泽秀行,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
本田邦久,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
王铭琬,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
江铸久,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
苑田勇一,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11
岩田达明,0,2,0,0,0,0,2,2,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
刘小光,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
酒井猛,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,1,2,1,2,0,0,0,0,1,0,1,0,0,0,1,2,3,0,0,1,0,1,3,0,2,1,0,1,1,1,0,0,0
