Player: 曹薰铉, Date: 1984-04-19, Rating: 3406, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1984-04-11, Rating: 3406, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1984-01-20, Rating: 3403, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1984-01-12, Rating: 3402, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1984-01-06, Rating: 3402, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 赵治勋, Date: 1984-12-16, Rating: 3385, Black and White: 执白, Result: 负, Opponent: 桥本昌二
Player: 赵治勋, Date: 1984-12-13, Rating: 3385, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 赵治勋, Date: 1984-12-08, Rating: 3385, Black and White: 执黑, Result: 胜, Opponent: 片冈聪
Player: 赵治勋, Date: 1984-11-14, Rating: 3384, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1984-11-07, Rating: 3383, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1984-11-01, Rating: 3383, Black and White: 执黑, Result: 胜, Opponent: 大山国夫
Player: 赵治勋, Date: 1984-10-24, Rating: 3383, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1984-10-17, Rating: 3382, Black and White: 执黑, Result: 胜, Opponent: 大竹英雄
Player: 赵治勋, Date: 1984-10-11, Rating: 3381, Black and White: 执白, Result: 胜, Opponent: 加藤正夫
Player: 赵治勋, Date: 1984-10-08, Rating: 3381, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 赵治勋, Date: 1984-10-03, Rating: 3380, Black and White: 执白, Result: 负, Opponent: 大竹英雄
Player: 赵治勋, Date: 1984-09-26, Rating: 3380, Black and White: 执黑, Result: 负, Opponent: 大竹英雄
Player: 赵治勋, Date: 1984-09-12, Rating: 3378, Black and White: 执白, Result: 负, Opponent: 大竹英雄
