,曹薰铉,小林光一,赵治勋,武宫正树,加藤正夫,林海峰,大竹英雄,聂卫平,马晓春,徐奉洙,石田芳夫,刘昌赫,山城宏,桥本昌二,淡路修三,小林觉,石田章,王立诚,羽根泰正,王铭琬,刘小光,东野弘昭,钱宇平,高木祥一,苑田勇一,杉内雅男,坂田荣男,片冈聪,宫泽吾朗,依田纪基,江铸久,酒井猛,Others
曹薰铉,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
小林光一,0,0,10,4,4,6,8,0,2,0,6,0,4,0,0,0,2,2,0,0,2,2,2,2,0,0,0,2,2,2,2,0,10
赵治勋,0,8,0,10,4,2,4,0,0,0,0,0,4,0,2,2,2,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,3
武宫正树,0,6,8,0,2,8,0,0,0,0,0,0,0,0,2,2,0,2,4,2,0,0,0,2,0,0,0,2,2,0,0,2,5
加藤正夫,0,10,2,2,0,4,0,0,0,0,0,0,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,4
林海峰,0,0,0,4,6,0,2,0,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,2,2,0,0,0,0,4,0,0,4
大竹英雄,0,0,2,0,2,2,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,8
聂卫平,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,5
马晓春,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,14
徐奉洙,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
石田芳夫,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
刘昌赫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山城宏,0,0,0,0,0,2,0,0,0,0,2,0,0,2,4,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,4
桥本昌二,0,0,2,2,0,0,2,0,0,0,4,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
淡路修三,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4
小林觉,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5
石田章,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,3
王立诚,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
羽根泰正,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
王铭琬,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,5
刘小光,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,9
东野弘昭,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
钱宇平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
高木祥一,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
苑田勇一,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
杉内雅男,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
坂田荣男,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
片冈聪,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4
宫泽吾朗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4
依田纪基,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
江铸久,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9
酒井猛,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,2
Others,3,0,0,0,2,2,1,3,6,0,1,0,1,1,1,3,3,1,1,0,6,0,4,0,2,1,1,3,0,1,4,1,0
