,曹薰铉,赵治勋,加藤正夫,聂卫平,小林光一,武宫正树,林海峰,刘昌赫,石田芳夫,大竹英雄,马晓春,徐奉洙,王立诚,依田纪基,小林觉,山城宏,淡路修三,苑田勇一,宫泽吾朗,桥本昌二,钱宇平,刘小光,石田章,藤泽秀行,羽根泰正,东野弘昭,王铭琬,片冈聪,曹大元,高木祥一,杉内雅男,本田邦久,Others
曹薰铉,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
赵治勋,0,0,8,0,8,6,4,0,2,2,0,0,2,0,0,6,0,2,0,2,0,0,2,2,0,0,2,0,0,2,0,0,8
加藤正夫,0,14,0,0,8,2,8,0,0,4,2,0,2,2,0,4,2,0,0,0,0,0,2,2,0,0,2,0,0,2,0,2,6
聂卫平,0,0,4,0,0,2,0,0,0,2,2,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,0,3
小林光一,0,10,4,0,0,8,4,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5
武宫正树,0,0,0,0,4,0,2,0,0,2,0,0,0,0,0,10,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5
林海峰,0,4,0,0,4,0,0,0,4,2,0,0,0,2,0,6,2,2,0,0,0,0,2,6,0,0,0,0,0,2,0,0,4
刘昌赫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
石田芳夫,0,0,0,2,2,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,3
大竹英雄,0,8,2,0,2,0,6,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
马晓春,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
徐奉洙,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
王立诚,0,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4
依田纪基,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11
小林觉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
山城宏,0,2,4,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,11
淡路修三,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
苑田勇一,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,4
宫泽吾朗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
桥本昌二,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
钱宇平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
刘小光,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,6
石田章,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
藤泽秀行,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
羽根泰正,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
东野弘昭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2
王铭琬,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
片冈聪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
曹大元,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
高木祥一,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,3
杉内雅男,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
本田邦久,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Others,2,0,1,0,3,2,0,0,1,3,1,6,3,2,0,2,1,1,0,1,1,2,1,3,1,1,0,2,4,1,0,1,0
