,曹薰铉,聂卫平,小林光一,赵治勋,加藤正夫,林海峰,武宫正树,大竹英雄,刘昌赫,石田芳夫,马晓春,依田纪基,徐奉洙,王立诚,小林觉,钱宇平,淡路修三,刘小光,藤泽秀行,桥本昌二,苑田勇一,山城宏,宫泽吾朗,羽根泰正,东野弘昭,俞斌,王铭琬,片冈聪,小松英树,石田章,高木祥一,张文东,Others
曹薰铉,0,0,2,0,0,4,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27
聂卫平,0,0,2,2,4,0,0,0,0,0,0,2,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,6
小林光一,2,0,0,2,24,6,2,2,0,2,0,0,0,2,0,0,2,4,0,0,0,2,0,0,0,0,0,2,2,4,0,0,11
赵治勋,0,0,0,0,10,2,4,2,0,0,0,0,0,0,0,0,0,4,0,0,6,2,2,0,0,2,0,2,0,2,2,0,9
加藤正夫,0,0,8,6,0,4,10,0,0,0,2,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,5
林海峰,0,2,0,2,2,0,2,2,0,4,0,0,2,0,0,0,2,0,0,4,0,0,0,4,0,0,2,2,0,2,2,0,8
武宫正树,0,0,8,4,0,2,0,8,0,2,2,4,0,4,2,0,4,0,2,2,2,2,0,0,0,0,2,0,0,2,2,0,9
大竹英雄,0,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,4,0,1
刘昌赫,6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
石田芳夫,0,0,0,2,0,0,4,0,0,0,0,0,0,4,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,2,2,0,7
马晓春,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7
依田纪基,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13
徐奉洙,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
王立诚,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3
小林觉,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3
钱宇平,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
淡路修三,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,2,2,0,4
刘小光,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9
藤泽秀行,0,0,2,2,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
桥本昌二,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2
苑田勇一,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
山城宏,0,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
宫泽吾朗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
羽根泰正,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1
东野弘昭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
俞斌,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
王铭琬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
片冈聪,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
小松英树,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
石田章,0,0,0,4,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高木祥一,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
张文东,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Others,1,1,1,0,0,0,3,1,0,1,2,3,7,1,1,0,2,4,0,1,2,5,0,3,1,5,1,0,1,3,1,0,0
