,曹薰铉,聂卫平,小林光一,赵治勋,李昌镐,刘昌赫,林海峰,武宫正树,大竹英雄,小林觉,石田芳夫,加藤正夫,徐奉洙,王立诚,马晓春,钱宇平,依田纪基,淡路修三,片冈聪,羽根泰正,藤泽秀行,桥本昌二,刘小光,小松英树,俞斌,宫泽吾朗,王铭琬,苑田勇一,山城宏,东野弘昭,张文东,今村俊也,Others
曹薰铉,0,6,2,0,26,6,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
聂卫平,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2
小林光一,0,0,0,2,0,0,2,8,2,0,0,0,0,0,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3
赵治勋,0,0,0,0,0,0,12,10,4,0,4,4,0,2,0,0,0,0,2,4,2,0,4,0,0,0,2,0,2,0,0,0,4
李昌镐,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
刘昌赫,4,0,0,0,4,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
林海峰,0,0,4,6,0,0,0,2,2,0,4,4,2,0,2,0,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,2,12
武宫正树,2,0,2,2,0,0,6,0,8,4,2,4,0,0,0,2,2,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,9
大竹英雄,0,0,2,6,0,2,2,2,0,0,4,6,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,4,0,0,0,8
小林觉,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4
石田芳夫,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,2,0,0,0,2,7
加藤正夫,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,8,0,0,0,0,0,0,0,0,2,0,0,0,3
徐奉洙,18,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26
王立诚,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
马晓春,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0
钱宇平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5
依田纪基,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,0,2,14
淡路修三,0,0,4,2,0,0,4,0,0,0,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,5
片冈聪,0,0,0,0,0,0,2,2,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2
羽根泰正,0,0,2,2,0,0,2,4,0,2,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,6
藤泽秀行,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,0,4,0,2,0,0,2,0,0,0,0,2,6
桥本昌二,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,2
刘小光,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
小松英树,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11
俞斌,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7
宫泽吾朗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
王铭琬,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
苑田勇一,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
山城宏,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,5
东野弘昭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
张文东,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,4
今村俊也,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,8
Others,1,0,1,2,6,2,1,3,1,1,3,5,12,0,1,5,6,1,1,2,4,1,6,1,1,1,2,1,5,1,4,1,0
