Player: 曹薰铉, Date: 1990-12-24, Rating: 3430, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1990-12-22, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1990-12-21, Rating: 3431, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1990-12-19, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1990-12-17, Rating: 3431, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1990-12-14, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1990-12-12, Rating: 3431, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1990-12-06, Rating: 3431, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 曹薰铉, Date: 1990-12-03, Rating: 3431, Black and White: 执白, Result: 胜, Opponent: 大竹英雄
Player: 曹薰铉, Date: 1990-11-29, Rating: 3431, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1990-11-16, Rating: 3431, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1990-11-13, Rating: 3432, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 曹薰铉, Date: 1990-10-23, Rating: 3432, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1990-10-10, Rating: 3433, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1990-10-06, Rating: 3433, Black and White: 执黑, Result: 胜, Opponent: 姜勋(大)
Player: 曹薰铉, Date: 1990-09-29, Rating: 3434, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1990-09-27, Rating: 3434, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1990-09-23, Rating: 3434, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1990-09-16, Rating: 3435, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 曹薰铉, Date: 1990-09-11, Rating: 3435, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1990-09-07, Rating: 3436, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 曹薰铉, Date: 1990-09-04, Rating: 3436, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 曹薰铉, Date: 1990-08-27, Rating: 3436, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
Player: 曹薰铉, Date: 1990-08-27, Rating: 3436, Black and White: 执黑, Result: 胜, Opponent: 徐能旭
