Player: 李昌镐, Date: 1991-12-19, Rating: 3454, Black and White: 执黑, Result: 胜, Opponent: 林宣根
Player: 李昌镐, Date: 1991-12-16, Rating: 3454, Black and White: 执白, Result: 胜, Opponent: 姜勋(大)
Player: 李昌镐, Date: 1991-11-20, Rating: 3452, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1991-11-08, Rating: 3451, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-11-06, Rating: 3451, Black and White: 执白, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1991-11-04, Rating: 3451, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-10-26, Rating: 3450, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-10-16, Rating: 3450, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-10-14, Rating: 3450, Black and White: 执黑, Result: 胜, Opponent: 洪太善
Player: 李昌镐, Date: 1991-10-07, Rating: 3450, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-10-01, Rating: 3449, Black and White: 执黑, Result: 负, Opponent: 丁铉山
Player: 李昌镐, Date: 1991-09-28, Rating: 3449, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-09-20, Rating: 3449, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 李昌镐, Date: 1991-09-18, Rating: 3449, Black and White: 执白, Result: 负, Opponent: 林海峰
Player: 李昌镐, Date: 1991-09-13, Rating: 3449, Black and White: 执白, Result: 胜, Opponent: 河灿锡
Player: 李昌镐, Date: 1991-08-30, Rating: 3449, Black and White: 执黑, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1991-08-20, Rating: 3449, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-08-16, Rating: 3449, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1991-08-12, Rating: 3449, Black and White: 执白, Result: 负, Opponent: 金东烨
Player: 李昌镐, Date: 1991-08-05, Rating: 3450, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-08-01, Rating: 3450, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-07-23, Rating: 3450, Black and White: 执白, Result: 负, Opponent: 张秀英
Player: 李昌镐, Date: 1991-07-16, Rating: 3450, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1991-07-11, Rating: 3450, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-07-10, Rating: 3450, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1991-07-08, Rating: 3450, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1991-06-30, Rating: 3451, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1991-06-22, Rating: 3451, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1991-06-19, Rating: 3451, Black and White: 执白, Result: 胜, Opponent: 白成豪
Player: 李昌镐, Date: 1991-06-17, Rating: 3451, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-06-15, Rating: 3451, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-06-13, Rating: 3451, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-06-10, Rating: 3451, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1991-06-07, Rating: 3451, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1991-06-03, Rating: 3451, Black and White: 执白, Result: 胜, Opponent: 尹奇铉
Player: 李昌镐, Date: 1991-05-27, Rating: 3450, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1991-05-24, Rating: 3450, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-05-13, Rating: 3449, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1991-05-10, Rating: 3449, Black and White: 执黑, Result: 胜, Opponent: 金秀壮
Player: 李昌镐, Date: 1991-05-06, Rating: 3449, Black and White: 执黑, Result: 胜, Opponent: 林宣根
Player: 李昌镐, Date: 1991-05-02, Rating: 3449, Black and White: 执白, Result: 胜, Opponent: 李柱龙
Player: 李昌镐, Date: 1991-04-26, Rating: 3448, Black and White: 执黑, Result: 胜, Opponent: 崔圭丙
Player: 李昌镐, Date: 1991-04-21, Rating: 3448, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1991-04-20, Rating: 3448, Black and White: 执黑, Result: 胜, Opponent: 吴淞笙
Player: 李昌镐, Date: 1991-04-17, Rating: 3447, Black and White: 执白, Result: 负, Opponent: 曹薰铉
