,李昌镐,曹薰铉,小林光一,赵治勋,马晓春,小林觉,刘昌赫,王立诚,林海峰,加藤正夫,聂卫平,大竹英雄,徐奉洙,依田纪基,山城宏,武宫正树,钱宇平,片冈聪,刘小光,石田芳夫,淡路修三,俞斌,张文东,曹大元,周鹤洋,东野弘昭,羽根泰正,小松英树,本田邦久,今村俊也,刘钧,柳时熏,Others
李昌镐,0,12,0,2,0,0,22,0,4,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39
曹薰铉,16,0,0,2,2,0,12,2,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21
小林光一,0,0,0,8,2,8,0,0,2,2,0,8,0,4,10,2,0,4,0,2,0,0,0,0,0,0,0,2,2,2,0,0,7
赵治勋,0,0,8,0,0,0,2,4,4,2,0,2,2,4,4,2,0,2,0,2,2,2,0,0,0,0,0,2,0,2,0,2,13
马晓春,0,0,4,2,0,0,2,0,0,0,10,0,0,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,7
小林觉,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
刘昌赫,8,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11
王立诚,0,0,0,2,0,0,0,0,2,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6
林海峰,4,0,2,0,2,0,0,0,0,2,0,4,2,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
加藤正夫,0,0,2,4,0,0,0,2,0,0,2,2,0,0,2,2,0,2,0,0,2,0,0,0,0,4,0,2,0,0,0,0,5
聂卫平,0,0,0,0,6,2,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1
大竹英雄,0,0,6,6,2,0,0,4,4,0,2,0,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,2,2,2,0,0,11
徐奉洙,8,12,0,4,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,22
依田纪基,0,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,2,2,2,0,0,9
山城宏,0,0,10,0,0,0,0,4,2,0,0,4,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,8
武宫正树,0,2,6,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,6
钱宇平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
片冈聪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,6
刘小光,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
石田芳夫,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
淡路修三,0,2,0,2,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4
俞斌,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
张文东,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,5
曹大元,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
周鹤洋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
东野弘昭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
羽根泰正,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
小松英树,0,0,0,0,0,0,0,0,2,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13
本田邦久,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,6
今村俊也,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
刘钧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柳时熏,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Others,5,3,4,2,2,0,5,1,3,1,4,3,8,0,1,2,0,1,1,3,1,2,4,3,1,0,0,3,1,1,0,2,0
