Player: 李昌镐, Date: 1993-12-30, Rating: 3530, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-12-27, Rating: 3530, Black and White: 执白, Result: 胜, Opponent: 徐能旭
Player: 李昌镐, Date: 1993-12-24, Rating: 3529, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-12-22, Rating: 3529, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 李昌镐, Date: 1993-12-15, Rating: 3529, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1993-12-10, Rating: 3529, Black and White: 执黑, Result: 胜, Opponent: 丁铉山
Player: 李昌镐, Date: 1993-12-08, Rating: 3529, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-12-07, Rating: 3529, Black and White: 执黑, Result: 胜, Opponent: 尹盛铉
Player: 李昌镐, Date: 1993-12-06, Rating: 3528, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1993-11-30, Rating: 3528, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-11-25, Rating: 3528, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1993-11-22, Rating: 3528, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-11-18, Rating: 3528, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 李昌镐, Date: 1993-11-12, Rating: 3528, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1993-11-08, Rating: 3527, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-11-05, Rating: 3527, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-11-03, Rating: 3527, Black and White: 执白, Result: 胜, Opponent: 崔圭丙
Player: 李昌镐, Date: 1993-11-01, Rating: 3527, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1993-11-01, Rating: 3527, Black and White: 执白, Result: 胜, Opponent: 白成豪
Player: 李昌镐, Date: 1993-10-30, Rating: 3527, Black and White: 执黑, Result: 负, Opponent: 徐奉洙
Player: 李昌镐, Date: 1993-10-28, Rating: 3527, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1993-10-24, Rating: 3527, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1993-10-20, Rating: 3527, Black and White: 执白, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1993-10-14, Rating: 3527, Black and White: 执白, Result: 胜, Opponent: 朴振悦
Player: 李昌镐, Date: 1993-10-11, Rating: 3527, Black and White: 执黑, Result: 胜, Opponent: 金熙中
Player: 李昌镐, Date: 1993-09-27, Rating: 3526, Black and White: 执黑, Result: 胜, Opponent: 姜勋(大)
