,李昌镐,曹薰铉,赵治勋,马晓春,刘昌赫,小林觉,加藤正夫,小林光一,依田纪基,王立诚,大竹英雄,徐奉洙,林海峰,聂卫平,刘小光,钱宇平,山城宏,片冈聪,武宫正树,曹大元,芮乃伟,俞斌,张文东,东野弘昭,本田邦久,淡路修三,周鹤洋,柳时熏,今村俊也,高尾绅路,石田芳夫,小松英树,Others
李昌镐,0,36,6,0,18,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,35
曹薰铉,18,0,0,0,10,0,2,2,0,0,0,10,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29
赵治勋,2,0,0,0,0,4,10,0,2,2,4,0,2,6,0,0,8,2,2,0,0,2,0,0,0,2,0,2,2,0,2,0,6
马晓春,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,6,2,2,0,12,0,0,2,0,0,0,0,0,0,0,0,0,9
刘昌赫,4,16,0,0,0,0,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,23
小林觉,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9
加藤正夫,0,0,6,0,0,0,0,6,2,0,0,0,2,0,2,0,6,6,4,0,0,0,0,2,0,4,0,0,2,0,2,0,13
小林光一,0,0,0,4,0,0,8,0,0,2,10,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
依田纪基,4,0,4,0,0,2,6,2,0,0,4,4,2,4,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,5
王立诚,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,12
大竹英雄,0,0,0,0,0,0,2,4,2,2,0,4,4,0,0,0,0,2,8,0,0,0,0,0,0,2,0,0,0,0,0,2,7
徐奉洙,4,4,0,4,2,0,0,0,0,0,6,0,2,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,20
林海峰,2,0,2,0,0,4,4,0,2,0,0,0,0,0,4,0,2,10,2,0,0,0,0,0,0,2,0,2,0,0,0,2,3
聂卫平,0,0,0,4,0,0,2,0,0,0,0,0,0,0,6,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,8
刘小光,0,0,0,2,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,2,0,2,4,0,0,0,2,0,0,0,0,0,11
钱宇平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
山城宏,0,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,14
片冈聪,0,0,0,0,0,2,0,2,4,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,2,0,0,2,14
武宫正树,0,0,2,0,0,0,2,0,4,2,4,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5
曹大元,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,2,0,0,2,2,0,0,0,0,0,14
芮乃伟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
俞斌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14
张文东,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,14
东野弘昭,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3
本田邦久,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
淡路修三,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
周鹤洋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
柳时熏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3
今村俊也,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
石田芳夫,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
小松英树,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,8
Others,1,4,1,1,5,0,2,1,2,2,4,10,4,2,0,4,2,1,4,2,0,4,6,1,1,0,3,3,0,1,0,2,0
