,李昌镐,曹薰铉,马晓春,刘昌赫,小林觉,赵治勋,小林光一,王立诚,加藤正夫,依田纪基,聂卫平,刘小光,常昊,曹大元,林海峰,柳时熏,芮乃伟,大竹英雄,今村俊也,徐奉洙,金承俊,片冈聪,俞斌,武宫正树,周鹤洋,山城宏,崔明勋,本田邦久,张文东,高尾绅路,山田规三生,结城聪,Others
李昌镐,0,48,6,24,2,0,0,0,0,0,0,4,0,2,0,4,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,10
曹薰铉,20,0,2,10,0,0,0,0,0,0,4,0,2,0,2,0,0,2,0,12,0,2,2,0,0,0,4,0,0,0,0,0,37
马晓春,0,6,0,0,2,2,2,0,2,0,16,6,2,0,2,6,2,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,5
刘昌赫,6,10,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,2,0,2,0,0,0,20
小林觉,0,2,0,0,0,12,0,0,2,0,0,0,2,0,8,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,8
赵治勋,0,0,0,0,4,0,2,0,16,2,2,0,0,2,4,0,0,2,0,0,0,2,2,2,0,2,0,4,0,0,0,2,9
小林光一,2,0,0,2,0,8,0,0,0,0,0,0,0,2,4,4,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,10
王立诚,0,0,0,0,0,12,6,0,6,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,9
加藤正夫,0,0,0,0,2,4,2,2,0,0,0,0,0,0,4,2,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,8,6
依田纪基,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
聂卫平,2,0,6,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,8
刘小光,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,6,0,0,0,2,0,2,0,0,0,16
常昊,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,13
曹大元,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,9
林海峰,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,6
柳时熏,0,0,0,0,0,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
芮乃伟,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
大竹英雄,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3
今村俊也,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
徐奉洙,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16
金承俊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
片冈聪,0,0,0,2,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,7
俞斌,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14
武宫正树,0,0,0,0,0,2,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,5
周鹤洋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
山城宏,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
崔明勋,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
本田邦久,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
张文东,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山田规三生,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
结城聪,0,0,0,0,0,0,2,2,2,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
Others,0,1,3,6,1,1,1,3,3,2,5,0,5,2,0,4,3,3,1,5,0,2,4,3,2,1,5,2,3,0,5,2,0
