Player: 李昌镐, Date: 1996-12-27, Rating: 3533, Black and White: 执黑, Result: 负, Opponent: 崔明勋
Player: 李昌镐, Date: 1996-12-21, Rating: 3533, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1996-12-18, Rating: 3533, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 1996-12-16, Rating: 3533, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1996-12-13, Rating: 3533, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1996-12-10, Rating: 3533, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1996-12-05, Rating: 3533, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1996-12-03, Rating: 3533, Black and White: 执白, Result: 负, Opponent: 梁宰豪
Player: 李昌镐, Date: 1996-11-30, Rating: 3533, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1996-11-27, Rating: 3533, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1996-11-21, Rating: 3533, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1996-11-18, Rating: 3533, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1996-11-16, Rating: 3533, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1996-11-13, Rating: 3533, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1996-11-09, Rating: 3533, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1996-11-06, Rating: 3533, Black and White: 执白, Result: 负, Opponent: 梁宰豪
Player: 李昌镐, Date: 1996-11-02, Rating: 3534, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1996-10-30, Rating: 3534, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1996-10-28, Rating: 3534, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李昌镐, Date: 1996-10-25, Rating: 3534, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1996-10-21, Rating: 3535, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李昌镐, Date: 1996-10-18, Rating: 3535, Black and White: 执黑, Result: 胜, Opponent: 武宫正树
Player: 李昌镐, Date: 1996-10-11, Rating: 3535, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 李昌镐, Date: 1996-09-30, Rating: 3536, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1996-09-24, Rating: 3537, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 李昌镐, Date: 1996-09-22, Rating: 3537, Black and White: 执黑, Result: 胜, Opponent: 片冈聪
Player: 李昌镐, Date: 1996-09-04, Rating: 3538, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 1996-08-23, Rating: 3538, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1996-08-20, Rating: 3538, Black and White: 执黑, Result: 胜, Opponent: 金承俊
Player: 李昌镐, Date: 1996-08-19, Rating: 3539, Black and White: 执白, Result: 负, Opponent: 崔明勋
Player: 李昌镐, Date: 1996-08-10, Rating: 3539, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1996-08-06, Rating: 3539, Black and White: 执白, Result: 负, Opponent: 崔明勋
Player: 李昌镐, Date: 1996-08-03, Rating: 3540, Black and White: 执黑, Result: 胜, Opponent: 马晓春
Player: 李昌镐, Date: 1996-08-02, Rating: 3540, Black and White: 执白, Result: 胜, Opponent: 安官旭
Player: 李昌镐, Date: 1996-07-12, Rating: 3541, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1996-07-09, Rating: 3541, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 1996-07-06, Rating: 3542, Black and White: 执黑, Result: 胜, Opponent: 小林光一
Player: 李昌镐, Date: 1996-07-03, Rating: 3542, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1996-06-27, Rating: 3542, Black and White: 执黑, Result: 胜, Opponent: 聂卫平
Player: 李昌镐, Date: 1996-06-25, Rating: 3542, Black and White: 执白, Result: 胜, Opponent: 周俊勋
Player: 李昌镐, Date: 1996-06-21, Rating: 3542, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1996-06-14, Rating: 3543, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
