,李昌镐,曹薰铉,马晓春,刘昌赫,赵治勋,小林觉,小林光一,王立诚,常昊,加藤正夫,依田纪基,刘小光,徐奉洙,聂卫平,崔明勋,周鹤洋,柳时熏,俞斌,大竹英雄,武宫正树,金承俊,片冈聪,今村俊也,曹大元,芮乃伟,林海峰,结城聪,孔杰,高尾绅路,本田邦久,山田规三生,邵炜刚,Others
李昌镐,0,36,14,12,4,4,2,0,0,0,0,0,2,6,10,0,0,4,0,6,2,2,0,2,2,0,0,0,0,0,0,0,8
曹薰铉,26,0,4,2,2,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16
马晓春,4,6,0,0,0,2,0,0,0,0,0,16,0,0,0,0,4,2,2,0,2,0,0,8,0,0,0,0,0,0,0,0,12
刘昌赫,12,6,0,0,2,0,0,2,0,0,10,4,4,0,2,0,0,2,2,0,0,0,0,4,0,6,0,0,0,0,0,0,7
赵治勋,0,0,2,0,0,12,2,4,0,2,6,0,0,0,0,0,12,0,2,10,0,4,0,0,0,4,4,0,0,0,0,0,15
小林觉,0,0,0,0,8,0,2,0,0,0,2,0,0,0,0,0,8,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,11
小林光一,0,2,0,0,4,2,0,6,2,0,4,2,0,2,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,8
王立诚,0,0,0,0,2,2,2,0,0,4,4,0,0,0,0,0,4,0,2,0,0,6,0,0,0,4,0,0,0,0,0,0,5
常昊,0,0,0,0,0,2,0,2,0,0,2,0,0,4,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,20
加藤正夫,0,0,0,0,2,2,4,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,9
依田纪基,0,4,0,6,8,6,2,10,0,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,8
刘小光,0,0,6,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14
徐奉洙,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6
聂卫平,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
崔明勋,6,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7
周鹤洋,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
柳时熏,0,0,0,0,4,0,2,8,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,4,2,0,11
俞斌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
大竹英雄,0,0,0,0,4,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,5
武宫正树,0,0,4,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6
金承俊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2
片冈聪,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,11
今村俊也,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
曹大元,0,0,0,2,0,0,0,0,2,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
芮乃伟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
林海峰,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,6,0,4,2,0,2,0,2,0,0,0,0,0,0,0,0,5
结城聪,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,5
孔杰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
本田邦久,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,4,0,0,0,0,0,1
山田规三生,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
邵炜刚,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Others,2,2,1,5,1,3,3,3,6,5,5,7,2,3,1,5,4,4,0,2,1,2,0,5,2,4,5,1,2,0,5,5,0
