,李昌镐,曹薰铉,刘昌赫,马晓春,赵治勋,小林光一,常昊,依田纪基,王立诚,加藤正夫,小林觉,徐奉洙,周鹤洋,俞斌,崔明勋,赵汉乘,柳时熏,金承俊,邵炜刚,邱峻,聂卫平,芮乃伟,刘小光,邹俊杰,武宫正树,结城聪,王磊,高尾绅路,今村俊也,大竹英雄,孔杰,山田规三生,Others
李昌镐,0,30,6,8,0,0,4,0,0,2,6,6,0,2,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,5
曹薰铉,16,0,6,0,2,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
刘昌赫,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
马晓春,0,0,2,0,0,2,2,0,0,0,0,2,2,2,0,0,0,0,2,0,2,0,2,0,0,0,4,0,0,0,0,0,15
赵治勋,0,0,2,0,0,8,2,0,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2
小林光一,0,0,0,0,6,0,2,0,6,6,0,2,2,0,2,0,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,11
常昊,2,2,0,10,0,0,0,0,0,0,0,0,4,6,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,22
依田纪基,0,0,0,0,0,2,0,0,0,8,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10
王立诚,0,2,2,2,4,4,0,4,0,2,0,0,0,0,0,0,2,0,0,0,2,2,2,0,2,2,0,0,0,0,0,0,14
加藤正夫,0,0,0,0,2,4,0,8,6,0,2,2,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,10
小林觉,2,0,0,0,6,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11
徐奉洙,2,4,0,2,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
周鹤洋,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,13
俞斌,2,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14
崔明勋,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
赵汉乘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柳时熏,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,12
金承俊,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
邵炜刚,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
邱峻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
聂卫平,0,4,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
芮乃伟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
刘小光,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
邹俊杰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
武宫正树,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9
结城聪,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8
王磊,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
今村俊也,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
大竹英雄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
孔杰,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山田规三生,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,9
Others,0,0,0,3,3,3,11,4,7,3,4,1,7,4,1,0,7,0,2,3,3,1,4,0,4,1,6,2,0,3,0,7,0
