Player: 李昌镐, Date: 1998-12-28, Rating: 3517, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 李昌镐, Date: 1998-12-21, Rating: 3517, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1998-12-11, Rating: 3517, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1998-12-05, Rating: 3517, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1998-11-26, Rating: 3517, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 李昌镐, Date: 1998-11-23, Rating: 3517, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1998-11-17, Rating: 3517, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-11-11, Rating: 3518, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1998-11-02, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 李昌镐, Date: 1998-10-26, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 周俊勋
Player: 李昌镐, Date: 1998-10-23, Rating: 3519, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1998-10-21, Rating: 3519, Black and White: 执黑, Result: 负, Opponent: 崔明勋
Player: 李昌镐, Date: 1998-10-17, Rating: 3519, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-10-08, Rating: 3520, Black and White: 执黑, Result: 胜, Opponent: 小林觉
Player: 李昌镐, Date: 1998-09-27, Rating: 3521, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1998-09-22, Rating: 3522, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-09-16, Rating: 3522, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-09-12, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 崔明勋
Player: 李昌镐, Date: 1998-09-04, Rating: 3523, Black and White: 执黑, Result: 胜, Opponent: 工藤纪夫
Player: 李昌镐, Date: 1998-09-02, Rating: 3523, Black and White: 执白, Result: 胜, Opponent: 赵善津
Player: 李昌镐, Date: 1998-08-27, Rating: 3523, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 1998-08-25, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 1998-08-22, Rating: 3524, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-08-12, Rating: 3524, Black and White: 执白, Result: 负, Opponent: 依田纪基
Player: 李昌镐, Date: 1998-08-07, Rating: 3524, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-08-05, Rating: 3525, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-08-01, Rating: 3525, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 1998-07-26, Rating: 3525, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-07-10, Rating: 3526, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-07-04, Rating: 3526, Black and White: 执白, Result: 胜, Opponent: 彦坂直人
Player: 李昌镐, Date: 1998-07-01, Rating: 3527, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-06-18, Rating: 3527, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李昌镐, Date: 1998-06-05, Rating: 3527, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 李昌镐, Date: 1998-05-21, Rating: 3527, Black and White: 执黑, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-05-20, Rating: 3528, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-05-13, Rating: 3528, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1998-05-11, Rating: 3528, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1998-04-22, Rating: 3529, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1998-04-20, Rating: 3529, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 1998-04-13, Rating: 3529, Black and White: 执黑, Result: 胜, Opponent: 石田芳夫
Player: 李昌镐, Date: 1998-04-11, Rating: 3529, Black and White: 执白, Result: 胜, Opponent: 卡塔林
Player: 李昌镐, Date: 1998-03-29, Rating: 3530, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 李昌镐, Date: 1998-02-09, Rating: 3532, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-02-05, Rating: 3532, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李昌镐, Date: 1998-02-02, Rating: 3532, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-01-23, Rating: 3532, Black and White: 执白, Result: 胜, Opponent: 片冈聪
Player: 李昌镐, Date: 1998-01-19, Rating: 3532, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-01-16, Rating: 3532, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 1998-01-09, Rating: 3532, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 刘昌赫, Date: 1998-12-28, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 结城聪
Player: 刘昌赫, Date: 1998-12-21, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-12-11, Rating: 3431, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-12-05, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-11-23, Rating: 3431, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-11-11, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-10-15, Rating: 3431, Black and White: 执黑, Result: 胜, Opponent: 赵汉乘
Player: 刘昌赫, Date: 1998-09-30, Rating: 3430, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 刘昌赫, Date: 1998-09-14, Rating: 3430, Black and White: 执黑, Result: 胜, Opponent: 李相勋(大)
Player: 刘昌赫, Date: 1998-09-02, Rating: 3429, Black and White: 执白, Result: 负, Opponent: 赵治勋
Player: 刘昌赫, Date: 1998-08-21, Rating: 3429, Black and White: 执黑, Result: 胜, Opponent: 徐武祥
Player: 刘昌赫, Date: 1998-08-01, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 彦坂直人
Player: 刘昌赫, Date: 1998-07-20, Rating: 3428, Black and White: 执白, Result: 胜, Opponent: 崔明勋
Player: 刘昌赫, Date: 1998-07-04, Rating: 3427, Black and White: 执白, Result: 负, Opponent: 常昊
Player: 刘昌赫, Date: 1998-06-18, Rating: 3427, Black and White: 执白, Result: 负, Opponent: 邵炜刚
Player: 刘昌赫, Date: 1998-06-05, Rating: 3427, Black and White: 执白, Result: 胜, Opponent: 马晓春
Player: 刘昌赫, Date: 1998-05-13, Rating: 3426, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-05-11, Rating: 3426, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-04-22, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-04-20, Rating: 3426, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 刘昌赫, Date: 1998-04-13, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 刘昌赫, Date: 1998-04-11, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 阿基鲁尔
Player: 刘昌赫, Date: 1998-03-29, Rating: 3426, Black and White: 执黑, Result: 胜, Opponent: 柳时熏
Player: 刘昌赫, Date: 1998-03-27, Rating: 3425, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 刘昌赫, Date: 1998-03-22, Rating: 3425, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 刘昌赫, Date: 1998-03-20, Rating: 3425, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 刘昌赫, Date: 1998-03-18, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 刘昌赫, Date: 1998-02-26, Rating: 3425, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 刘昌赫, Date: 1998-02-24, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 王立诚
Player: 刘昌赫, Date: 1998-02-05, Rating: 3425, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
