,李昌镐,刘昌赫,曹薰铉,马晓春,常昊,赵治勋,小林光一,依田纪基,李世石,王立诚,周鹤洋,俞斌,小林觉,加藤正夫,邵炜刚,徐奉洙,芮乃伟,崔明勋,赵汉乘,金承俊,刘小光,罗洗河,古力,邱峻,孔杰,王磊,聂卫平,高尾绅路,林海峰,彦坂直人,柳时熏,邹俊杰,Others
李昌镐,0,10,20,0,8,2,0,0,0,0,0,6,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
刘昌赫,10,0,0,2,2,2,0,0,0,4,2,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,2,0,4
曹薰铉,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9
马晓春,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,6,0,0,0,0,0,2,0,0,0,4,0,5
常昊,0,2,0,0,0,0,2,0,0,2,2,2,0,2,2,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,10
赵治勋,0,2,0,0,0,0,0,8,0,16,2,0,6,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,10
小林光一,0,0,0,0,0,2,0,4,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,12
依田纪基,2,0,0,4,4,6,2,0,0,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,14
李世石,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
王立诚,0,6,0,0,0,8,2,2,0,0,0,0,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,2,0,18
周鹤洋,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,0,9
俞斌,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12
小林觉,0,0,0,0,2,2,2,2,0,4,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,10
加藤正夫,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,9
邵炜刚,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8
徐奉洙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
芮乃伟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
崔明勋,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
赵汉乘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
金承俊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
刘小光,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
罗洗河,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9
古力,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
邱峻,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5
孔杰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
王磊,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
聂卫平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6
高尾绅路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
林海峰,0,0,2,0,0,0,0,4,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10
彦坂直人,0,0,2,0,0,2,0,0,0,0,0,0,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7
柳时熏,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,15
邹俊杰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,6
Others,0,0,3,3,1,5,9,6,0,5,2,3,3,6,2,2,0,1,1,1,0,3,1,1,0,3,1,4,3,2,6,3,0
