,李昌镐,刘昌赫,曹薰铉,马晓春,常昊,李世石,小林光一,周鹤洋,谢赫,依田纪基,赵治勋,王立诚,俞斌,邵炜刚,小林觉,加藤正夫,赵汉乘,崔明勋,芮乃伟,罗洗河,刘小光,古力,柳时熏,高尾绅路,徐奉洙,山下敬吾,王磊,孔杰,金承俊,邹俊杰,邱峻,刘世振,Others
李昌镐,0,6,2,14,6,0,0,0,0,2,0,2,2,2,0,2,0,8,0,0,0,0,0,0,6,0,0,0,2,0,0,0,11
刘昌赫,4,0,6,2,2,2,0,4,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,2,0,0,0,7
曹薰铉,4,2,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,0,0,10
马晓春,4,0,0,0,14,0,0,6,0,0,0,0,6,4,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,7
常昊,0,2,2,10,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,4,8,0,0,0,0,0,4,0,0,0,2,0,17
李世石,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3
小林光一,0,0,0,0,2,0,0,0,0,10,6,4,0,0,4,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18
周鹤洋,0,0,0,0,2,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,0,4,0,0,0,2,2,0,2,0,2,0,8
谢赫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
依田纪基,2,0,0,0,2,0,6,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,12
赵治勋,0,0,0,0,0,0,8,0,0,8,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,17
王立诚,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13
俞斌,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,8
邵炜刚,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,12
小林觉,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12
加藤正夫,2,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
赵汉乘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
崔明勋,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
芮乃伟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
罗洗河,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,11
刘小光,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,2,0,0,9
古力,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
柳时熏,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
高尾绅路,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,19
徐奉洙,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6
山下敬吾,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
王磊,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,12
孔杰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
金承俊,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5
邹俊杰,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
邱峻,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,2,11
刘世振,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,3
Others,1,2,1,1,4,1,3,0,0,6,6,7,2,4,8,4,2,1,0,6,3,5,7,4,3,5,6,6,1,2,9,1,0
