Rank,Player,Profile URL
1,李昌镐,https://www.goratings.org/zh/../../zh/players/18.html
2,曹薰铉,https://www.goratings.org/zh/../../zh/players/149.html
3,李世石,https://www.goratings.org/zh/../../zh/players/5.html
4,刘昌赫,https://www.goratings.org/zh/../../zh/players/30.html
5,常昊,https://www.goratings.org/zh/../../zh/players/155.html
6,古力,https://www.goratings.org/zh/../../zh/players/179.html
7,朴永训,https://www.goratings.org/zh/../../zh/players/125.html
8,谢赫,https://www.goratings.org/zh/../../zh/players/53.html
9,周鹤洋,https://www.goratings.org/zh/../../zh/players/135.html
10,宋泰坤,https://www.goratings.org/zh/../../zh/players/218.html
11,依田纪基,https://www.goratings.org/zh/../../zh/players/90.html
12,睦镇硕,https://www.goratings.org/zh/../../zh/players/121.html
13,王磊,https://www.goratings.org/zh/../../zh/players/69.html
14,孔杰,https://www.goratings.org/zh/../../zh/players/208.html
15,俞斌,https://www.goratings.org/zh/../../zh/players/92.html
16,赵治勋,https://www.goratings.org/zh/../../zh/players/98.html
17,赵汉乘,https://www.goratings.org/zh/../../zh/players/99.html
18,马晓春,https://www.goratings.org/zh/../../zh/players/11.html
19,小林光一,https://www.goratings.org/zh/../../zh/players/50.html
20,王立诚,https://www.goratings.org/zh/../../zh/players/71.html
21,王檄,https://www.goratings.org/zh/../../zh/players/76.html
22,小林觉,https://www.goratings.org/zh/../../zh/players/51.html
23,胡耀宇,https://www.goratings.org/zh/../../zh/players/184.html
24,山下敬吾,https://www.goratings.org/zh/../../zh/players/64.html
25,罗洗河,https://www.goratings.org/zh/../../zh/players/43.html
26,邵炜刚,https://www.goratings.org/zh/../../zh/players/57.html
27,黄奕中,https://www.goratings.org/zh/../../zh/players/190.html
28,刘菁,https://www.goratings.org/zh/../../zh/players/29.html
29,董彦,https://www.goratings.org/zh/../../zh/players/168.html
30,崔明勋,https://www.goratings.org/zh/../../zh/players/159.html
31,金主镐,https://www.goratings.org/zh/../../zh/players/200.html
32,加藤正夫,https://www.goratings.org/zh/../../zh/players/193.html
