Player: 李昌镐, Date: 2005-12-26, Rating: 3510, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2005-12-16, Rating: 3510, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 李昌镐, Date: 2005-12-15, Rating: 3510, Black and White: 执黑, Result: 负, Opponent: 胡耀宇
Player: 李昌镐, Date: 2005-12-13, Rating: 3510, Black and White: 执白, Result: 胜, Opponent: 胡耀宇
Player: 李昌镐, Date: 2005-12-04, Rating: 3511, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-12-01, Rating: 3511, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-11-21, Rating: 3511, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-11-15, Rating: 3512, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 2005-11-12, Rating: 3512, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-11-07, Rating: 3512, Black and White: 执黑, Result: 胜, Opponent: 尹炫皙
Player: 李昌镐, Date: 2005-11-03, Rating: 3512, Black and White: 执黑, Result: 胜, Opponent: 洪性志
Player: 李昌镐, Date: 2005-11-01, Rating: 3512, Black and White: 执白, Result: 负, Opponent: 赵汉乘
Player: 李昌镐, Date: 2005-10-30, Rating: 3513, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 2005-10-29, Rating: 3513, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 2005-10-29, Rating: 3513, Black and White: 执白, Result: 负, Opponent: 赵汉乘
Player: 李昌镐, Date: 2005-10-27, Rating: 3513, Black and White: 执白, Result: 胜, Opponent: 姜东润
Player: 李昌镐, Date: 2005-10-13, Rating: 3514, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 2005-10-11, Rating: 3514, Black and White: 执白, Result: 负, Opponent: 朴永训
